Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. 65 anys o més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. 65 anys o més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. 65 anys o més
170470,Castelló d'Empúries,845,3640,956,853,3473,1017,1698,7113,1973,
250693,Castelló de Farfanya,39,184,77,27,149,80,66,333,157,
080636,Castellolí,42,196,39,61,177,58,103,373,97,
170486,Castell-Platja d'Aro,783,3558,874,724,3602,1026,1507,7160,1900,
250707,Castellserà,60,332,127,63,286,162,123,618,289,
080641,Castellterçol,182,777,222,163,697,310,345,1474,532,
430424,Castellvell del Camp,271,981,184,265,978,172,536,1959,356,
080654,Castellví de la Marca,117,510,145,124,467,182,241,977,327,
080667,Castellví de Rosanes,144,621,117,165,588,172,309,1209,289,
430430,"Catllar, el",391,1497,282,332,1426,283,723,2923,565,
250714,Cava,4,20,11,1,13,8,5,33,19,
171899,"Cellera de Ter, la",154,670,199,156,609,266,310,1279,465,
170499,Celrà,583,1851,231,586,1770,282,1169,3621,513,
080673,Centelles,645,2397,590,615,2349,814,1260,4746,1404,
082687,Cercs,67,391,133,53,325,214,120,716,347,
082665,Cerdanyola del Vallès,4503,19291,4390,4181,19646,5532,8684,38937,9922,
080689,Cervelló,785,3044,624,727,2937,744,1512,5981,1368,
250729,Cervera,841,3049,654,760,2848,861,1601,5897,1515,
250735,Cervià de les Garrigues,34,223,100,35,181,113,69,404,213,
170502,Cervià de Ter,86,291,85,82,282,90,168,573,175,
170519,Cistella,20,88,32,26,96,31,46,184,63,
250740,Ciutadilla,10,64,36,7,57,30,17,121,66,
250753,Clariana de Cardener,6,51,14,11,46,13,17,97,27,
250766,"Cogul, el",5,54,34,7,46,28,12,100,62,
170545,Colera,21,174,67,30,157,73,51,331,140,
250772,Coll de Nargó,34,192,66,29,178,75,63,370,141,
080692,Collbató,495,1497,267,439,1406,292,934,2903,559,
430458,Colldejou,7,63,22,8,53,18,15,116,40,
080706,Collsuspina,32,119,34,32,103,29,64,222,63,
170558,Colomers,12,61,21,10,57,27,22,118,48,
251636,"Coma i la Pedra, la",16,112,28,9,76,20,25,188,48,
251615,Conca de Dalt,29,137,62,22,125,64,51,262,126,
430461,Conesa,5,41,14,3,35,18,8,76,32,
430477,Constantí,643,2281,416,586,2022,491,1229,4303,907,
080713,Copons,26,95,31,28,86,34,54,181,65,
430483,Corbera d'Ebre,74,356,138,60,302,150,134,658,288,
080728,Corbera de Llobregat,1349,4868,872,1261,4765,1053,2610,9633,1925,
250788,Corbins,125,506,120,104,389,157,229,895,277,
170577,Corçà,112,395,124,83,394,141,195,789,265,
080734,Cornellà de Llobregat,6637,27928,7313,6530,27697,9967,13167,55625,17280,
170561,Cornellà del Terri,204,746,221,172,699,237,376,1445,458,
430496,Cornudella de Montsant,53,367,104,55,270,117,108,637,221,
430509,Creixell,266,1118,375,252,1044,412,518,2162,787,
170583,Crespià,31,81,24,19,85,27,50,166,51,
179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",101,434,118,97,420,122,198,854,240,
080749,Cubelles,1333,4953,1104,1244,4735,1239,2577,9688,2343,
250791,Cubells,16,128,52,15,103,59,31,231,111,
430516,Cunit,926,3666,1245,948,3677,1346,1874,7343,2591,
170600,Darnius,27,184,68,33,157,81,60,341,149,
170617,Das,20,80,17,24,56,18,44,136,35,
439018,Deltebre,859,3846,1136,758,3580,1365,1617,7426,2501,
080752,Dosrius,511,1770,333,434,1760,346,945,3530,679,
430537,Duesaigües,10,99,27,14,65,27,24,164,54,
170622,"Escala, l'",759,3484,1048,715,3278,1116,1474,6762,2164,
080765,Esparreguera,1914,7601,1506,1766,7135,1844,3680,14736,3350,
170638,Espinelves,13,67,13,22,57,29,35,124,42,
250812,"Espluga Calba, l'",19,110,60,24,91,71,43,201,131,
430542,"Espluga de Francolí, l'",259,1231,334,285,1197,485,544,2428,819,
080771,Esplugues de Llobregat,3351,14253,4375,2998,15079,5677,6349,29332,10052,
170643,Espolla,31,125,53,23,127,62,54,252,115,
170656,Esponellà,42,143,41,45,131,54,87,274,95,
250827,Espot,18,146,31,18,110,38,36,256,69,
080787,"Espunyola, l'",14,81,31,9,81,31,23,162,62,
082541,"Esquirol, l'",156,726,215,139,673,259,295,1399,474,
250886,Estamariu,9,31,27,9,29,14,18,60,41,
080790,"Estany, l'",33,123,44,18,118,68,51,241,112,
250851,Estaràs,5,55,26,7,50,20,12,105,46,
250864,Esterri d'Àneu,48,279,48,49,283,82,97,562,130,
250870,Esterri de Cardós,4,26,4,5,23,7,9,49,11,
430555,Falset,237,903,271,219,874,330,456,1777,601,
170059,"Far d'Empordà, el",50,182,45,50,173,53,100,355,98,
250899,Farrera,8,52,15,9,32,10,17,84,25,
430568,"Fatarella, la",50,291,155,58,260,190,108,551,345,
430574,"Febró, la",0,18,8,1,9,4,1,27,12,
081347,Figaró-Montmany,83,362,93,83,348,123,166,710,216,
080804,Fígols,2,15,6,2,7,8,4,22,14,
259084,Fígols i Alinyà,13,90,44,9,57,41,22,147,85,
430580,"Figuera, la",1,42,20,0,23,19,1,65,39,
170669,Figueres,4183,15648,2821,4024,15060,3990,8207,30708,6811,
430593,Figuerola del Camp,30,109,26,33,105,38,63,214,64,
170675,Flaçà,83,319,89,72,319,136,155,638,225,
430607,Flix,201,1223,419,191,1090,553,392,2313,972,
250925,"Floresta, la",8,61,17,8,38,23,16,99,40,
080826,Fogars de la Selva,100,517,135,110,465,125,210,982,260,
080811,Fogars de Montclús,51,155,39,45,134,38,96,289,77,
170681,Foixà,20,101,38,16,82,52,36,183,90,
080832,Folgueroles,269,741,148,247,707,186,516,1448,334,
250931,Fondarella,54,279,63,54,268,76,108,547,139,
080847,Fonollosa,110,490,132,97,456,116,207,946,248,
170694,Fontanals de Cerdanya,16,169,47,25,145,44,41,314,91,
170708,Fontanilles,7,48,22,5,34,24,12,82,46,
170715,Fontcoberta,133,489,107,123,510,109,256,999,216,
080850,Font-rubí,96,435,166,103,394,169,199,829,335,
250946,Foradada,9,62,27,9,40,25,18,102,52,
179026,Forallac,125,584,150,123,571,170,248,1155,320,
430614,Forès,0,13,13,0,12,9,0,25,22,
170736,Fornells de la Selva,269,850,148,246,861,173,515,1711,321,
170741,Fortià,58,217,71,67,235,73,125,452,144,
080863,"Franqueses del Vallès, les",1953,6806,1096,1867,6369,1326,3820,13175,2422,
430629,Freginals,20,141,50,11,109,65,31,250,115,
250962,"Fuliola, la",111,394,125,99,364,167,210,758,292,
250978,Fulleda,0,30,16,1,24,16,1,54,32,
080902,Gaià,12,65,11,15,47,10,27,112,21,
430635,"Galera, la",45,253,91,41,209,109,86,462,200,
080879,Gallifa,11,72,16,7,63,18,18,135,34,
430640,Gandesa,230,991,305,205,910,358,435,1901,663,
430653,Garcia,39,194,73,51,160,84,90,354,157,
430666,"Garidells, els",11,66,17,11,69,19,22,135,36,
080885,"Garriga, la",1470,5142,1116,1343,5351,1490,2813,10493,2606,
170754,Garrigàs,31,154,43,29,137,41,60,291,84,
170767,Garrigoles,5,60,24,11,40,23,16,100,47,
170773,Garriguella,81,261,86,75,260,91,156,521,177,
080898,Gavà,4045,15359,3353,3690,15499,4320,7735,30858,7673,
250984,Gavet de la Conca,14,84,44,11,81,63,25,165,107,
080919,Gelida,723,2447,470,651,2344,603,1374,4791,1073,
170789,Ger,38,146,46,27,138,41,65,284,87,
259123,Gimenells i el Pla de la Font,64,380,126,77,321,143,141,701,269,
430672,Ginestar,46,254,107,40,216,115,86,470,222,
170792,Girona,8741,32284,6124,8203,34264,8639,16944,66548,14763,
080924,Gironella,334,1514,513,322,1434,712,656,2948,1225,
080930,Gisclareny,1,12,4,0,10,2,1,22,6,
430688,Godall,30,183,105,33,171,109,63,354,214,
250997,Golmés,148,616,141,171,591,168,319,1207,309,
170806,Gombrèn,22,53,18,14,53,24,36,106,42,
251001,Gósol,5,98,27,5,60,33,10,158,60,
080945,"Granada, la",192,735,138,180,680,166,372,1415,304,
251018,"Granadella, la",53,233,93,33,190,121,86,423,214,
080958,Granera,2,39,12,2,17,7,4,56,19,
251023,"Granja d'Escarp, la",50,365,104,56,270,132,106,635,236,
080961,Granollers,4869,20487,4312,4467,20131,5908,9336,40618,10220,
251039,Granyanella,8,55,22,5,42,21,13,97,43,
251057,Granyena de les Garrigues,7,57,29,6,32,27,13,89,56,
251044,Granyena de Segarra,7,44,26,11,32,27,18,76,53,
430691,Gratallops,15,85,29,7,65,36,22,150,65,
080977,Gualba,157,472,89,152,432,124,309,904,213,
170813,Gualta,29,138,34,33,106,36,62,244,70,
080996,Guardiola de Berguedà,46,326,102,53,252,118,99,578,220,
430705,"Guiamets, els",7,87,34,11,89,45,18,176,79,
170828,Guils de Cerdanya,40,205,36,36,168,46,76,373,82,
251095,Guimerà,8,84,55,13,55,60,21,139,115,
259031,"Guingueta d'Àneu, la",18,111,35,15,92,37,33,203,72,
251109,Guissona,726,2650,263,626,2254,373,1352,4904,636,
251116,Guixers,11,56,27,6,33,13,17,89,40,
081000,Gurb,232,894,185,200,839,209,432,1733,394,
430712,Horta de Sant Joan,74,376,171,65,326,177,139,702,348,
081017,"Hospitalet de Llobregat, l'",18461,82907,22137,17299,83852,30148,35760,166759,52285,
081629,"Hostalets de Pierola, els",300,1024,170,263,927,207,563,1951,377,
170834,Hostalric,376,1366,309,338,1284,385,714,2650,694,
081022,Igualada,3423,12537,3086,3242,12340,4359,6665,24877,7445,
251155,Isona i Conca Dellà,56,340,156,56,278,160,112,618,316,
