Codi,Literal,De propietat. Per compra pagada,De propietat. Per compra amb pagaments pendents,De propietat. Per herència o donació,De lloguer,Cedit gratis o a baix preu,Altres formes,Total
430496,Cornudella de Montsant,145,19,124,28,19,18,353
430509,Creixell,376,299,56,49,27,21,828
170583,Crespià,27,9,21,16,5,1,79
179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",259,40,10,42,11,5,367
080749,Cubelles,1067,1378,57,257,28,110,2897
250791,Cubells,48,7,52,4,2,10,123
430516,Cunit,1196,1136,40,177,43,66,2658
170600,Darnius,82,18,56,32,19,14,221
170617,Das,12,4,20,14,1,5,56
439018,Deltebre,1557,479,1026,96,60,96,3314
080752,Dosrius,355,506,54,96,12,20,1043
430537,Duesaigües,26,10,31,6,9,4,86
170622,"Escala, l'",1094,515,275,291,50,122,2347
080765,Esparreguera,2279,2928,248,748,67,200,6470
170638,Espinelves,25,6,17,14,2,5,69
250812,"Espluga Calba, l'",40,13,66,16,2,16,153
430542,"Espluga de Francolí, l'",542,197,257,127,44,58,1225
080771,Esplugues de Llobregat,8912,3548,360,2234,153,368,15575
170643,Espolla,37,17,62,9,1,7,133
170656,Esponellà,51,9,22,20,2,7,111
250827,Espot,76,9,9,16,2,2,114
080787,"Espunyola, l'",27,4,21,16,1,5,74
082541,"Esquirol, l'",278,132,128,112,36,30,716
250886,Estamariu,20,1,19,0,2,1,43
080790,"Estany, l'",68,14,32,18,7,9,148
250851,Estaràs,37,3,18,1,3,1,63
250864,Esterri d'Àneu,83,43,62,33,13,13,247
250870,Esterri de Cardós,10,0,11,3,1,0,25
430555,Falset,421,156,144,119,27,28,895
170059,"Far d'Empordà, el",52,35,31,9,10,4,141
250899,Farrera,10,4,22,3,0,6,45
430568,"Fatarella, la",124,14,270,2,2,4,416
430574,"Febró, la",6,0,15,2,1,1,25
081347,Figaró-Montmany,77,50,25,104,13,33,302
080804,Fígols,4,2,11,4,1,0,22
259084,Fígols i Alinyà,29,3,62,4,5,3,106
430580,"Figuera, la",17,3,22,3,7,0,52
170669,Figueres,4941,3316,570,2959,220,351,12357
430593,Figuerola del Camp,27,30,40,6,1,6,110
170675,Flaçà,159,61,44,39,5,17,325
430607,Flix,737,105,225,171,30,151,1419
250925,"Floresta, la",32,4,26,4,4,4,74
080826,Fogars de la Selva,163,79,11,29,4,5,291
080811,Fogars de Montclús,25,24,20,39,3,6,117
170681,Foixà,31,9,51,14,6,3,114
