,Codi,Literal,Habitatges familiars secundaris,Habitatges familiars vacants,Habitatges familiars altres,Any,Habitatges familiars principals
292,250925,"Floresta, la",37,31,0.0,2001,74
293,080826,Fogars de la Selva,475,0,0.0,2001,291
294,080811,Fogars de Montclús,25,0,0.0,2001,117
295,170681,Foixà,59,7,5.0,2001,114
296,080832,Folgueroles,109,22,0.0,2001,584
297,250931,Fondarella,11,8,0.0,2001,210
298,080847,Fonollosa,293,23,0.0,2001,350
299,170694,Fontanals de Cerdanya,811,39,0.0,2001,154
300,170708,Fontanilles,39,1,7.0,2001,46
301,170715,Fontcoberta,7,68,0.0,2001,344
302,080850,Font-rubí,241,20,3.0,2001,425
303,250946,Foradada,33,32,1.0,2001,69
304,179026,Forallac,176,77,8.0,2001,561
305,430614,Forès,58,10,0.0,2001,26
306,170736,Fornells de la Selva,33,221,0.0,2001,515
307,170741,Fortià,39,35,0.0,2001,194
308,080863,"Franqueses del Vallès, les",199,1137,0.0,2001,4420
309,430629,Freginals,34,52,0.0,2001,136
310,250962,"Fuliola, la",13,79,0.0,2001,417
311,250978,Fulleda,44,14,0.0,2001,39
312,080902,Gaià,42,16,0.0,2001,47
313,430635,"Galera, la",2,139,0.0,2001,286
314,080879,Gallifa,64,0,0.0,2001,67
315,430640,Gandesa,91,353,13.0,2001,897
316,430653,Garcia,104,89,8.0,2001,201
317,430666,"Garidells, els",49,4,0.0,2001,57
318,080885,"Garriga, la",406,805,10.0,2001,4180
319,170754,Garrigàs,64,5,0.0,2001,113
320,170767,Garrigoles,3,41,0.0,2001,58
321,170773,Garriguella,23,58,0.0,2001,270
322,080898,Gavà,2833,1820,25.0,2001,13790
323,250984,Gavet de la Conca,126,29,10.0,2001,116
324,080919,Gelida,636,340,17.0,2001,1661
325,170789,Ger,164,7,1.0,2001,151
326,259123,Gimenells i el Pla de la Font,23,54,1.0,2001,354
327,430672,Ginestar,39,111,1.0,2001,292
328,170792,Girona,4972,7381,997.0,2001,27689
329,080924,Gironella,109,516,17.0,2001,1798
330,080930,Gisclareny,12,1,0.0,2001,14
331,430688,Godall,70,216,1.0,2001,279
332,250997,Golmés,30,83,0.0,2001,447
333,170806,Gombrèn,14,67,0.0,2001,92
334,251001,Gósol,195,2,0.0,2001,95
335,080945,"Granada, la",13,46,0.0,2001,471
336,251018,"Granadella, la",92,56,0.0,2001,287
337,080958,Granera,0,9,0.0,2001,32
338,251023,"Granja d'Escarp, la",50,106,0.0,2001,386
339,080961,Granollers,768,2838,134.0,2001,18639
340,251039,Granyanella,85,1,0.0,2001,54
341,251057,Granyena de les Garrigues,18,70,0.0,2001,70
342,251044,Granyena de Segarra,58,0,8.0,2001,58
343,430691,Gratallops,102,21,15.0,2001,81
344,080977,Gualba,96,35,0.0,2001,308
345,170813,Gualta,80,29,5.0,2001,104
346,080996,Guardiola de Berguedà,81,183,0.0,2001,374
347,430705,"Guiamets, els",28,16,0.0,2001,107
348,170828,Guils de Cerdanya,266,0,0.0,2001,136
349,251095,Guimerà,115,12,1.0,2001,151
350,259031,"Guingueta d'Àneu, la",13,0,0.0,2001,143
351,251109,Guissona,139,271,1.0,2001,1228
352,251116,Guixers,37,5,0.0,2001,57
353,081000,Gurb,14,83,12.0,2001,600
354,430712,Horta de Sant Joan,446,19,21.0,2001,461
355,081017,"Hospitalet de Llobregat, l'",4170,14409,292.0,2001,87872
356,081629,"Hostalets de Pierola, els",267,302,0.0,2001,545
357,170834,Hostalric,191,191,0.0,2001,1041
358,081022,Igualada,1779,4754,29.0,2001,11900
359,251155,Isona i Conca Dellà,324,40,24.0,2001,438
360,170849,Isòvol,7,18,0.0,2001,77
361,251137,Ivars d'Urgell,50,47,12.0,2001,576
362,251121,Ivars de Noguera,44,10,1.0,2001,112
363,251142,Ivorra,17,5,0.0,2001,50
364,170852,Jafre,46,24,4.0,2001,130
365,170865,"Jonquera, la",44,244,1.0,2001,926
366,081038,Jorba,97,10,0.0,2001,214
367,259101,Josa i Tuixén,55,69,0.0,2001,59
368,170871,Juià,23,9,0.0,2001,97
369,251180,Juncosa,61,43,0.0,2001,197
370,251193,Juneda,123,248,0.0,2001,980
371,251214,Les,0,104,23.0,2001,253
372,251229,Linyola,19,186,10.0,2001,803
373,081043,"Llacuna, la",486,3,2.0,2001,317
374,170887,Lladó,134,1,0.0,2001,190
375,251235,Lladorre,12,0,0.0,2001,97
376,251240,Lladurs,49,4,0.0,2001,67
377,081056,"Llagosta, la",68,643,0.0,2001,4204
378,170890,Llagostera,332,1085,2.0,2001,3499
