,Any,Serveis,Literal,Codi,Solar,Zones verdes,Equipament,Connectivitat,Densitat comercial,Riscos
184,2012,0.0,Pontós,171365,3.6885,0.9075,30.3415,2.0771,,
185,2012,1.8538,Pont de Molins,171352,3.2047,0.1067,9.1499,2.3185,,
186,2012,0.2509,Planoles,171349,12.1554,2.8192,47.7172,7.9181,,
187,2012,2.5017,Peralada,171328,42.1048,10.1971,48.849,22.6466,,
188,2012,0.0,Pedret i Marzà,171292,2.0645,0.1317,12.0645,1.7108,,
189,2012,0.0,"Pera, la",171306,4.9082,0.5171,21.2937,3.4797000000000002,,
190,2012,0.1766,Parlavà,171267,8.6125,0.4691,40.9124,6.3032,,
191,2012,0.0,Ogassa,171122,9.5406,4.6844,68.4434,2.976,,
192,2012,7.48,Pals,171241,124.0241,13.7289,200.173,52.4279,,
193,2012,0.3077,Palol de Revardit,171236,3.4542,0.879,8.75,2.1559,,
194,2012,0.0,Palau-sator,171215,6.7341,1.8486,23.1966,4.1065,,
195,2012,0.0,Palau-saverdera,171208,10.583,1.3105,17.5604,6.5097000000000005,,
196,2012,0.0,Palau de Santa Eulàlia,171194,1.6222,0.1492,6.0055,1.413,,
197,2012,2.5292,Palamós,171181,143.1543,31.0623,8.4507,63.543400000000005,,
198,2012,6.9808,Palafrugell,171175,224.3374,67.8074,13.0668,125.1824,,
199,2012,0.47,Osor,171169,6.2731,1.0294,48.4058,2.9609,,
200,2012,0.0,Ordis,171156,8.2841,2.2609,15.1863,2.7514,,
201,2012,6.3987,Olot,171143,253.3282,40.3128,10.8001,146.62869999999998,,
202,2012,0.0,Pau,171289,10.5925,4.2244,30.7063,4.535,,
203,2012,0.0,Castellfollit de la Roca,170464,6.6709,0.8636,20.4077,3.6621,,
204,2012,0.0,Das,170617,16.7688,5.1222,163.1498,8.024799999999999,,
205,2012,0.0,Darnius,170600,5.9821,0.2546,46.8549,3.1942,,
206,2012,0.0,Crespià,170583,3.3798,0.6109,21.1038,2.2075,,
207,2012,0.0,Corçà,170577,7.1569,0.8178,6.8966,5.457000000000001,,
208,2012,0.0,Cornellà del Terri,170561,28.3701,4.9368,21.9038,18.487499999999997,,
209,2012,0.0,Colomers,170558,2.3589,0.2565,6.4403,1.9705000000000001,,
210,2012,0.0,Colera,170545,11.5984,2.0535,34.5901,6.9418,,
211,2012,0.0,Siurana,170524,4.4164,0.2583,74.37,2.8937999999999997,,
212,2012,0.0,Cistella,170519,6.1718,2.1844,61.1832,2.2485,,
213,2012,0.4104,Celrà,170499,38.1812,8.3869,18.0602,24.3815,,
214,2012,54.6961,Castell-Platja d'Aro,170486,311.5166,113.4749,37.3544,150.215,,
215,2012,0.7839,Espolla,170643,5.8985,0.243,51.9234,3.4695,,
216,2012,0.6184,Cassà de la Selva,170448,62.2131,11.4017,8.6504,39.059799999999996,,
217,2012,0.0496,Queralbs,170433,3.9054,0.7133,14.5058,2.8837,,
218,2012,0.0,Capmany,170427,10.3765,1.559,41.4828,5.8164,,
219,2012,0.0,Cantallops,170412,7.6414,1.115,22.2383,4.868,,
220,2012,0.0,Canet d'Adri,170405,3.8871,0.3077,5.9576,3.2077,,
221,2012,0.0,Camprodon,170391,61.7141,21.5294,22.6706,24.210900000000002,,
222,2012,3.5467,Campllong,170388,17.0816,5.3924,70.7371,7.5828,,
223,2012,0.0,"Port de la Selva, el",171404,43.3891,9.0135,40.1481,19.9467,,
224,2012,0.0,Torroella de Fluvià,171984,10.2072,1.2194,24.9863,7.2288,,
225,2012,3.1308,Cervià de Ter,170502,16.4822,5.1254,28.9805,8.6375,,
226,2012,0.0,Garrigàs,170754,4.1918,0.3884,18.5373,2.9802999999999997,,
227,2012,6.869,"Jonquera, la",170865,68.8108,11.3601,50.1535,33.2482,,
228,2012,0.0,Jafre,170852,5.1913,0.0928,28.7748,3.8704,,
229,2012,0.0,Isòvol,170849,6.5271,1.8286,27.3928,3.7083,,
230,2012,0.229,Hostalric,170834,36.0572,10.7222,10.7925,20.7903,,
231,2012,0.0,Guils de Cerdanya,170828,19.8249,4.1069,59.0685,12.422,,
232,2012,0.0,Gualta,170813,3.1196,0.3227,7.0007,2.2256,,
233,2012,0.0,Gombrèn,170806,4.5993,0.9674,42.7316,2.7388000000000003,,
234,2012,35.065,Girona,170792,742.2369,243.1196,17.2471,292.1911,,
235,2012,0.0,Ger,170789,14.886,3.4057,43.8418,9.2707,,
236,2012,7.6691,"Escala, l'",170622,193.3713,32.2664,13.3238,123.1422,,
237,2012,0.0,Garrigoles,170767,2.1967,0.5719,18.5803,1.3144,,
238,2012,0.0704,Espinelves,170638,4.6662,0.3014,44.9304,3.4284999999999997,,
239,2012,0.0,Fortià,170741,8.301,1.4289,10.7912,6.1336,,
240,2012,1.1808,Fornells de la Selva,170736,29.8947,7.809,18.4743,17.3021,,
241,2012,0.0,Fontcoberta,170715,12.7885,2.0407,13.8827,8.838899999999999,,
242,2012,0.0,Fontanilles,170708,4.6742,1.231,11.7501,3.26,,
243,2012,0.33,Fontanals de Cerdanya,170694,24.3555,6.8903,40.8316,14.8613,,
244,2012,0.0,Foixà,170681,8.9612,1.8691,8.785,5.1508,,
245,2012,0.0,Flaçà,170675,14.4507,3.0966,32.4523,9.5488,,
246,2012,6.3121,Figueres,170669,178.7003,32.2854,8.7306,107.38730000000001,,
247,2012,0.0,Esponellà,170656,3.7334,0.3696,19.5408,2.4923,,
248,2012,0.0,Juià,170871,3.5608,0.2623,13.3492,2.404,,
249,2012,0.0,Garriguella,170773,19.803,3.0359,93.6749,7.8848,,
250,2012,0.0,Tortellà,172001,7.3077,0.5117,36.3564,3.9130000000000003,,
251,2012,0.0,Verges,172116,12.6999,0.9719,22.4586,8.2665,,
252,2012,0.0,Ventalló,172109,17.9168,4.3334,46.6449,9.5473,,
253,2012,0.0,Vall-llobrega,172095,5.0253,1.504,9.5318,2.5579,,
254,2012,0.0,"Vall de Bianya, la",172082,13.7782,3.7655,14.3109,8.1021,,
255,2012,1.5364,"Vall d'en Bas, la",172076,39.1892,7.908,24.151,22.3663,,
256,2012,0.0,Urús,172060,6.4777,1.8287,20.1554,4.238099999999999,,
257,2012,0.0,Ullastret,172057,2.9609,0.2579,4.5614,2.5722,,
258,2012,0.5974,Ullà,172044,14.6949,2.6352,12.6913,10.5632,,
259,2012,0.0,Ultramort,172039,3.2814,0.1409,29.5583,2.5257,,
260,2012,0.0,Serinyà,171903,9.0911,0.8412,12.7216,6.8225999999999996,,
261,2012,0.0,Toses,172018,4.8954,0.6975,31.4928,3.6692,,
262,2012,0.0,Vilabertran,172142,7.8939,1.1646,34.6629,3.535,,
263,2012,30.6306,Torroella de Montgrí,171997,196.7983,37.5054,19.9298,79.6309,,
264,2012,0.0,Vallcebre,082938,5.6419,2.3019,18.8502,2.8235,,
265,2012,0.0,Torrent,171978,2.9162,0.4623,8.0746,1.6291,,
266,2012,0.1395,Campelles,170372,9.0502,1.6217,79.6927,6.2054,,
267,2012,1.6724,"Tallada d'Empordà, la",171959,15.606,2.7708,56.0796,10.2571,,
268,2012,0.0,Susqueda,171946,0.267,0.0,12.7847,0.1328,,
269,2012,1.1157,Sils,171931,34.9594,6.6126,9.8223,23.029400000000003,,
270,2012,0.6099,Setcases,171925,3.8061,1.0017,2.6278,2.7362,,
271,2012,0.0,Terrades,171962,2.2414,0.1954,15.8596,1.5528,,
272,2012,21.29,Tossa de Mar,172023,101.4357,42.7629,11.9318,45.22280000000001,,
