,Codi,Literal,Índex d'envelliment,Índex de sobreenvelliment,Any
8,081017,"Hospitalet de Llobregat, l'",139.0,10.0,2009
9,251207,Lleida,98.0,13.0,2009
10,081136,Manresa,124.0,15.0,2009
11,081213,Mataró,94.0,12.0,2009
12,081249,Mollet del Vallès,73.0,11.0,2009
13,081691,"Prat de Llobregat, el",100.0,11.0,2009
14,431233,Reus,84.0,13.0,2009
15,081846,Rubí,72.0,11.0,2009
16,081878,Sabadell,107.0,13.0,2009
17,082009,Sant Boi de Llobregat,99.0,11.0,2009
18,082055,Sant Cugat del Vallès,47.0,13.0,2009
19,082457,Santa Coloma de Gramenet,115.0,9.0,2009
20,431482,Tarragona,91.0,12.0,2009
21,082798,Terrassa,87.0,13.0,2009
22,083015,Viladecans,73.0,10.0,2009
23,083073,Vilanova i la Geltrú,102.0,11.0,2009
0,080155,Badalona,99.0,11.0,2010
1,080193,Barcelona,169.0,15.0,2010
2,080569,Castelldefels,67.0,12.0,2010
3,082665,Cerdanyola del Vallès,86.0,11.0,2010
4,080734,Cornellà de Llobregat,117.0,10.0,2010
5,080771,Esplugues de Llobregat,132.0,10.0,2010
6,170792,Girona,79.0,15.0,2010
7,080961,Granollers,94.0,13.0,2010
8,081017,"Hospitalet de Llobregat, l'",138.0,11.0,2010
9,251207,Lleida,98.0,14.0,2010
10,081136,Manresa,122.0,16.0,2010
11,081213,Mataró,94.0,13.0,2010
12,081249,Mollet del Vallès,74.0,11.0,2010
13,081691,"Prat de Llobregat, el",101.0,11.0,2010
14,431233,Reus,82.0,14.0,2010
15,081846,Rubí,73.0,11.0,2010
16,081878,Sabadell,106.0,13.0,2010
17,082009,Sant Boi de Llobregat,100.0,11.0,2010
18,082055,Sant Cugat del Vallès,49.0,13.0,2010
19,082457,Santa Coloma de Gramenet,112.0,10.0,2010
20,431482,Tarragona,92.0,13.0,2010
21,082798,Terrassa,86.0,13.0,2010
22,083015,Viladecans,73.0,10.0,2010
23,083073,Vilanova i la Geltrú,101.0,12.0,2010
0,080155,Badalona,99.0,12.0,2011
1,080193,Barcelona,169.0,16.0,2011
2,080569,Castelldefels,69.0,12.0,2011
3,082665,Cerdanyola del Vallès,90.0,11.0,2011
4,080734,Cornellà de Llobregat,118.0,11.0,2011
5,080771,Esplugues de Llobregat,138.0,11.0,2011
6,170792,Girona,80.0,16.0,2011
7,080961,Granollers,95.0,14.0,2011
8,081017,"Hospitalet de Llobregat, l'",138.0,11.0,2011
9,251207,Lleida,98.0,15.0,2011
10,081136,Manresa,120.0,16.0,2011
11,081213,Mataró,94.0,13.0,2011
12,081249,Mollet del Vallès,76.0,11.0,2011
13,081691,"Prat de Llobregat, el",103.0,11.0,2011
14,431233,Reus,82.0,14.0,2011
15,081846,Rubí,73.0,12.0,2011
16,081878,Sabadell,107.0,14.0,2011
17,082009,Sant Boi de Llobregat,102.0,11.0,2011
18,082055,Sant Cugat del Vallès,51.0,14.0,2011
19,082457,Santa Coloma de Gramenet,111.0,10.0,2011
20,431482,Tarragona,93.0,14.0,2011
21,082798,Terrassa,86.0,14.0,2011
22,083015,Viladecans,74.0,9.0,2011
23,083073,Vilanova i la Geltrú,102.0,12.0,2011
0,080155,Badalona,99.0,12.0,2012
1,080193,Barcelona,168.0,17.0,2012
2,080569,Castelldefels,71.0,12.0,2012
3,082665,Cerdanyola del Vallès,94.0,11.0,2012
4,080734,Cornellà de Llobregat,119.0,11.0,2012
5,080771,Esplugues de Llobregat,142.0,11.0,2012
6,170792,Girona,81.0,17.0,2012
7,080961,Granollers,97.0,15.0,2012
8,081017,"Hospitalet de Llobregat, l'",139.0,12.0,2012
9,251207,Lleida,100.0,15.0,2012
10,081136,Manresa,119.0,17.0,2012
11,081213,Mataró,93.0,14.0,2012
12,081249,Mollet del Vallès,77.0,11.0,2012
13,081691,"Prat de Llobregat, el",104.0,11.0,2012
14,431233,Reus,83.0,15.0,2012
15,081846,Rubí,74.0,13.0,2012
16,081878,Sabadell,107.0,14.0,2012
17,082009,Sant Boi de Llobregat,104.0,12.0,2012
18,082055,Sant Cugat del Vallès,53.0,14.0,2012
19,082457,Santa Coloma de Gramenet,114.0,10.0,2012
20,431482,Tarragona,96.0,14.0,2012
21,082798,Terrassa,86.0,14.0,2012
22,083015,Viladecans,74.0,10.0,2012
23,083073,Vilanova i la Geltrú,104.0,13.0,2012
0,080155,Badalona,102.0,13.0,2013
1,080193,Barcelona,168.0,17.0,2013
2,080569,Castelldefels,73.0,12.0,2013
3,082665,Cerdanyola del Vallès,98.0,12.0,2013
4,080734,Cornellà de Llobregat,123.0,11.0,2013
5,080771,Esplugues de Llobregat,147.0,11.0,2013
6,170792,Girona,82.0,17.0,2013
7,080961,Granollers,99.0,15.0,2013
8,081017,"Hospitalet de Llobregat, l'",141.0,12.0,2013
9,251207,Lleida,101.0,16.0,2013
10,081136,Manresa,121.0,18.0,2013
11,081213,Mataró,95.0,14.0,2013
12,081249,Mollet del Vallès,79.0,12.0,2013
13,081691,"Prat de Llobregat, el",106.0,11.0,2013
14,431233,Reus,84.0,15.0,2013
15,081846,Rubí,76.0,12.0,2013
16,081878,Sabadell,107.0,15.0,2013
17,082009,Sant Boi de Llobregat,106.0,12.0,2013
18,082055,Sant Cugat del Vallès,56.0,15.0,2013
19,082457,Santa Coloma de Gramenet,117.0,10.0,2013
20,431482,Tarragona,99.0,14.0,2013
21,082798,Terrassa,87.0,15.0,2013
22,083015,Viladecans,76.0,10.0,2013
23,083073,Vilanova i la Geltrú,105.0,13.0,2013
0,080155,Badalona,107.0,12.9,2014
1,080193,Barcelona,168.8,17.4,2014
2,080569,Castelldefels,76.9,11.9,2014
3,082665,Cerdanyola del Vallès,105.2,11.7,2014
4,080734,Cornellà de Llobregat,126.8,11.6,2014
5,080771,Esplugues de Llobregat,153.5,11.7,2014
6,170792,Girona,84.5,17.1,2014
7,080961,Granollers,102.7,15.4,2014
8,081017,"Hospitalet de Llobregat, l'",143.4,12.5,2014
9,251207,Lleida,103.8,16.5,2014
10,081136,Manresa,122.2,17.8,2014
11,081213,Mataró,97.4,14.7,2014
12,081249,Mollet del Vallès,83.2,11.6,2014
13,081691,"Prat de Llobregat, el",109.2,11.4,2014
14,431233,Reus,86.8,15.2,2014
15,081846,Rubí,78.4,12.5,2014
16,081878,Sabadell,109.6,15.0,2014
17,082009,Sant Boi de Llobregat,109.1,11.8,2014
18,082055,Sant Cugat del Vallès,59.7,15.1,2014
19,082457,Santa Coloma de Gramenet,120.8,10.5,2014
20,431482,Tarragona,101.7,14.7,2014
21,082798,Terrassa,89.0,15.0,2014
22,083015,Viladecans,78.7,10.5,2014
23,083073,Vilanova i la Geltrú,109.1,13.7,2014
0,080155,Badalona,110.4,13.3,2015
1,080193,Barcelona,168.9,17.8,2015
2,080569,Castelldefels,79.0,12.3,2015
3,082665,Cerdanyola del Vallès,110.7,11.3,2015
4,080734,Cornellà de Llobregat,128.5,12.2,2015
5,080771,Esplugues de Llobregat,158.9,11.8,2015
6,170792,Girona,85.1,17.3,2015
7,080961,Granollers,105.0,15.6,2015
8,081017,"Hospitalet de Llobregat, l'",144.2,12.8,2015
9,251207,Lleida,105.2,16.9,2015
10,081136,Manresa,122.2,18.2,2015
11,081213,Mataró,98.8,14.9,2015
12,081249,Mollet del Vallès,86.0,11.9,2015
13,081691,"Prat de Llobregat, el",112.1,11.4,2015
14,431233,Reus,89.4,15.6,2015
15,081846,Rubí,81.7,12.6,2015
16,081878,Sabadell,111.0,15.3,2015
17,082009,Sant Boi de Llobregat,111.4,12.0,2015
18,082055,Sant Cugat del Vallès,62.1,15.4,2015
19,082457,Santa Coloma de Gramenet,123.4,10.8,2015
20,431482,Tarragona,104.5,14.9,2015
21,082798,Terrassa,90.4,15.4,2015
22,083015,Viladecans,81.2,10.9,2015
23,083073,Vilanova i la Geltrú,113.7,13.6,2015
0,080155,Badalona,112.2,13.6,2016
1,080193,Barcelona,167.8,18.3,2016
2,080569,Castelldefels,81.1,12.7,2016
3,082665,Cerdanyola del Vallès,116.0,11.8,2016
4,080734,Cornellà de Llobregat,130.4,12.7,2016
5,080771,Esplugues de Llobregat,159.4,12.5,2016
6,170792,Girona,86.6,17.2,2016
7,080961,Granollers,105.7,15.6,2016
8,081017,"Hospitalet de Llobregat, l'",141.8,13.1,2016
9,251207,Lleida,108.1,17.4,2016
10,081136,Manresa,122.0,18.5,2016
11,081213,Mataró,100.6,15.4,2016
12,081249,Mollet del Vallès,89.5,12.5,2016
