,Literal,Poblacio activa,Codi,Any
697,Vallfogona de Ripollès,143.0,171707,2011
698,Vallfogona de Riucorb,71.0,431592,2011
699,Vallgorguina,1783.0,082943,2011
700,Vallirana,9625.0,082956,2011
701,Vallmoll,1148.0,431606,2011
702,Vallromanes,1607.0,082969,2011
703,Valls,16417.0,431613,2011
704,Veciana,93.0,082975,2011
705,Ventalló,526.0,172109,2011
706,Verdú,585.0,252424,2011
707,Verges,734.0,172116,2011
708,Vespella de Gaià,270.0,431649,2011
709,Vic,26747.0,082981,2011
710,Vidreres,5088.0,172137,2011
711,Vidrà,110.0,172121,2011
712,Vielha e Mijaran,4047.0,252430,2011
713,Vilabella,524.0,431652,2011
714,Vilabertran,573.0,172142,2011
715,Vilablareix,1716.0,172155,2011
716,Vilada,315.0,082994,2011
717,Viladamat,287.0,172174,2011
718,Viladasens,141.0,172168,2011
719,Viladecans,21887.024,083015,2011
720,Viladecavalls,5180.0,083008,2011
721,Vilademuls,475.0,172180,2011
722,Viladrau,708.0,172207,2011
723,Vilafant,3752.0,172214,2011
724,Vilafranca del Penedès,25844.0,083054,2011
725,Vilagrassa,305.0,252445,2011
726,Vilajuïga,724.0,172235,2011
727,Vilalba Sasserra,454.0,083067,2011
728,Vilalba dels Arcs,417.0,431750,2011
729,Vilaller,446.0,252458,2011
730,Vilallonga de Ter,283.0,172240,2011
731,Vilallonga del Camp,1481.0,431665,2011
732,Vilamacolum,179.0,172253,2011
733,Vilamalla,730.0,172266,2011
734,Vilamaniscle,101.0,172272,2011
735,Vilamòs,140.0,252477,2011
736,Vilanant,250.0,172288,2011
737,Vilanova de Bellpuig,704.0,252483,2011
738,Vilanova de Meià,249.0,252509,2011
739,Vilanova de Prades,75.0,431687,2011
740,Vilanova de Sau,220.0,083036,2011
741,Vilanova de Segrià,599.0,252516,2011
742,Vilanova de la Barca,725.0,252542,2011
743,Vilanova del Camí,8443.0,083020,2011
744,Vilanova del Vallès,3323.0,089024,2011
745,Vilanova i la Geltrú,22837.165,083073,2011
746,Vilaplana,413.0,431690,2011
747,Vilassar de Dalt,5867.0,082140,2011
748,Vilassar de Mar,13027.0,082191,2011
749,Vilaverd,305.0,431726,2011
750,Vilaür,78.0,172229,2011
751,Vilobí del Penedès,702.0,083041,2011
752,Vilopriu,131.0,172327,2011
753,Vimbodí i Poblet,595.0,431763,2011
754,Vinaixa,361.0,252555,2011
755,Vinebre,302.0,431779,2011
756,Vinyols i els Arcs,1304.0,431785,2011
757,Viver i Serrateix,109.0,083089,2011
758,Xerta,781.0,430521,2011
759,Àger,359.0,250024,2011
760,Òdena,2360.0,081430,2011
761,Òrrius,441.0,081537,2011
