,Codi,Literal,1,2,3,4,5,6 i més,Any
334,251001,Gósol,35,23,13,13,5,6,2001
335,080945,"Granada, la",70,124,97,113,46,21,2001
336,251018,"Granadella, la",66,81,60,46,21,13,2001
337,080958,Granera,15,6,6,4,0,1,2001
338,251023,"Granja d'Escarp, la",96,85,82,78,33,12,2001
339,080961,Granollers,3222,5130,4432,4101,1213,541,2001
340,251039,Granyanella,14,13,15,6,4,2,2001
341,251057,Granyena de les Garrigues,29,15,13,10,2,1,2001
342,251044,Granyena de Segarra,19,14,7,10,7,1,2001
343,430691,Gratallops,23,19,10,19,6,4,2001
344,080977,Gualba,72,93,60,52,21,10,2001
345,170813,Gualta,23,26,20,17,10,8,2001
346,080996,Guardiola de Berguedà,96,106,89,60,18,5,2001
347,430705,"Guiamets, els",19,27,27,25,5,4,2001
348,170828,Guils de Cerdanya,44,38,24,19,4,7,2001
349,251095,Guimerà,43,53,23,18,11,3,2001
350,259031,"Guingueta d'Àneu, la",58,39,23,14,2,7,2001
351,251109,Guissona,231,287,271,294,103,42,2001
352,251116,Guixers,18,11,11,7,7,3,2001
353,081000,Gurb,93,118,113,165,64,47,2001
354,430712,Horta de Sant Joan,109,133,84,99,23,13,2001
355,081017,"Hospitalet de Llobregat, l'",16736,25851,21394,17227,4598,2066,2001
356,081629,"Hostalets de Pierola, els",125,160,113,96,30,21,2001
357,170834,Hostalric,191,284,255,211,68,32,2001
358,081022,Igualada,2438,3278,2551,2535,783,315,2001
359,251155,Isona i Conca Dellà,121,109,87,64,33,24,2001
360,170849,Isòvol,29,16,12,9,10,1,2001
361,251137,Ivars d'Urgell,103,161,113,109,50,40,2001
362,251121,Ivars de Noguera,24,26,22,25,5,10,2001
363,251142,Ivorra,11,12,4,8,9,6,2001
364,170852,Jafre,39,32,25,20,7,7,2001
365,170865,"Jonquera, la",206,210,207,211,51,41,2001
366,081038,Jorba,52,57,33,46,19,7,2001
367,259101,Josa i Tuixén,18,17,10,8,4,2,2001
368,170871,Juià,18,25,29,15,8,2,2001
369,251180,Juncosa,44,59,36,30,18,10,2001
370,251193,Juneda,171,267,199,199,95,49,2001
371,251214,Les,66,56,57,46,16,12,2001
372,251229,Linyola,146,202,167,178,75,35,2001
373,081043,"Llacuna, la",88,76,56,68,22,7,2001
374,170887,Lladó,42,52,47,31,12,6,2001
375,251235,Lladorre,37,24,13,12,5,6,2001
376,251240,Lladurs,15,11,11,13,7,10,2001
377,081056,"Llagosta, la",587,1206,1100,981,237,93,2001
378,170890,Llagostera,2657,399,200,161,51,31,2001
379,170904,Llambilles,24,17,16,21,8,21,2001
380,170911,Llanars,63,41,47,29,14,6,2001
381,170926,Llançà,451,487,338,240,61,30,2001
382,251253,Llardecans,62,54,36,42,20,10,2001
383,251266,Llavorsí,39,38,25,19,1,2,2001
384,251207,Lleida,8277,10751,9351,8319,2586,1164,2001
385,170932,Llers,58,104,76,76,28,11,2001
386,251272,Lles de Cerdanya,31,25,19,20,7,4,2001
387,081075,Lliçà d'Amunt,395,849,794,888,328,144,2001
388,081081,Lliçà de Vall,171,376,446,496,139,63,2001
389,251288,Llimiana,31,12,9,4,6,2,2001
390,081069,Llinars del Vallès,404,635,598,575,187,81,2001
391,170947,Llívia,152,104,74,62,21,10,2001
392,430727,"Lloar, el",12,17,12,5,1,1,2001
393,251291,Llobera,8,8,8,9,9,13,2001
394,430733,Llorac,11,13,8,6,5,2,2001
395,430748,Llorenç del Penedès,105,147,109,131,47,27,2001
396,170950,Lloret de Mar,1790,1907,1543,1469,467,252,2001
