,Codi,Literal,Any,Total,Homes,Dones,0-14 Anys,15-64 Anys,64 o més,Índex d'envelliment,Índex de sobreenvelliment,Saldo migratori total,Immigracions,Emigracions
249,080734,Cornellà de Llobregat,2000,80998,39716,41282,10051,58157,12790,121.0,8.0,,,
250,170561,Cornellà del Terri,2000,1921,963,958,278,1257,386,,,,,
251,430496,Cornudella de Montsant,2000,840,427,413,79,502,259,,,,,
252,430509,Creixell,2000,1837,922,915,241,1249,347,,,,,
253,170583,Crespià,2000,205,102,103,19,121,65,,,,,
254,179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",2000,1096,543,553,155,734,207,,,,,
255,080749,Cubelles,2000,6497,3321,3176,909,4609,979,,,,,
256,250791,Cubells,2000,382,194,188,41,218,123,,,,,
257,430516,Cunit,2000,5943,3059,2884,779,4299,865,,,,,
258,170600,Darnius,2000,517,275,242,43,327,147,,,,,
259,170617,Das,2000,158,85,73,21,106,31,,,,,
260,439018,Deltebre,2000,10250,5132,5118,1354,6895,2001,,,,,
261,080752,Dosrius,2000,2846,1453,1393,432,2146,268,,,,,
262,430537,Duesaigües,2000,199,120,79,15,126,58,,,,,
263,170622,"Escala, l'",2000,6285,3155,3130,827,4423,1035,,,,,
264,080765,Esparreguera,2000,17060,8643,8417,2767,12148,2145,,,,,
265,170638,Espinelves,2000,179,90,89,17,103,59,,,,,
266,250812,"Espluga Calba, l'",2000,424,222,202,43,258,123,,,,,
267,430542,"Espluga de Francolí, l'",2000,3654,1802,1852,518,2272,864,,,,,
268,080771,Esplugues de Llobregat,2000,45668,22474,23194,5826,33729,6113,106.0,10.0,,,
269,170643,Espolla,2000,373,187,186,48,219,106,,,,,
270,170656,Esponellà,2000,402,200,202,46,259,97,,,,,
271,250827,Espot,2000,298,162,136,21,213,64,,,,,
272,080787,"Espunyola, l'",2000,276,138,138,35,171,70,,,,,
273,082541,"Esquirol, l'",2000,2088,1042,1046,271,1404,413,,,,,
274,250886,Estamariu,2000,123,66,57,4,79,40,,,,,
275,080790,"Estany, l'",2000,398,189,209,35,263,100,,,,,
276,250851,Estaràs,2000,187,103,84,25,112,50,,,,,
277,250864,Esterri d'Àneu,2000,646,319,327,50,427,169,,,,,
278,250870,Esterri de Cardós,2000,75,40,35,6,46,23,,,,,
279,430555,Falset,2000,2448,1234,1214,336,1554,558,,,,,
280,170059,"Far d'Empordà, el",2000,387,202,185,51,265,71,,,,,
281,250899,Farrera,2000,97,57,40,14,62,21,,,,,
282,430568,"Fatarella, la",2000,1244,620,624,119,749,376,,,,,
283,430574,"Febró, la",2000,63,39,24,5,44,14,,,,,
284,081347,Figaró-Montmany,2000,825,436,389,126,549,150,,,,,
