,Literal,Codi,Any,Aturats,Evolucio atur,Poblacio activa,Renda
526,"Papiol, el",081580,2012,327.6,,,10.2
527,Pardines,171254,2012,0.6,,,
528,Parets del Vallès,081593,2012,1634.5,,,14.0
529,Parlavà,171267,2012,21.7,,,
530,Passanant i Belltall,431016,2012,4.3,,,
531,Pau,171289,2012,32.3,,,
532,Paüls,431021,2012,44.8,,,
533,Pedret i Marzà,171292,2012,15.3,,,
534,Penelles,251641,2012,13.3,,,
535,"Pera, la",171306,2012,15.3,,,
536,Perafita,081607,2012,25.7,,,
537,Perafort,431037,2012,84.8,,,12.9
538,Peralada,171328,2012,67.6,,,13.5
539,Peramola,251654,2012,10.2,,,
540,"Perelló, el",431042,2012,162.8,,,14.6
541,Piera,081614,2012,1550.0,,,15.5
542,"Piles, les",431055,2012,17.2,,,
543,Pineda de Mar,081635,2012,2977.8,,,14.7
544,"Pinell de Brai, el",431068,2012,64.7,,,
545,Pinell de Solsonès,251667,2012,3.5,,,
546,Pinós,251673,2012,8.5,,,
547,Pira,431074,2012,28.2,,,
548,"Pla de Santa Maria, el",431080,2012,235.8,,,16.7
549,"Pla del Penedès, el",081640,2012,77.6,,,11.4
550,"Planes d'Hostoles, les",171334,2012,110.3,,,13.3
551,Planoles,171349,2012,15.6,,,
552,"Plans de Sió, els",259118,2012,23.8,,,
553,"Poal, el",251689,2012,27.3,,,
554,"Pobla de Cérvoles, la",251692,2012,8.4,,,
555,"Pobla de Claramunt, la",081653,2012,192.4,,,15.0
556,"Pobla de Lillet, la",081666,2012,92.4,,,15.5
557,"Pobla de Mafumet, la",431093,2012,237.9,,,14.3
558,"Pobla de Massaluca, la",431107,2012,16.0,,,
559,"Pobla de Montornès, la",431114,2012,284.6,,,12.9
560,"Pobla de Segur, la",251713,2012,198.3,,,14.0
561,Poboleda,431129,2012,23.2,,,
562,Polinyà,081672,2012,791.2,,,14.6
563,"Pont d'Armentera, el",431135,2012,50.3,,,
564,"Pont de Bar, el",250306,2012,9.3,,,
