,Literal,Codi,Any,Evolucio atur
313,Gaià,080902,2013,-1.0
314,"Galera, la",430635,2013,-2.3000000000000043
315,Gallifa,080879,2013,1.5999999999999996
316,Gandesa,430640,2013,20.40000000000001
317,Garcia,430653,2013,-2.0
318,"Garidells, els",430666,2013,-1.8000000000000007
319,"Garriga, la",080885,2013,42.40000000000009
320,Garrigàs,170754,2013,-3.5
321,Garrigoles,170767,2013,-0.6999999999999993
322,Garriguella,170773,2013,0.3999999999999986
323,Gavà,080898,2013,95.40000000000008
324,Gavet de la Conca,250984,2013,-1.1000000000000014
325,Gelida,080919,2013,31.59999999999991
326,Ger,170789,2013,-2.9000000000000004
327,Gimenells i el Pla de la Font,259123,2013,2.700000000000003
328,Ginestar,430672,2013,-3.899999999999992
329,Girona,170792,2013,83.90000000000055
330,Gironella,080924,2013,-22.399999999999977
331,Gisclareny,080930,2013,-0.6
332,Godall,430688,2013,1.0
333,Golmés,250997,2013,2.200000000000003
334,Gombrèn,170806,2013,1.9000000000000004
335,Gósol,251001,2013,-2.2
336,"Granada, la",080945,2013,9.700000000000015
337,"Granadella, la",251018,2013,0.4000000000000021
338,Granera,080958,2013,1.0999999999999996
339,"Granja d'Escarp, la",251023,2013,-0.8999999999999986
340,Granollers,080961,2013,112.5
341,Granyanella,251039,2013,-1.8999999999999997
342,Granyena de les Garrigues,251057,2013,-0.5000000000000009
343,Granyena de Segarra,251044,2013,-0.3999999999999999
344,Gratallops,430691,2013,-0.5000000000000009
345,Gualba,080977,2013,3.799999999999997
346,Gualta,170813,2013,0.8000000000000007
347,Guardiola de Berguedà,080996,2013,9.299999999999995
348,"Guiamets, els",430705,2013,3.700000000000003
349,Guils de Cerdanya,170828,2013,-1.3000000000000007
350,Guimerà,251095,2013,1.5
351,"Guingueta d'Àneu, la",259031,2013,0.1999999999999993
352,Guissona,251109,2013,0.6999999999999886
353,Guixers,251116,2013,2.1
354,Gurb,081000,2013,6.900000000000006
355,Horta de Sant Joan,430712,2013,-2.0
356,"Hospitalet de Llobregat, l'",081017,2013,54.69999999999709
357,"Hostalets de Pierola, els",081629,2013,7.400000000000006
358,Hostalric,170834,2013,0.5
359,Igualada,081022,2013,100.19999999999982
360,Isona i Conca Dellà,251155,2013,8.0
361,Isòvol,170849,2013,-2.3000000000000007
362,Ivars d'Urgell,251137,2013,-0.7999999999999972
363,Ivars de Noguera,251121,2013,-0.6999999999999993
364,Ivorra,251142,2013,0.4000000000000003
365,Jafre,170852,2013,-4.699999999999999
366,"Jonquera, la",170865,2013,-0.9000000000000341
367,Jorba,081038,2013,5.5
368,Josa i Tuixén,259101,2013,-1.1
369,Juià,170871,2013,-0.8999999999999986
370,Juncosa,251180,2013,-0.5
371,Juneda,251193,2013,-1.0
372,Les,251214,2013,0.6000000000000014
373,Linyola,251229,2013,8.800000000000011
374,"Llacuna, la",081043,2013,6.0
375,Lladó,170887,2013,1.9000000000000057
376,Lladorre,251235,2013,1.2000000000000002
377,Lladurs,251240,2013,3.8
378,"Llagosta, la",081056,2013,6.2000000000000455
379,Llagostera,170890,2013,-6.5
380,Llambilles,170904,2013,1.8999999999999984
381,Llanars,170911,2013,0.3000000000000007
