,Literal,Codi,Any,Renda
381,Serinyà,171903,2010,14.9
382,Seròs,252043,2010,11.6
383,"Seu d'Urgell, la",252038,2010,13.7
384,Seva,082690,2010,16.4
385,Sils,171931,2010,14.6
386,Sitges,082704,2010,18.1
387,Solsona,252075,2010,13.7
388,Sort,252094,2010,15.1
389,Soses,252108,2010,12.8
390,Subirats,082732,2010,15.9
391,Súria,082747,2010,15.7
392,Taradell,082785,2010,16.3
393,Tarragona,431482,2010,16.3
394,Tàrrega,252173,2010,13.7
395,Teià,082819,2010,23.3
396,Térmens,252206,2010,12.9
397,Terrassa,082798,2010,16.1
398,Tiana,082824,2010,23.0
399,Tivissa,431508,2010,13.5
400,Tona,082830,2010,15.9
401,Torà,252234,2010,14.1
402,Tordera,082845,2010,13.2
403,Torelló,082858,2010,15.6
404,"Torre de Claramunt, la",082861,2010,14.9
405,Torredembarra,431536,2010,14.4
406,Torrefarrera,252287,2010,15.9
407,Torregrossa,252304,2010,13.1
408,Torrelavit,082877,2010,17.8
409,Torrelles de Foix,082883,2010,12.1
410,Torrelles de Llobregat,082896,2010,17.9
411,Torres de Segre,252326,2010,12.4
412,Torroella de Montgrí,171997,2010,13.2
413,Tortosa,431554,2010,14.8
414,Tossa de Mar,172023,2010,13.7
415,Tremp,252347,2010,14.8
416,Ullà,172044,2010,12.5
417,Ullastrell,082900,2010,17.9
418,Ulldecona,431567,2010,10.6
419,Vacarisses,082917,2010,15.7
420,"Vall d'en Bas, la",172076,2010,17.4
421,"Vall de Bianya, la",172082,2010,16.1
422,"Vall de Boí, la",250432,2010,15.2
423,Vallbona d'Anoia,082922,2010,15.6
424,Vallfogona de Balaguer,252402,2010,14.0
425,Vallgorguina,082943,2010,16.3
426,Vallirana,082956,2010,16.6
427,Vallmoll,431606,2010,17.6
428,Vallromanes,082969,2010,21.6
429,Valls,431613,2010,15.1
430,Vandellòs i l'Hospitalet de l'Infant,431628,2010,14.7
431,"Vendrell, el",431634,2010,14.3
432,Verdú,252424,2010,0.0
433,Verges,172116,2010,15.3
434,Vic,082981,2010,16.0
435,Vidreres,172137,2010,14.4
436,Vielha e Mijaran,252430,2010,14.0
437,Vilablareix,172155,2010,18.7
438,Viladecans,083015,2010,16.5
439,Viladecavalls,083008,2010,17.6
440,Viladrau,172207,2010,16.1
441,Vilafant,172214,2010,14.6
442,Vilafranca del Penedès,083054,2010,16.5
443,Vilajuïga,172235,2010,14.1
444,Vilallonga del Camp,431665,2010,15.4
445,Vilamalla,172266,2010,14.9
446,Vilanova de Bellpuig,252483,2010,13.1
447,Vilanova de la Barca,252542,2010,13.5
448,Vilanova del Camí,083020,2010,12.9
449,Vilanova del Vallès,089024,2010,19.1
450,Vilanova i la Geltrú,083073,2010,15.9
451,Vila-rodona,431704,2010,13.9
452,Vila-seca,431711,2010,13.5
453,Vilassar de Dalt,082140,2010,20.9
454,Abrera,080018,2011,17.3
455,Agramunt,250030,2011,13.6
456,Aiguafreda,080142,2011,16.8
457,Aitona,250387,2011,11.4
458,Albatàrrec,250077,2011,12.2
459,Albesa,250083,2011,12.4
460,Albinyana,430022,2011,12.6
461,Alcanar,430043,2011,11.4
462,Alcarràs,250117,2011,12.6
463,Alcoletge,250122,2011,13.6
464,Alcover,430056,2011,14.0
465,"Aldea, l'",439044,2011,11.3
466,Alella,080039,2011,22.5
467,Alfarràs,250138,2011,12.5
468,Alforja,430094,2011,12.7
469,Alguaire,250169,2011,14.3
470,Almacelles,250194,2011,12.6
471,Almenar,250215,2011,12.9
472,Almoster,430115,2011,18.2
473,Alp,170062,2011,13.3
474,Alpicat,250236,2011,17.3
475,Altafulla,430120,2011,18.2
476,Amer,170078,2011,16.5
477,"Ametlla de Mar, l'",430136,2011,10.9
478,"Ametlla del Vallès, l'",080057,2011,20.1
479,"Ampolla, l'",439060,2011,11.5
480,Amposta,430141,2011,12.1
481,Anglès,170084,2011,14.4
482,Anglesola,250273,2011,13.8
483,Arbeca,250292,2011,12.1
484,"Arboç, l'",430167,2011,13.4
485,Arbúcies,170097,2011,13.1
486,Arenys de Mar,080060,2011,15.9
487,Arenys de Munt,080076,2011,15.8
488,Argentona,080095,2011,17.2
489,Artés,080109,2011,15.7
490,Artesa de Lleida,250334,2011,13.9
491,Artesa de Segre,250349,2011,12.3
492,Ascó,430192,2011,16.3
493,Avià,080116,2011,16.3
494,Avinyó,080121,2011,15.2
495,Avinyonet de Puigventós,170123,2011,15.5
496,Avinyonet del Penedès,080137,2011,16.7
497,Badalona,080155,2011,15.6
498,Badia del Vallès,089045,2011,12.0
499,Bagà,080168,2011,15.9
500,Balaguer,250404,2011,13.0
501,Balenyà,080174,2011,15.7
502,Balsareny,080180,2011,15.5
503,Banyeres del Penedès,430206,2011,15.6
504,Banyoles,170157,2011,15.6
505,Barberà del Vallès,082520,2011,16.7
506,Barcelona,080193,2011,20.5
507,Batea,430228,2011,11.1
508,Begues,080207,2011,20.6
509,Begur,170139,2011,14.3
510,Bellcaire d'Urgell,250479,2011,13.7
511,Bell-lloc d'Urgell,250485,2011,13.9
512,Bellpuig,250501,2011,13.3
513,Bellvei,430249,2011,12.4
514,Bellver de Cerdanya,250518,2011,14.3
515,Bellvís,250523,2011,13.4
516,Benavent de Segrià,250539,2011,14.8
517,Benissanet,430265,2011,12.0
518,Berga,080229,2011,15.8
519,Besalú,170195,2011,16.2
520,Bescanó,170209,2011,16.5
521,"Bisbal d'Empordà, la",170221,2011,13.2
522,"Bisbal del Penedès, la",430287,2011,13.6
523,Blanes,170237,2011,13.4
524,Bordils,170255,2011,15.4
525,"Borges Blanques, les",250582,2011,14.6
526,"Borges del Camp, les",430311,2011,14.3
527,Bossòst,250595,2011,14.5
528,Botarell,430332,2011,14.3
529,Breda,170274,2011,14.7
530,"Bruc, el",080253,2011,17.1
531,Cabra del Camp,430363,2011,12.6
532,Cabrera d'Anoia,080288,2011,13.9
533,Cabrera de Mar,080291,2011,20.4
534,Cabrils,080305,2011,22.0
535,Cadaqués,170329,2011,11.1
536,Calaf,080312,2011,14.7
537,Calafell,430379,2011,13.9
538,Caldes d'Estrac,080327,2011,17.2
539,Caldes de Malavella,170335,2011,14.9
540,Caldes de Montbui,080333,2011,16.9
541,Calella,080351,2011,13.6
542,Calldetenes,080370,2011,16.0
543,Callús,080386,2011,15.2
544,Camarles,439039,2011,11.0
545,Cambrils,430385,2011,14.7
546,Campdevànol,170366,2011,16.4
547,Camprodon,170391,2011,15.8
548,Canet de Mar,080403,2011,15.7
549,"Canonja, la",439076,2011,12.9
550,Canovelles,080410,2011,13.7
551,Cànoves i Samalús,080425,2011,16.4
552,Canyelles,080431,2011,16.7
553,Capellades,080446,2011,15.9
554,Cardedeu,080462,2011,17.0
555,Cardona,080478,2011,16.4
556,Cassà de la Selva,170448,2011,15.4
