,Any,Literal,Codi,Connectivitat
487,2012,Sant Vicenç de Montalt,082649,23.6642
488,2012,Vilanova del Camí,083020,36.679
489,2012,Súria,082747,22.9899
490,2012,Subirats,082732,38.984899999999996
491,2012,Sora,082726,3.6914000000000002
492,2012,Sobremunt,082711,0.8726
493,2012,Sitges,082704,132.7055
494,2012,Seva,082690,67.5204
495,2012,Cercs,082687,14.957699999999999
496,2012,Sentmenat,082671,44.3907
497,2012,Tagamanent,082763,4.5115
498,2012,Sant Vicenç de Torelló,082652,14.14
499,2012,Talamanca,082779,4.6049
500,2012,Sant Vicenç dels Horts,082634,100.195
501,2012,Sant Vicenç de Castellet,082628,36.304100000000005
502,2012,Santa Susanna,082613,19.6426
503,2012,Santa Perpètua de Mogoda,082606,121.56450000000001
504,2012,Santa Maria de Palautordera,082592,65.1637
505,2012,Santa Maria d'Oló,082589,7.4405
506,2012,Santa Maria de Miralles,082573,0.0
507,2012,Santa Maria de Martorelles,082567,4.773199999999999
508,2012,Santa Maria de Merlès,082554,0.0
509,2012,Campdevànol,170366,14.1767
510,2012,Cerdanyola del Vallès,082665,222.52460000000002
511,2012,Torrelles de Foix,082883,21.0535
512,2012,Vilada,082994,4.9132
513,2012,Vic,082981,203.0106
514,2012,Veciana,082975,2.033
515,2012,Vallromanes,082969,27.1893
516,2012,Àger,250024,11.4934
517,2012,Vallgorguina,082943,35.8877
518,2012,Bausen,250450,1.1016
519,2012,Vallbona d'Anoia,082922,7.0807
520,2012,Vacarisses,082917,49.885000000000005
521,2012,Tavèrnoles,082750,1.5594999999999999
522,2012,Torrelles de Llobregat,082896,41.6177
523,2012,Santa Maria de Besora,082536,1.404
524,2012,Torrelavit,082877,11.8926
525,2012,la Torre de Claramunt,082861,40.9748
526,2012,Torelló,082858,54.9571
527,2012,Tordera,082845,73.9894
528,2012,Tona,082830,48.1428
529,2012,Tiana,082824,32.0418
530,2012,Teià,082819,24.9496
531,2012,Tavertet,082802,1.7697
532,2012,Terrassa,082798,485.4466
533,2012,Taradell,082785,42.7483
534,2012,Ullastrell,082900,13.6706
535,2012,la Sénia,430445,45.9446
536,2012,la Fatarella,430568,6.6827
537,2012,Falset,430555,15.3046
538,2012,l'Espluga de Francolí,430542,17.863
539,2012,Duesaigües,430537,1.4517
540,2012,Xerta,430521,4.9686
541,2012,Cunit,430516,97.8572
542,2012,Creixell,430509,40.64
543,2012,Cornudella de Montsant,430496,7.532
544,2012,Corbera d'Ebre,430483,8.4915
545,2012,Constantí,430477,70.5257
546,2012,el Milà,430831,1.0772
547,2012,Colldejou,430458,1.1124
548,2012,Figuerola del Camp,430593,2.7126
549,2012,el Catllar,430430,56.4066
550,2012,Castellvell del Camp,430424,30.5197
551,2012,Caseres,430419,1.7798
552,2012,Capçanes,430402,1.6436000000000002
553,2012,Capafonts,430398,1.7852000000000001
554,2012,Cambrils,430385,211.61419999999998
555,2012,Calafell,430379,186.2999
556,2012,Cabra del Camp,430363,21.497
557,2012,Cabacés,430350,2.2616
558,2012,Bràfim,430347,5.0448
559,2012,Conesa,430461,1.3751
560,2012,els Guiamets,430705,1.8089
561,2012,la Vall de Boí,250432,13.851300000000002
562,2012,Maspujols,430810,3.5249
563,2012,la Masó,430803,0.8946999999999999
564,2012,Masllorenç,430799,10.9194
565,2012,Masdenverge,430786,9.0811
566,2012,Mas de Barberans,430770,3.2748
