,Literal,Codi,Any,Riscos
774,Santa Maria de Besora,082536,2020,3
775,Santa Maria de Martorelles,082567,2020,4
776,Santa Maria de Merlès,082554,2020,3
777,Santa Maria de Miralles,082573,2020,4
778,Santa Maria de Palautordera,082592,2020,6
779,Santa Oliva,431401,2020,5
780,Santa Pau,171848,2020,4
781,Santa Perpètua de Mogoda,082606,2020,8
782,Santa Susanna,082613,2020,6
783,Santpedor,081923,2020,5
784,Sarral,431423,2020,5
785,Sarrià de Ter,171864,2020,5
786,Sarroca de Bellera,252017,2020,4
787,Sarroca de Lleida,252000,2020,5
788,"Saus, Camallera i Llampaies",171870,2020,5
789,Savallà del Comtat,431439,2020,3
790,Senan,431460,2020,4
791,Senterada,252022,2020,4
792,Sentmenat,082671,2020,4
793,Serinyà,171903,2020,4
794,Serra de Daró,171910,2020,3
795,Seròs,252043,2020,5
796,Setcases,171925,2020,6
797,Seva,082690,2020,5
798,Sidamon,252056,2020,4
799,Sils,171931,2020,7
800,Sitges,082704,2020,7
801,Siurana,170524,2020,4
802,Sobremunt,082711,2020,3
803,Solivella,431476,2020,4
804,Solsona,252075,2020,5
805,Sora,082726,2020,3
806,Soriguera,252081,2020,5
807,Sort,252094,2020,6
808,Soses,252108,2020,4
809,Subirats,082732,2020,5
810,Sudanell,252115,2020,4
811,Sunyer,252120,2020,2
812,Susqueda,171946,2020,3
813,Súria,082747,2020,4
814,Tagamanent,082763,2020,5
815,Talamanca,082779,2020,6
816,Talarn,252154,2020,5
817,Talavera,252167,2020,4
818,Taradell,082785,2020,5
819,Tarragona,431482,2020,12
820,Tarroja de Segarra,252192,2020,3
821,Tarrés,252189,2020,4
822,Tavertet,082802,2020,3
823,Tavèrnoles,082750,2020,5
824,Teià,082819,2020,4
825,Terrades,171962,2020,4
826,Terrassa,082798,2020,10
827,Tiana,082824,2020,4
828,Tiurana,252228,2020,4
829,Tivenys,431495,2020,6
830,Tivissa,431508,2020,7
831,Tona,082830,2020,4
832,Tordera,082845,2020,5
833,Torelló,082858,2020,3
834,Tornabous,252252,2020,3
835,Torre-serona,252332,2020,4
836,Torrebesses,252265,2020,5
837,Torredembarra,431536,2020,7
838,Torrefarrera,252287,2020,5
839,Torrefeta i Florejacs,259078,2020,4
840,Torregrossa,252304,2020,3
841,Torrelameu,252311,2020,3
842,Torrelavit,082877,2020,4
843,Torrelles de Foix,082883,2020,5
844,Torrelles de Llobregat,082896,2020,4
845,Torrent,171978,2020,4
846,Torres de Segre,252326,2020,5
847,Torroella de Fluvià,171984,2020,3
848,Torroella de Montgrí,171997,2020,6
849,Torroja del Priorat,431541,2020,4
850,Tortellà,172001,2020,3
851,Tortosa,431554,2020,9
852,Torà,252234,2020,4
853,Toses,172018,2020,6
854,Tossa de Mar,172023,2020,6
855,Tremp,252347,2020,6
856,Tàrrega,252173,2020,4
857,Térmens,252206,2020,3
858,Tírvia,252213,2020,4
859,Ullastrell,082900,2020,4
860,Ullastret,172057,2020,3
861,Ulldecona,431567,2020,6
862,Ulldemolins,431573,2020,5
863,Ullà,172044,2020,4
864,Ultramort,172039,2020,3
865,Urús,172060,2020,3
866,Vacarisses,082917,2020,6
867,Vall de Cardós,259010,2020,5
868,Vall-llobrega,172095,2020,3
869,Vallbona d'Anoia,082922,2020,4
870,Vallbona de les Monges,252385,2020,4
871,Vallcebre,082938,2020,3
872,Vallclara,431589,2020,3
873,Vallfogona de Balaguer,252402,2020,3
874,Vallfogona de Ripollès,171707,2020,4
875,Vallfogona de Riucorb,431592,2020,4
876,Vallgorguina,082943,2020,6
877,Vallirana,082956,2020,4
878,Vallmoll,431606,2020,5
879,Vallromanes,082969,2020,4
880,Valls,431613,2020,8
881,Vandellòs i l'Hospitalet de l'Infant,431628,2020,11
882,Veciana,082975,2020,4
883,Ventalló,172109,2020,5
884,Verdú,252424,2020,3
885,Verges,172116,2020,3
886,Vespella de Gaià,431649,2020,5
887,Vic,082981,2020,6
888,Vidreres,172137,2020,5
889,Vidrà,172121,2020,3
890,Vielha e Mijaran,252430,2020,8
891,Vila-rodona,431704,2020,6
892,Vila-sacra,172305,2020,3
893,Vila-sana,252521,2020,5
894,Vila-seca,431711,2020,11
895,Vilabella,431652,2020,3
896,Vilabertran,172142,2020,4
897,Vilablareix,172155,2020,6
898,Vilada,082994,2020,4
899,Viladamat,172174,2020,4
900,Viladasens,172168,2020,5
901,Viladecans,083015,2020,9
902,Viladecavalls,083008,2020,5
903,Vilademuls,172180,2020,5
904,Viladrau,172207,2020,4
905,Vilafant,172214,2020,4
906,Vilafranca del Penedès,083054,2020,7
907,Vilagrassa,252445,2020,4
908,Vilajuïga,172235,2020,6
909,Vilalba Sasserra,083067,2020,5
910,Vilalba dels Arcs,431750,2020,5
911,Vilaller,252458,2020,7
912,Vilallonga de Ter,172240,2020,5
913,Vilallonga del Camp,431665,2020,5
914,Vilamacolum,172253,2020,3
915,Vilamalla,172266,2020,4
916,Vilamaniscle,172272,2020,3
917,Vilamòs,252477,2020,5
918,Vilanant,172288,2020,4
919,Vilanova d'Escornalbou,431671,2020,5
920,Vilanova de Bellpuig,252483,2020,2
921,Vilanova de Meià,252509,2020,4
922,Vilanova de Prades,431687,2020,3
923,Vilanova de Sau,083036,2020,3
924,Vilanova de Segrià,252516,2020,3
925,Vilanova de l'Aguda,252496,2020,4
926,Vilanova de la Barca,252542,2020,3
927,Vilanova del Camí,083020,2020,5
928,Vilanova del Vallès,089024,2020,7
929,Vilanova i la Geltrú,083073,2020,6
930,Vilaplana,431690,2020,4
931,Vilassar de Dalt,082140,2020,4
932,Vilassar de Mar,082191,2020,4
933,Vilaverd,431726,2020,4
934,Vilaür,172229,2020,4
935,Vilobí d'Onyar,172333,2020,7
936,Vilobí del Penedès,083041,2020,2
937,Vilopriu,172327,2020,5
938,Vimbodí i Poblet,431763,2020,5
939,Vinaixa,252555,2020,4
940,Vinebre,431779,2020,8
941,Vinyols i els Arcs,431785,2020,8
942,Viver i Serrateix,083089,2020,3
943,Xerta,430521,2020,6
944,Àger,250024,2020,5
945,Òdena,081430,2020,6
946,Òrrius,081537,2020,4
