Codi,Municipi,2012,2013,2014,2015,2016,2017,2018,2019,2020
80351.0,Calella,1757.3,1707.3,1578.4,1465.9,1314.7,1205.8,1182.1,1157.0,1443.8
80370.0,Calldetenes,171.1,180.1,150.2,129.8,113.2,100.8,88.5,80.2,84.4
80386.0,Callús,153.4,162.1,156.7,143.4,117.1,94.6,94.7,91.7,116.5
80364.0,Calonge de Segarra,9.7,7.6,6.8,4.7,3.7,3.5,6.3,6.8,5.7
170340.0,Calonge i Sant Antoni,846.1,827.1,787.8,696.7,652.3,555.5,534.5,514.9,623.7
250621.0,Camarasa,40.6,39.8,36.6,29.6,26.3,26.8,24.6,23.3,26.5
439039.0,Camarles,306.9,304.1,282.3,241.1,211.5,168.8,166.9,145.8,185.5
430385.0,Cambrils,2690.4,2728.1,2636.8,2433.5,2245.3,2084.8,2007.8,1942.3,2544.2
170353.0,Camós,27.1,26.6,26.3,25.5,18.8,19.7,19.1,18.1,22.7
170366.0,Campdevànol,207.6,213.2,179.1,150.5,125.0,116.2,108.3,105.4,134.5
170372.0,Campelles,5.1,3.2,2.6,3.5,4.5,2.6,1.6,0.8,2.4
80399.0,Campins,34.8,40.3,32.5,28.8,27.2,19.2,23.1,19.4,26.6
170388.0,Campllong,26.0,19.8,16.8,11.2,13.8,12.3,10.5,7.1,9.3
170391.0,Camprodon,138.7,127.8,125.7,103.7,76.3,72.8,62.1,58.2,78.8
250637.0,Canejan,3.2,2.0,3.3,2.5,1.6,2.8,3.4,3.5,4.3
170405.0,Canet d'Adri,23.3,20.7,24.1,22.0,22.9,22.7,16.1,17.9,28.3
80403.0,Canet de Mar,1250.8,1230.5,1148.8,1046.9,901.0,827.8,762.7,765.7,867.8
439076.0,"Canonja, la",440.6,484.6,493.8,450.1,367.4,324.2,306.7,295.4,381.7
80410.0,Canovelles,1972.2,2025.1,1925.8,1724.3,1501.6,1303.2,1227.4,1208.8,1440.0
80425.0,Cànoves i Samalús,219.1,254.4,238.7,202.8,170.2,154.8,140.6,140.7,162.5
170412.0,Cantallops,18.1,15.9,13.7,10.3,11.8,12.5,12.0,7.3,13.1
80431.0,Canyelles,433.3,441.7,391.1,340.0,299.6,271.0,277.6,255.3,310.2
430398.0,Capafonts,7.0,4.9,5.3,1.8,2.2,1.3,1.6,3.6,4.3
430402.0,Capçanes,19.3,19.0,15.6,15.0,17.8,15.8,15.0,13.4,15.9
80446.0,Capellades,445.8,464.2,440.0,394.2,341.2,309.7,262.0,267.2,330.2
170427.0,Capmany,29.8,31.6,33.3,30.3,23.1,20.1,21.3,22.5,20.8
80459.0,Capolat,3.8,4.3,4.8,1.3,2.3,1.0,1.2,1.0,1.3
80462.0,Cardedeu,1370.5,1374.8,1257.3,1135.6,1005.4,912.8,854.7,847.1,976.9
80478.0,Cardona,324.3,329.9,309.3,278.2,239.1,209.5,196.0,189.4,211.9
80484.0,Carme,71.1,65.8,58.6,58.4,55.2,47.7,48.4,42.3,59.7
430419.0,Caseres,20.2,18.2,13.1,14.5,11.8,11.1,9.5,8.5,12.9
170448.0,Cassà de la Selva,711.3,672.5,594.0,527.2,477.9,435.7,404.5,400.3,512.0
80497.0,Casserres,99.4,107.8,98.3,82.2,81.3,73.8,57.7,57.3,82.7
80575.0,Castell de l'Areny,5.2,4.0,2.8,1.3,1.2,1.2,0.4,0.5,0.8
259046.0,Castell de Mur,9.7,7.2,8.7,9.8,8.6,7.8,7.1,7.8,6.4
250642.0,Castellar de la Ribera,4.3,2.1,1.9,2.8,2.3,1.7,1.5,0.6,1.0
80522.0,Castellar de n'Hug,8.9,8.8,7.4,5.6,6.8,6.2,5.4,7.9,12.8
80500.0,Castellar del Riu,5.2,5.2,4.6,3.0,2.2,1.2,1.1,2.5,3.3
80517.0,Castellar del Vallès,2010.7,2036.3,1831.9,1562.4,1327.8,1182.6,1030.2,976.8,1179.6
80538.0,Castellbell i el Vilar,324.2,346.6,324.6,284.2,253.8,214.3,191.0,197.9,242.8
80543.0,Castellbisbal,946.5,1002.9,913.8,815.8,689.1,609.9,539.6,542.1,636.8
80556.0,Castellcir,30.9,36.8,39.8,39.5,37.8,31.3,26.2,29.2,41.2
250674.0,Castelldans,45.4,49.8,49.2,49.9,52.4,43.1,40.4,36.4,40.9
80569.0,Castelldefels,4697.8,4644.7,4337.9,3844.6,3348.7,2945.0,2701.5,2616.3,3265.6
80581.0,Castellet i la Gornal,182.9,190.7,166.4,161.1,142.1,119.6,121.8,117.8,153.8
170464.0,Castellfollit de la Roca,53.8,61.4,63.9,52.3,36.1,31.2,34.2,35.0,45.1
80608.0,Castellfollit de Riubregós,11.4,11.3,8.6,8.8,7.5,6.9,6.1,6.5,7.3
80594.0,Castellfollit del Boix,15.1,17.5,15.4,16.2,16.6,12.5,11.5,11.3,18.7
80615.0,Castellgalí,184.7,190.8,175.3,144.7,118.7,110.7,99.0,97.3,105.8
80620.0,Castellnou de Bages,82.0,79.1,61.4,58.3,47.5,40.6,37.5,45.1,57.3
250680.0,Castellnou de Seana,38.2,37.8,28.6,31.3,29.3,27.6,25.5,23.2,31.0
170470.0,Castelló d'Empúries,880.1,889.5,836.8,773.9,706.5,674.1,649.9,598.6,726.0
250693.0,Castelló de Farfanya,22.2,26.4,24.8,23.2,20.3,19.8,25.3,22.3,33.0
80636.0,Castellolí,27.1,26.3,22.3,18.2,16.1,11.4,9.1,15.5,16.0
170486.0,Castell-Platja d'Aro,696.3,682.9,585.1,530.3,482.3,454.2,404.8,404.2,522.8
250707.0,Castellserà,52.9,61.0,61.5,49.2,42.2,38.2,37.5,32.8,45.3
80641.0,Castellterçol,148.0,147.5,127.4,107.4,95.0,97.1,98.1,94.0,101.4
430424.0,Castellvell del Camp,144.8,151.3,158.9,143.1,114.3,95.8,87.3,79.2,98.0
80654.0,Castellví de la Marca,112.8,112.6,111.7,95.8,76.0,57.1,52.6,57.1,63.2
80667.0,Castellví de Rosanes,113.6,109.8,105.2,98.1,77.7,67.4,64.9,69.7,87.2
430430.0,"Catllar, el",275.8,275.4,265.6,238.0,193.9,179.2,178.8,175.8,213.9
250714.0,Cava,1.8,2.2,3.1,2.1,1.8,1.2,1.4,0.8,1.9
171899.0,"Cellera de Ter, la",125.5,123.8,109.7,87.8,77.2,73.3,66.5,60.7,70.3
170499.0,Celrà,288.6,290.8,270.4,245.8,208.2,194.3,163.3,174.8,212.2
80673.0,Centelles,618.0,624.5,567.2,496.1,435.5,384.1,347.7,324.9,375.3
82687.0,Cercs,104.5,111.5,89.5,75.8,67.6,56.2,54.8,60.0,71.7
82665.0,Cerdanyola del Vallès,4896.3,4830.2,4425.0,3800.3,3303.2,2825.2,2578.0,2500.2,3054.1
80689.0,Cervelló,679.3,696.3,632.2,546.7,458.0,419.1,393.0,394.1,476.7
250729.0,Cervera,797.5,773.2,717.1,664.8,569.5,465.7,424.8,407.3,481.3
250735.0,Cervià de les Garrigues,50.3,55.8,52.5,46.9,48.6,35.6,34.6,31.4,31.1
170502.0,Cervià de Ter,51.8,52.7,48.9,41.6,29.6,33.8,32.6,32.4,32.9
170519.0,Cistella,16.3,16.0,16.6,15.3,12.3,11.3,15.9,12.2,13.4
250740.0,Ciutadilla,11.9,11.8,11.1,7.8,4.7,4.2,7.3,4.9,4.8
250753.0,Clariana de Cardener,5.3,7.7,5.7,2.6,3.1,2.8,3.7,4.6,8.2
250766.0,"Cogul, el",7.8,9.2,8.8,7.5,6.1,4.9,2.1,1.6,3.6
170545.0,Colera,30.8,32.7,29.7,26.5,23.4,15.8,16.0,16.4,19.7
250772.0,Coll de Nargó,28.5,29.6,29.7,24.7,22.5,20.7,15.3,15.3,16.8
80692.0,Collbató,246.0,264.2,230.8,202.7,199.3,167.3,159.9,153.6,196.8
430458.0,Colldejou,16.5,13.2,13.2,13.6,11.8,10.8,11.7,9.7,12.3
80706.0,Collsuspina,17.2,20.7,19.6,14.7,11.4,11.3,6.7,6.3,12.2
170558.0,Colomers,4.5,5.3,6.8,5.6,7.3,5.6,5.1,5.6,6.2
251636.0,"Coma i la Pedra, la",10.8,7.9,7.6,10.7,6.0,8.3,5.8,9.1,12.9
251615.0,Conca de Dalt,20.2,16.8,14.4,16.1,14.4,10.4,8.3,8.8,14.0
430461.0,Conesa,4.4,5.6,7.5,6.0,5.8,2.7,3.2,3.9,3.3
430477.0,Constantí,715.7,742.8,708.4,627.9,571.5,546.3,547.5,537.8,671.9
80713.0,Copons,27.0,20.0,15.1,14.1,18.1,17.3,13.7,10.5,10.6
430483.0,Corbera d'Ebre,52.5,52.0,50.6,46.7,35.0,30.4,23.3,23.1,38.3
80728.0,Corbera de Llobregat,979.7,968.4,888.3,749.6,679.0,603.3,567.8,570.8,655.2
250788.0,Corbins,67.7,62.0,53.8,52.1,42.8,33.5,31.1,30.2,44.3
170577.0,Corçà,80.5,89.9,78.3,65.3,53.2,48.9,42.6,38.8,49.9
80734.0,Cornellà de Llobregat,8407.2,8249.5,7572.8,6766.2,5865.3,5015.4,4728.8,4590.6,5554.8
170561.0,Cornellà del Terri,113.9,105.2,79.5,68.1,55.9,56.8,60.7,53.9,74.9
430496.0,Cornudella de Montsant,60.9,57.8,49.7,52.7,44.7,27.3,22.1,24.2,44.5
430509.0,Creixell,354.7,385.1,377.1,349.3,287.2,259.5,258.8,239.2,281.3
170583.0,Crespià,12.2,11.8,12.9,11.4,8.0,5.2,5.8,7.7,8.8
179011.0,"Cruïlles, Monells i Sant Sadurní de l'Heura",70.3,76.1,64.2,63.3,53.3,51.9,51.2,52.2,64.6
80749.0,Cubelles,1325.8,1348.8,1242.0,1110.3,975.6,907.0,846.0,871.8,994.7
250791.0,Cubells,14.2,16.0,15.7,13.7,10.5,7.4,9.2,7.5,8.6
430516.0,Cunit,1201.1,1208.0,1107.8,988.7,891.7,825.1,806.7,812.5,1024.7
170600.0,Darnius,33.8,32.8,34.8,29.8,25.3,29.5,24.7,22.6,19.7
170617.0,Das,6.0,5.6,3.8,4.6,4.7,2.5,3.1,2.0,4.9
439018.0,Deltebre,1221.4,1229.3,1147.7,1039.1,887.1,764.9,690.3,677.8,813.8
80752.0,Dosrius,452.5,463.6,407.5,369.9,333.7,280.8,264.8,253.7,308.4
430537.0,Duesaigües,19.6,26.4,18.9,12.5,10.1,14.8,15.5,13.9,17.2
170622.0,"Escala, l'",693.2,665.2,643.6,629.3,565.8,500.7,456.8,422.7,512.3
80765.0,Esparreguera,2112.7,2212.8,2037.2,1852.1,1597.1,1378.4,1269.2,1214.1,1433.7
170638.0,Espinelves,5.2,6.7,5.7,5.6,6.7,4.4,3.8,2.2,4.2
250812.0,"Espluga Calba, l'",16.8,13.7,19.5,12.1,9.1,6.3,8.7,7.6,10.8
430542.0,"Espluga de Francolí, l'",256.9,256.3,258.0,222.1,181.4,169.1,156.9,136.9,177.1
80771.0,Esplugues de Llobregat,3549.7,3553.2,3275.7,2934.5,2640.9,2312.5,2116.0,1966.9,2423.8
170643.0,Espolla,16.2,18.8,13.6,10.7,9.5,10.6,9.5,11.0,10.2
