Codi,Literal,Abans de 1900,De 1900 a 1920,De 1921 a 1940,De 1941 a 1950,De 1951 a 1960,De 1961 a 1970,De 1971 a 1980,De 1981 a 1990,De 1991 a 2001,De 2002 a 2011,Total
082362,Sant Quintí de Mediona,322,83,22,9,4,101,115,48,76,97,877
082378,Sant Quirze de Besora,144,15,47,18,38,68,228,53,89,57,757
082384,Sant Quirze del Vallès,87,30,63,82,182,260,420,1199,1154,965,4442
082401,Sant Sadurní d'Anoia,362,95,74,48,248,345,321,236,254,231,2214
080983,Sant Salvador de Guardiola,99,13,7,5,18,20,818,203,188,142,1513
082628,Sant Vicenç de Castellet,129,28,61,132,216,304,446,284,228,217,2045
082649,Sant Vicenç de Montalt,72,75,26,14,80,217,276,335,574,497,2166
082652,Sant Vicenç de Torelló,95,6,7,27,10,91,126,75,134,94,665
082634,Sant Vicenç dels Horts,76,107,216,291,519,1185,1192,598,733,192,5109
431384,Santa Bàrbara,115,69,134,133,114,125,374,189,221,104,1578
082444,Santa Coloma de Cervelló,38,163,38,29,42,85,267,208,346,159,1375
171805,Santa Coloma de Farners,194,73,78,78,218,465,832,514,311,791,3554
082457,Santa Coloma de Gramenet,115,126,226,295,909,1972,1475,459,564,198,6339
431397,Santa Coloma de Queralt,158,77,165,44,61,99,163,109,111,327,1314
171812,Santa Cristina d'Aro,59,16,28,19,37,239,840,650,333,137,2358
082460,Santa Eugènia de Berga,10,6,8,16,24,32,268,162,86,45,657
082482,Santa Eulàlia de Ronçana,58,24,31,24,67,269,837,615,366,304,2595
082508,Santa Margarida de Montbui,80,31,24,19,161,343,375,139,169,141,1482
082515,Santa Margarida i els Monjos,158,57,37,44,83,79,142,152,397,259,1408
082592,Santa Maria de Palautordera,45,49,64,49,72,208,706,618,657,269,2737
431401,Santa Oliva,134,10,21,24,32,99,413,246,189,97,1265
082606,Santa Perpètua de Mogoda,148,39,87,68,163,307,384,1007,683,518,3404
082613,Santa Susanna,28,10,8,4,7,45,237,369,239,288,1235
081923,Santpedor,256,38,24,23,101,124,385,378,319,288,1936
171864,Sarrià de Ter,119,9,11,17,123,107,76,30,197,233,922
431457,"Selva del Camp, la",485,98,33,25,47,114,245,136,249,261,1693
430445,"Sénia, la",392,106,99,91,77,291,349,166,240,98,1909
082671,Sentmenat,81,66,40,38,97,139,333,407,490,351,2042
252038,"Seu d'Urgell, la",138,76,79,83,178,320,246,203,317,236,1876
082690,Seva,131,12,26,16,34,132,276,369,260,253,1509
171931,Sils,109,25,19,40,156,233,511,428,343,255,2119
082704,Sitges,269,100,140,107,377,600,900,640,949,827,4909
252075,Solsona,296,27,26,43,110,144,290,262,345,185,1728
252094,Sort,130,14,28,36,18,33,45,47,127,105,583
082732,Subirats,255,162,43,38,36,97,257,178,171,235,1472
082747,Súria,135,185,60,37,99,148,252,147,152,132,1347
082785,Taradell,158,35,50,38,103,198,322,317,302,424,1947
431482,Tarragona,689,211,295,270,508,1340,2291,1319,1920,993,9836
252173,Tàrrega,207,134,150,222,176,293,374,404,602,634,3196
082819,Teià,128,54,26,22,84,124,255,407,296,97,1493
082798,Terrassa,677,817,1636,1777,4640,4521,4008,2634,3628,1494,25832
082824,Tiana,122,89,96,46,115,148,167,288,236,271,1578
082830,Tona,109,41,91,122,173,268,325,245,291,434,2099
082845,Tordera,458,152,97,78,644,556,968,919,883,590,5345
082858,Torelló,334,52,81,165,166,596,550,338,491,365,3138
082861,"Torre de Claramunt, la",186,5,3,10,115,84,527,267,223,264,1684
431536,Torredembarra,251,16,5,20,123,524,1056,718,605,325,3643
252287,Torrefarrera,5,33,55,52,29,43,108,83,230,438,1076
252304,Torregrossa,265,177,58,42,73,55,62,54,53,84,923
082883,Torrelles de Foix,192,28,24,12,18,73,475,225,122,271,1440
082896,Torrelles de Llobregat,46,54,65,30,35,147,214,231,273,684,1779
252326,Torres de Segre,48,19,42,52,128,104,111,85,58,134,781
171997,Torroella de Montgrí,267,64,83,70,166,321,1654,742,363,966,4696
431554,Tortosa,720,505,486,441,726,558,1207,964,649,625,6881
172023,Tossa de Mar,17,14,15,30,50,229,573,326,73,34,1361
252347,Tremp,376,32,54,128,274,184,235,102,126,122,1633
431567,Ulldecona,590,211,233,165,231,221,384,173,216,170,2594
082917,Vacarisses,145,6,12,44,226,311,1222,409,812,354,3541
172076,"Vall d'en Bas, la",238,28,16,19,29,71,267,147,209,241,1265
082943,Vallgorguina,17,5,16,16,31,53,315,288,112,261,1114
082956,Vallirana,156,42,12,28,157,227,1005,1416,1092,540,4675
082969,Vallromanes,19,20,21,9,23,33,166,273,248,117,929
431613,Valls,764,163,123,108,284,823,872,482,953,472,5044
431628,Vandellòs i l'Hospitalet de l'Infant,326,44,27,20,23,139,320,94,163,241,1397
431634,"Vendrell, el",557,122,62,129,161,513,2241,2999,2206,1166,10156
082981,Vic,467,177,178,143,325,1040,926,833,652,635,5376
172137,Vidreres,52,35,35,44,123,251,532,551,681,841,3145
252430,Vielha e Mijaran,234,20,58,71,68,60,192,170,152,157,1182
172155,Vilablareix,46,4,4,4,11,30,151,42,234,163,689
083015,Viladecans,129,62,137,141,422,965,1046,557,1114,562,5135
083008,Viladecavalls,88,10,9,26,89,214,378,428,758,316,2316
172214,Vilafant,46,48,14,23,34,98,226,395,342,510,1736
083054,Vilafranca del Penedès,333,190,133,186,372,576,556,359,603,534,3842
431665,Vilallonga del Camp,35,46,56,84,67,54,56,30,111,116,655
083020,Vilanova del Camí,69,6,28,19,153,461,528,358,366,164,2152
089024,Vilanova del Vallès,5,5,15,18,24,110,366,280,266,558,1647
083073,Vilanova i la Geltrú,747,299,263,345,742,1009,1901,876,1984,1045,9211
431711,Vila-seca,106,28,32,84,150,392,306,306,366,347,2117
082140,Vilassar de Dalt,543,212,29,17,135,250,304,517,266,199,2472
082191,Vilassar de Mar,571,141,208,82,238,331,347,362,633,109,3022
172333,Vilobí d'Onyar,142,24,21,30,38,56,210,93,110,317,1041
,Catalunya,116722,44263,47469,45466,93311,137868,215055,167028,171220,138919,1177321
