Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
082665,Cerdanyola del Vallès,1774,1967,-193,329,364,-35,1037,675,362,134,
080689,Cervelló,578,475,103,29,55,-26,62,35,27,104,
250729,Cervera,255,261,-6,65,49,16,188,62,126,136,
250735,Cervià de les Garrigues,17,22,-5,1,3,-2,5,0,5,-2,
170502,Cervià de Ter,44,37,7,1,1,0,15,3,12,19,
170519,Cistella,7,19,-12,0,1,-1,1,0,1,-12,
250740,Ciutadilla,14,9,5,1,2,-1,5,5,0,4,
250753,Clariana de Cardener,12,5,7,1,0,1,3,0,3,11,
250766,"Cogul, el",6,7,-1,1,0,1,1,0,1,1,
170545,Colera,16,21,-5,2,6,-4,7,14,-7,-16,
250772,Coll de Nargó,22,17,5,2,5,-3,6,2,4,6,
080692,Collbató,227,209,18,2,6,-4,13,14,-1,13,
430458,Colldejou,18,12,6,0,1,-1,1,0,1,6,
080706,Collsuspina,9,10,-1,0,0,0,3,0,3,2,
170558,Colomers,10,10,0,0,0,0,1,0,1,1,
251636,"Coma i la Pedra, la",17,11,6,0,0,0,0,0,0,6,
251615,Conca de Dalt,17,23,-6,1,1,0,0,0,0,-6,
430461,Conesa,3,1,2,0,0,0,0,0,0,2,
430477,Constantí,303,316,-13,46,52,-6,84,49,35,16,
080713,Copons,12,10,2,0,0,0,2,3,-1,1,
430483,Corbera d'Ebre,12,19,-7,1,1,0,22,5,17,10,
080728,Corbera de Llobregat,728,583,145,43,83,-40,140,66,74,179,
250788,Corbins,48,33,15,6,8,-2,24,8,16,29,
170577,Corçà,59,52,7,6,1,5,9,5,4,16,
