Codi,Literal,Migracions internes  amb la resta de Catalunya  immigracions,Migracions internes  amb la resta de Catalunya  emigracions,Migracions internes  amb la resta de Catalunya  saldo migratori,Migracions internes  amb la resta d'Espanya  immigracions,Migracions internes  amb la resta d'Espanya  emigracions,Migracions internes  amb la resta d'Espanya  saldo migratori,Migracions externes  immigracions,Migracions externes  emigracions,Migracions externes  saldo migratori,Saldo migratori total
080581,Castellet i la Gornal,214,123,91,12,19,-7,26,44,-18,66
170464,Castellfollit de la Roca,39,39,0,7,2,5,3,4,-1,4
080608,Castellfollit de Riubregós,7,2,5,0,0,0,0,0,0,5
080594,Castellfollit del Boix,15,13,2,2,4,-2,3,0,3,3
080615,Castellgalí,174,87,87,5,17,-12,6,2,4,79
080620,Castellnou de Bages,80,60,20,2,7,-5,7,0,7,22
250680,Castellnou de Seana,40,16,24,3,5,-2,13,1,12,34
170470,Castelló d'Empúries,450,388,62,82,69,13,521,531,-10,65
250693,Castelló de Farfanya,24,21,3,1,4,-3,3,0,3,3
080636,Castellolí,46,24,22,4,0,4,1,4,-3,23
170486,Castell-Platja d'Aro,814,516,298,90,85,5,358,173,185,488
250707,Castellserà,17,19,-2,1,5,-4,5,0,5,-1
080641,Castellterçol,197,97,100,4,8,-4,25,6,19,115
430424,Castellvell del Camp,152,94,58,2,7,-5,6,11,-5,48
080654,Castellví de la Marca,68,50,18,2,3,-1,14,3,11,28
080667,Castellví de Rosanes,132,71,61,8,7,1,11,2,9,71
430430,"Catllar, el",335,174,161,33,23,10,37,20,17,188
250714,Cava,6,5,1,0,0,0,0,0,0,1
171899,"Cellera de Ter, la",78,53,25,2,4,-2,11,9,2,25
170499,Celrà,214,178,36,30,29,1,63,89,-26,11
080673,Centelles,328,232,96,17,20,-3,47,17,30,123
082687,Cercs,94,42,52,0,1,-1,1,1,0,51
082665,Cerdanyola del Vallès,1616,1831,-215,260,331,-71,650,548,102,-184
080689,Cervelló,516,327,189,30,43,-13,56,23,33,209
250729,Cervera,206,185,21,60,42,18,101,37,64,103
250735,Cervià de les Garrigues,36,22,14,3,4,-1,2,3,-1,12
170502,Cervià de Ter,43,40,3,1,1,0,5,1,4,7
170519,Cistella,12,13,-1,2,2,0,2,0,2,1
250740,Ciutadilla,9,6,3,0,2,-2,0,0,0,1
250753,Clariana de Cardener,7,10,-3,0,0,0,2,4,-2,-5
250766,"Cogul, el",6,8,-2,0,0,0,0,0,0,-2
170545,Colera,35,18,17,6,4,2,13,8,5,24
250772,Coll de Nargó,30,14,16,2,4,-2,5,3,2,16
080692,Collbató,273,155,118,15,20,-5,11,9,2,115
430458,Colldejou,8,7,1,0,0,0,1,0,1,2
080706,Collsuspina,27,7,20,3,1,2,0,0,0,22
170558,Colomers,20,6,14,0,0,0,5,7,-2,12
251636,"Coma i la Pedra, la",36,10,26,0,2,-2,0,0,0,24
251615,Conca de Dalt,28,8,20,0,1,-1,2,1,1,20
430461,Conesa,6,4,2,0,0,0,4,0,4,6
430477,Constantí,243,263,-20,39,38,1,93,26,67,48
080713,Copons,17,14,3,0,0,0,0,2,-2,1
430483,Corbera d'Ebre,24,23,1,3,3,0,6,9,-3,-2
080728,Corbera de Llobregat,694,554,140,55,75,-20,128,41,87,207
250788,Corbins,47,30,17,7,7,0,27,5,22,39
170577,Corçà,67,53,14,4,3,1,4,2,2,17
080734,Cornellà de Llobregat,2777,3309,-532,394,559,-165,1060,152,908,211
170561,Cornellà del Terri,123,105,18,4,5,-1,23,8,15,32
430496,Cornudella de Montsant,53,26,27,10,8,2,11,0,11,40
430509,Creixell,370,230,140,19,17,2,41,19,22,164
170583,Crespià,31,13,18,2,1,1,3,6,-3,16
179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",115,50,65,4,3,1,8,10,-2,64
080749,Cubelles,999,707,292,67,105,-38,126,21,105,359
250791,Cubells,32,7,25,2,0,2,3,1,2,29
430516,Cunit,1262,746,516,86,121,-35,218,79,139,620
170600,Darnius,31,25,6,5,3,2,5,0,5,13
170617,Das,16,11,5,2,0,2,3,1,2,9
439018,Deltebre,330,252,78,60,42,18,72,142,-70,26
080752,Dosrius,363,275,88,18,36,-18,28,2,26,96
430537,Duesaigües,13,21,-8,0,2,-2,4,4,0,-10
170622,"Escala, l'",466,260,206,60,64,-4,218,57,161,363
080765,Esparreguera,787,661,126,84,127,-43,130,111,19,102
170638,Espinelves,22,9,13,3,2,1,5,1,4,18
250812,"Espluga Calba, l'",14,11,3,2,1,1,4,0,4,8
430542,"Espluga de Francolí, l'",119,106,13,11,8,3,18,12,6,22
080771,Esplugues de Llobregat,1863,2147,-284,184,281,-97,581,265,316,-65
170643,Espolla,11,9,2,0,0,0,4,1,3,5
170656,Esponellà,19,10,9,1,1,0,5,0,5,14
250827,Espot,13,9,4,0,3,-3,6,0,6,7
080787,"Espunyola, l'",17,1,16,0,0,0,0,0,0,16
082541,"Esquirol, l'",90,65,25,6,10,-4,12,1,11,32
250886,Estamariu,5,2,3,0,0,0,2,1,1,4
080790,"Estany, l'",34,19,15,1,0,1,1,3,-2,14
250851,Estaràs,23,4,19,0,0,0,0,0,0,19
250864,Esterri d'Àneu,54,28,26,5,3,2,10,9,1,29
