Municipi,Total
Rocafort de Queralt,160.0
Roda de Ter,3965.0
Rodonyà,302.0
Roquetes,5490.0
Roses,13142.0
Rosselló,2072.0
Rubió,148.0
Rubí,21282.646
Rupit i Pruit,208.0
Rupià,160.0
Sabadell,135.723
Sagàs,84.0
Saldes,218.0
Sales de Llierca,104.0
Sallent,4226.0
Salomó,314.0
Salou,19433.0
Salt,19766.0
Salàs de Pallars,232.0
Sanaüja,257.0
Sant Adrià de Besòs,22184.0
Sant Agustí de Lluçanès,67.0
Sant Andreu Salou,98.0
Sant Andreu de Llavaneres,6935.0
Sant Andreu de la Barca,18398.0
Sant Aniol de Finestres,225.0
Sant Antoni de Vilamajor,3805.0
Sant Bartomeu del Grau,637.0
Sant Boi de Llobregat,13847.709000000003
Sant Boi de Lluçanès,335.0
Sant Carles de la Ràpita,9765.0
Sant Cebrià de Vallalta,2287.0
Sant Celoni,11201.0
Sant Climent Sescebes,357.0
Sant Climent de Llobregat,2637.0
Sant Cugat Sesgarrigues,607.0
Sant Cugat del Vallès,17404.243
Sant Esteve Sesrovires,4989.0
Sant Esteve de Palautordera,1668.0
Sant Esteve de la Sarga,91.0
Sant Feliu Sasserra,432.0
Sant Feliu de Buixalleu,536.0
Sant Feliu de Codines,3976.0
Sant Feliu de Guíxols,14395.0
Sant Feliu de Llobregat,28878.0
Sant Feliu de Pallerols,825.0
Sant Ferriol,150.0
Sant Fost de Campsentelles,5610.0
Sant Fruitós de Bages,5535.0
Sant Gregori,2173.0
Sant Guim de Freixenet,684.0
Sant Guim de la Plana,111.0
Sant Hilari Sacalm,3804.0
Sant Hipòlit de Voltregà,2308.0
Sant Iscle de Vallalta,850.0
Sant Jaume de Frontanyà,21.0
Sant Jaume de Llierca,460.0
Sant Jaume dels Domenys,1638.0
Sant Joan Despí,21786.0
Sant Joan de Mollet,327.0
Sant Joan de Vilatorrada,7057.0
Sant Joan de les Abadesses,2120.0
Sant Joan les Fonts,1827.0
Sant Jordi Desvalls,444.0
Sant Julià de Cerdanyola,161.0
Sant Julià de Ramis,2303.0
Sant Julià de Vilatorta,1985.0
Sant Julià del Llor i Bonmatí,839.0
Sant Just Desvern,10187.0
Sant Llorenç Savall,1543.0
Sant Llorenç de Morunys,634.0
Sant Llorenç de la Muga,152.0
Sant Martí Sarroca,2058.0
Sant Martí Sesgueioles,242.0
Sant Martí Vell,156.0
Sant Martí de Centelles,758.0
Sant Martí de Llémena,401.0
Sant Martí de Riucorb,387.0
Sant Martí de Tous,692.0
Sant Mateu de Bages,375.0
Sant Miquel de Campmajor,148.0
Sant Miquel de Fluvià,528.0
Sant Mori,141.0
Sant Pau de Segúries,423.0
Sant Pere Pescador,1437.0
Sant Pere Sallavinera,99.0
Sant Pere de Ribes,19864.0
Sant Pere de Riudebitlles,1472.0
Sant Pere de Torelló,1604.0
Sant Pere de Vilamajor,2799.0
Sant Pol de Mar,3342.0
Sant Quintí de Mediona,1297.0
Sant Quirze Safaja,447.0
Sant Quirze de Besora,1310.0
Sant Quirze del Vallès,13024.0
Sant Ramon,324.0
Sant Salvador de Guardiola,2013.0
Sant Vicenç de Castellet,6046.0
Sant Vicenç de Montalt,3743.0
Sant Vicenç de Torelló,1287.0
Sant Vicenç dels Horts,18840.0
Santa Bàrbara,2472.0
Santa Cecília de Voltregà,124.0
Santa Coloma de Cervelló,5232.0
Santa Coloma de Farners,8178.0
Santa Coloma de Gramenet,1972.9149999999995
Santa Coloma de Queralt,1856.0
Santa Eugènia de Berga,1580.0
Santa Eulàlia de Riuprimer,782.0
Santa Eulàlia de Ronçana,4561.0
Santa Fe del Penedès,250.0
Santa Margarida de Montbui,6424.0
Santa Margarida i els Monjos,4763.0
Santa Maria de Besora,84.0
Santa Maria de Martorelles,594.0
Santa Maria de Merlès,106.0
Santa Maria de Miralles,88.0
Santa Maria de Palautordera,6130.0
Santa Oliva,2162.0
Santa Pau,1064.0
Santa Perpètua de Mogoda,17279.0
Santa Susanna,2229.0
Santpedor,4777.0
Sarral,1039.0
Sarrià de Ter,3184.0
Sarroca de Bellera,85.0
Sarroca de Lleida,246.0
Savallà del Comtat,48.0
Senan,37.0
Senterada,104.0
Sentmenat,5820.0
Serinyà,736.0
Serra de Daró,124.0
Seròs,1211.0
Setcases,124.0
Seva,2214.0
Sidamon,476.0
Sils,3749.0
Sitges,19173.0
Siurana,98.0
Sobremunt,55.0
Solivella,378.0
Solsona,5956.0
Sora,129.0
Soriguera,248.0
Sort,1519.0
Soses,1153.0
Subirats,1935.0
Sudanell,607.0
Sunyer,184.0
Susqueda,68.0
Súria,3933.0
Tagamanent,208.0
Talamanca,108.0
Talarn,273.0
Talavera,173.0
Taradell,4015.0
Tarragona,89.22500000000001
Tarroja de Segarra,106.0
Tarrés,71.0
Tavertet,98.0
Tavèrnoles,208.0
Teià,4109.0
Terrades,193.0
Terrassa,142.36400000000003
Tiana,5485.0
Tiurana,43.0
Tivenys,531.0
Tivissa,1088.0
Tona,5230.0
Tordera,10831.0
Torelló,9138.0
Tornabous,571.0
Torrebesses,176.0
Torredembarra,10211.0
Torrefarrera,2965.0
Torrefeta i Florejacs,365.0
Torregrossa,1390.0
