Codi,Literal,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
17213,Vidreres,3,4,2,4,1,-,1,1,1,1
25243,Vielha e Mijaran,30,8,27,20,19,19,30,26,-,11
43165,Vilabella,-,-,-,-,-,-,-,-,1,-
17214,Vilabertran,-,-,-,-,-,-,-,-,-,-
17215,Vilablareix,5,3,2,2,5,2,2,5,6,4
08299,Vilada,1,-,-,-,-,1,-,-,-,-
17217,Viladamat,-,1,-,-,-,-,-,-,-,-
17216,Viladasens,-,-,1,-,-,-,-,-,-,-
08301,Viladecans,564,200,376,295,343,145,136,58,70,79
08300,Viladecavalls,2,3,1,3,1,-,1,-,1,8
17218,Vilademuls,-,-,-,-,-,-,-,1,-,-
17220,Viladrau,-,-,-,-,-,-,-,-,-,-
17221,Vilafant,2,3,2,3,1,2,2,4,1,-
08305,Vilafranca del Penedès,137,160,186,219,220,232,159,158,143,185
25244,Vilagrassa,-,1,-,-,-,-,1,-,-,-
17223,Vilajuïga,-,-,-,-,-,-,-,-,-,-
43175,Vilalba dels Arcs,-,-,-,-,-,-,1,-,1,-
08306,Vilalba Sasserra,-,-,-,-,-,-,-,-,-,-
25245,Vilaller,-,-,-,-,-,-,-,-,-,-
17224,Vilallonga de Ter,-,-,-,-,-,-,-,-,-,-
43166,Vilallonga del Camp,-,1,-,3,3,2,1,-,1,2
17225,Vilamacolum,-,-,-,-,-,-,-,-,-,-
17226,Vilamalla,-,2,-,-,-,1,-,-,-,-
17227,Vilamaniscle,-,-,-,-,-,-,-,-,-,-
25247,Vilamòs,-,-,-,-,-,-,-,-,-,-
17228,Vilanant,-,-,-,-,-,-,-,-,-,-
25248,Vilanova de Bellpuig,1,-,1,-,-,-,-,-,-,-
25254,Vilanova de la Barca,-,1,-,-,1,-,2,-,-,-
25249,Vilanova de l'Aguda,-,-,-,-,-,-,-,-,-,-
25250,Vilanova de Meià,-,-,-,-,-,-,-,-,-,-
43168,Vilanova de Prades,-,-,-,-,-,-,-,-,-,-
08303,Vilanova de Sau,-,-,-,-,-,-,-,1,-,-
25251,Vilanova de Segrià,-,-,-,1,-,3,1,-,-,-
08302,Vilanova del Camí,12,22,16,11,17,12,14,9,11,6
08902,Vilanova del Vallès,4,-,1,-,1,-,-,-,1,-
43167,Vilanova d'Escornalbou,-,-,-,-,1,2,-,-,-,-
08307,Vilanova i la Geltrú,156,168,174,277,258,215,137,114,186,224
43169,Vilaplana,-,-,-,-,-,-,-,-,-,-
43170,Vila-rodona,-,-,2,1,-,1,1,1,1,-
17230,Vila-sacra,-,-,-,-,-,-,-,-,-,-
25252,Vila-sana,-,-,-,-,-,-,-,-,-,-
43171,Vila-seca,37,56,58,61,73,63,60,18,8,25
08214,Vilassar de Dalt,3,6,7,6,4,2,1,1,-,-
08219,Vilassar de Mar,38,63,61,59,32,31,41,21,36,43
17222,Vilaür,-,-,-,-,-,-,-,-,-,-
43172,Vilaverd,-,-,-,-,-,-,-,-,-,-
43173,"Vilella Alta, la",-,-,-,-,-,-,-,-,-,-
43174,"Vilella Baixa, la",-,-,-,-,-,-,-,-,-,-
08304,Vilobí del Penedès,-,-,-,-,-,-,1,1,-,-
17233,Vilobí d'Onyar,-,1,1,1,1,-,-,-,-,-
17232,Vilopriu,-,-,-,-,-,-,-,-,-,-
25253,"Vilosell, el",-,-,-,-,-,-,-,-,-,-
43176,Vimbodí i Poblet,1,-,-,1,-,1,-,-,-,-
25255,Vinaixa,-,-,-,-,-,-,-,-,-,-
43177,Vinebre,-,1,-,-,-,-,-,-,-,-
43178,Vinyols i els Arcs,1,-,2,4,2,1,1,-,-,-
08308,Viver i Serrateix,-,-,-,-,-,-,-,-,-,-
43052,Xerta,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,
,,,,,,,,,,,
