Codi,Literal,Habitatges familiars    principals,Habitatges familiars  no principals  secundaris,Habitatges familiars  no principals  buits,Habitatges familiars  no principals  total,Habitatges familiars    total,Habitatges col·lectius
080752,Dosrius,1954,196,105,301,2255,1
430537,Duesaigües,111,41,36,77,188,0
170622,"Escala, l'",4072,9929,993,10922,14994,17
080765,Esparreguera,8495,834,1160,1994,10489,1
170638,Espinelves,92,20,0,27,119,0
250812,"Espluga Calba, l'",172,123,86,209,381,0
430542,"Espluga de Francolí, l'",1493,308,526,834,2327,4
080771,Esplugues de Llobregat,17529,625,1299,1924,19453,15
170643,Espolla,172,62,43,105,277,0
170656,Esponellà,146,17,0,22,168,1
250827,Espot,149,299,26,325,474,1
080787,"Espunyola, l'",75,24,17,41,116,0
082541,"Esquirol, l'",824,264,80,344,1168,2
250886,Estamariu,39,19,8,27,66,0
080790,"Estany, l'",151,75,93,168,319,1
250851,Estaràs,68,29,14,43,111,0
250864,Esterri d'Àneu,382,546,190,736,1118,8
250870,Esterri de Cardós,29,24,0,32,61,0
430555,Falset,1074,459,263,722,1796,1
170059,"Far d'Empordà, el",196,0,0,22,218,0
250899,Farrera,56,22,10,32,88,0
430568,"Fatarella, la",438,94,99,193,631,0
430574,"Febró, la",31,18,0,22,53,0
081347,Figaró-Montmany,375,59,101,160,535,2
080804,Fígols,14,10,0,14,28,0
259084,Fígols i Alinyà,107,155,20,175,282,0
430580,"Figuera, la",54,117,19,136,190,0
170669,Figueres,17597,769,2575,3344,20941,13
430593,Figuerola del Camp,117,76,0,99,216,0
170675,Flaçà,412,0,70,97,509,0
430607,Flix,1611,162,575,737,2348,1
250925,"Floresta, la",67,61,30,91,158,0
080826,Fogars de la Selva,550,213,0,259,809,0
080811,Fogars de Montclús,160,59,25,84,244,1
170681,Foixà,116,101,0,113,229,0
080832,Folgueroles,781,0,0,153,934,0
250931,Fondarella,296,0,0,19,315,0
080847,Fonollosa,513,0,245,268,781,0
170694,Fontanals de Cerdanya,236,884,0,891,1127,0
170708,Fontanilles,62,0,42,61,123,0
170715,Fontcoberta,476,0,0,33,509,1
080850,Font-rubí,521,93,60,153,674,0
250946,Foradada,80,57,19,76,156,0
179026,Forallac,626,243,126,369,995,3
430614,Forès,32,49,0,53,85,0
170736,Fornells de la Selva,828,0,0,84,912,1
170741,Fortià,237,49,56,105,342,1
080863,"Franqueses del Vallès, les",7240,0,375,436,7676,3
430629,Freginals,166,40,27,67,233,0
250962,"Fuliola, la",470,0,137,174,644,0
250978,Fulleda,46,22,41,63,109,0
080902,Gaià,60,29,41,70,130,0
430635,"Galera, la",322,64,66,130,452,0
080879,Gallifa,75,40,0,42,117,0
430640,Gandesa,1153,162,161,323,1476,1
430653,Garcia,237,0,161,191,428,0
430666,"Garidells, els",70,25,20,45,115,0
080885,"Garriga, la",6052,0,747,936,6988,6
170754,Garrigàs,150,64,41,105,255,0
170767,Garrigoles,65,43,0,49,114,0
170773,Garriguella,352,91,0,113,465,0
080898,Gavà,17675,2028,1725,3753,21428,5
250984,Gavet de la Conca,123,136,0,137,260,0
080919,Gelida,2825,393,687,1080,3905,3
170789,Ger,209,335,37,372,581,0
259123,Gimenells i el Pla de la Font,430,25,38,63,493,1
430672,Ginestar,346,65,82,147,493,0
170792,Girona,38245,2474,6727,9201,47446,40
080924,Gironella,2110,208,527,735,2845,1
080930,Gisclareny,11,16,10,26,37,0
430688,Godall,287,136,119,255,542,0
250997,Golmés,638,0,111,140,778,0
170806,Gombrèn,83,82,27,109,192,0
251001,Gósol,97,245,42,287,384,1
080945,"Granada, la",816,0,94,149,965,0
251018,"Granadella, la",298,88,138,226,524,0
080958,Granera,42,49,0,49,90,0
251023,"Granja d'Escarp, la",380,61,113,174,554,0
080961,Granollers,22831,685,2609,3294,26125,9
251039,Granyanella,74,15,5,20,94,0
251057,Granyena de les Garrigues,78,37,33,70,148,0
251044,Granyena de Segarra,54,41,18,59,113,0
430691,Gratallops,110,61,64,125,235,0
080977,Gualba,534,116,140,256,790,1
170813,Gualta,153,37,29,66,219,0
080996,Guardiola de Berguedà,458,161,199,360,818,0
430705,"Guiamets, els",117,0,16,25,142,2
170828,Guils de Cerdanya,223,545,0,555,778,0
251095,Guimerà,137,231,54,285,422,0
259031,"Guingueta d'Àneu, la",179,246,29,275,454,0
251109,Guissona,2216,0,239,301,2517,1
251116,Guixers,44,69,31,100,144,1
081000,Gurb,757,0,0,35,792,0
430712,Horta de Sant Joan,444,0,0,753,1197,1
081017,"Hospitalet de Llobregat, l'",102031,1429,8605,10034,112065,39
081629,"Hostalets de Pierola, els",1092,142,258,400,1492,0
170834,Hostalric,1612,0,462,563,2175,0
081022,Igualada,15688,546,3802,4348,20036,13
251155,Isona i Conca Dellà,440,449,97,546,986,0
170849,Isòvol,148,271,0,279,427,2
251137,Ivars d'Urgell,616,0,138,186,802,0
251121,Ivars de Noguera,124,31,0,40,164,0
251142,Ivorra,50,16,7,23,73,0
170852,Jafre,167,0,0,10,177,0
170865,"Jonquera, la",1222,0,77,92,1314,9
081038,Jorba,308,69,53,122,430,0
259101,Josa i Tuixén,65,141,33,174,239,0
170871,Juià,125,11,0,19,144,1
251180,Juncosa,179,83,59,142,321,0
251193,Juneda,1226,63,442,505,1731,3
251214,Les,417,94,43,137,554,0
251229,Linyola,1052,0,267,307,1359,0
