Codi,Literal,Habitatges familiars  principals  convencionals,Habitatges familiars  principals  allotjaments,Habitatges familiars  no principals  secundaris,Habitatges familiars  no principals  vacants,Habitatges familiars  no principals  altres,Habitatges familiars    total,Establiments col·lectius
080930,Gisclareny,14,0,12,1,0,27,0
430688,Godall,279,0,70,216,1,566,0
250997,Golmés,446,1,30,83,0,560,0
170806,Gombrèn,92,0,14,67,0,173,1
251001,Gósol,95,0,195,2,0,292,0
080945,"Granada, la",471,0,13,46,0,530,0
251018,"Granadella, la",287,0,92,56,0,435,0
080958,Granera,32,0,0,9,0,41,0
251023,"Granja d'Escarp, la",386,0,50,106,0,542,0
080961,Granollers,18638,1,768,2838,134,22379,14
251039,Granyanella,54,0,85,1,0,140,0
251057,Granyena de les Garrigues,70,0,18,70,0,158,0
251044,Granyena de Segarra,58,0,58,0,8,124,0
430691,Gratallops,81,0,102,21,15,219,0
080977,Gualba,308,0,96,35,0,439,1
170813,Gualta,104,0,80,29,5,218,0
080996,Guardiola de Berguedà,374,0,81,183,0,638,0
430705,"Guiamets, els",107,0,28,16,0,151,0
170828,Guils de Cerdanya,136,0,266,0,0,402,0
251095,Guimerà,151,0,115,12,1,279,0
259031,"Guingueta d'Àneu, la",143,0,13,0,0,156,0
251109,Guissona,1228,0,139,271,1,1639,0
251116,Guixers,57,0,37,5,0,99,0
081000,Gurb,599,1,14,83,12,709,0
430712,Horta de Sant Joan,461,0,446,19,21,947,0
081017,"Hospitalet de Llobregat, l'",87872,0,4170,14409,292,106743,21
081629,"Hostalets de Pierola, els",545,0,267,302,0,1114,0
170834,Hostalric,1041,0,191,191,0,1423,0
081022,Igualada,11900,0,1779,4754,29,18462,9
251155,Isona i Conca Dellà,438,0,324,40,24,826,0
170849,Isòvol,77,0,7,18,0,102,0
251137,Ivars d'Urgell,575,1,50,47,12,685,0
251121,Ivars de Noguera,112,0,44,10,1,167,0
251142,Ivorra,50,0,17,5,0,72,0
170852,Jafre,130,0,46,24,4,204,0
170865,"Jonquera, la",926,0,44,244,1,1215,1
081038,Jorba,214,0,97,10,0,321,1
259101,Josa i Tuixén,59,0,55,69,0,183,0
170871,Juià,97,0,23,9,0,129,0
251180,Juncosa,197,0,61,43,0,301,0
251193,Juneda,980,0,123,248,0,1351,3
251214,Les,252,1,0,104,23,380,0
251229,Linyola,803,0,19,186,10,1018,0
081043,"Llacuna, la",317,0,486,3,2,808,0
170887,Lladó,190,0,134,1,0,325,0
251235,Lladorre,94,3,12,0,0,109,0
251240,Lladurs,67,0,49,4,0,120,0
081056,"Llagosta, la",4204,0,68,643,0,4915,1
170890,Llagostera,3499,0,332,1085,2,4918,9
170904,Llambilles,107,0,0,2,0,109,1
170911,Llanars,200,0,241,136,0,577,0
170926,Llançà,1607,0,4584,214,213,6618,0
251253,Llardecans,224,0,50,44,0,318,0
251266,Llavorsí,124,0,113,5,19,261,0
251207,Lleida,40446,2,6596,9033,1247,57324,36
170932,Llers,353,0,48,57,0,458,0
251272,Lles de Cerdanya,106,0,149,14,4,273,1
081075,Lliçà d'Amunt,3398,0,2278,143,1,5820,1
081081,Lliçà de Vall,1691,0,505,212,1,2409,1
251288,Llimiana,64,0,111,5,1,181,0
081069,Llinars del Vallès,2480,0,648,119,22,3269,2
170947,Llívia,423,0,1517,132,3,2075,1
430727,"Lloar, el",48,0,58,5,0,111,0
251291,Llobera,55,0,0,14,3,72,0
430733,Llorac,45,0,27,8,0,80,0
430748,Llorenç del Penedès,566,0,121,79,2,768,0
170950,Lloret de Mar,7428,0,7164,2117,411,17120,7
170963,"Llosses, les",98,0,75,70,2,245,0
081094,Lluçà,87,0,66,39,1,193,0
171024,Maçanet de Cabrenys,269,0,99,106,3,477,1
171030,Maçanet de la Selva,1421,0,827,128,0,2376,0
170979,Madremanya,71,0,35,6,0,112,0
170985,Maià de Montcal,120,0,45,25,0,190,0
251333,Maials,345,0,102,82,2,531,0
251305,Maldà,114,0,124,0,1,239,0
081108,Malgrat de Mar,5103,0,1324,1207,251,7885,6
081115,Malla,59,0,15,11,0,85,0
081120,Manlleu,5869,0,105,1222,12,7208,3
081136,Manresa,24228,0,1385,6830,214,32657,35
430764,Marçà,256,0,174,0,0,430,0
430751,Margalef,53,0,63,9,0,125,0
082423,Marganell,86,0,6,6,2,100,2
081141,Martorell,8098,0,236,1180,24,9538,7
081154,Martorelles,1698,0,65,568,5,2336,0
430770,Mas de Barberans,239,0,54,103,1,397,0
171002,Masarac,79,0,17,12,0,108,0
430786,Masdenverge,322,0,0,73,0,395,0
081167,"Masies de Roda, les",225,0,0,37,0,262,0
081173,"Masies de Voltregà, les",955,0,0,245,1,1201,4
430799,Masllorenç,169,0,161,37,0,367,0
081189,"Masnou, el",7375,0,1316,909,89,9689,7
430803,"Masó, la",94,0,20,24,0,138,0
430810,Maspujols,180,0,155,3,0,338,0
081192,Masquefa,1982,0,342,1149,2,3475,0
430825,"Masroig, el",208,0,62,53,0,323,0
251312,Massalcoreig,187,0,2,109,1,299,0
171019,Massanes,208,0,27,18,2,255,0
251327,Massoteres,67,0,15,10,1,93,0
081206,Matadepera,2076,0,357,296,0,2729,2
081213,Mataró,37850,0,1040,7571,259,46720,12
081228,Mediona,595,0,731,24,2,1352,1
251348,Menàrguens,292,0,51,37,0,380,0
170998,Meranges,35,0,57,24,1,117,0
171058,Mieres,108,0,73,44,0,225,0
430831,"Milà, el",53,0,14,18,0,85,0
251351,Miralcamp,392,0,34,5,2,433,0
430846,Miravet,282,0,75,5,0,362,0
081385,Moià,1534,0,825,264,50,2673,5
430859,"Molar, el",112,0,67,31,0,210,0
081234,Molins de Rei,7370,0,670,903,9,8952,5
251370,Mollerussa,3412,0,200,961,2,4575,5
171061,Mollet de Peralada,70,0,12,30,0,112,0
081249,Mollet del Vallès,16780,0,182,2742,103,19807,8
171077,Molló,126,0,183,59,1,369,0
251364,"Molsosa, la",31,0,7,9,0,47,0
081287,Monistrol de Calders,212,0,101,15,1,329,0
081271,Monistrol de Montserrat,919,0,70,285,1,1275,4
171096,Montagut i Oix,300,0,4,39,1,344,0
430862,Montblanc,2149,0,519,535,8,3211,2
430884,Montbrió del Camp,544,0,89,116,1,750,0
081252,Montcada i Reixac,9967,0,204,2407,10,12588,2
081304,Montclar,32,0,0,2,0,34,0
251399,Montellà i Martinet,220,0,273,27,5,525,2
081311,Montesquiu,320,0,125,59,2,506,1
251403,Montferrer i Castellbò,267,0,198,100,0,565,0
430897,Montferri,61,0,173,26,0,260,0
251386,Montgai,279,0,68,31,0,378,0
081265,Montgat,3044,0,478,622,7,4151,0
081326,Montmajor,137,0,42,39,0,218,0
081332,Montmaneu,60,0,47,6,1,114,0
430901,"Montmell, el",289,0,741,22,1,1053,0
081350,Montmeló,2914,0,51,271,1,3237,1
251425,Montoliu de Lleida,149,0,0,76,0,225,0
251410,Montoliu de Segarra,71,0,39,0,0,110,0
251431,Montornès de Segarra,38,0,43,6,0,87,0
081363,Montornès del Vallès,4439,0,421,848,48,5756,1
430918,Mont-ral,67,0,92,1,0,160,0
171100,Mont-ras,520,0,87,62,0,669,0
430923,Mont-roig del Camp,2629,0,4736,3116,162,10643,0
081379,Montseny,95,0,0,6,0,101,0
430939,Móra d'Ebre,1579,0,79,426,6,2090,1
430944,Móra la Nova,1006,0,114,209,0,1329,0
430957,"Morell, el",784,0,64,175,0,1023,0
430960,"Morera de Montsant, la",61,0,81,0,1,143,0
081290,Muntanyola,125,0,115,0,0,240,0
081398,Mura,87,0,90,22,0,199,0
251459,Nalec,35,0,41,12,8,96,0
250254,Naut Aran,529,0,2579,26,63,3197,1
081402,Navarcles,1798,0,213,224,71,2306,1
081419,Navàs,1932,0,87,364,4,2387,0
171117,Navata,282,0,137,84,0,503,0
251462,Navès,82,0,46,10,7,145,0
081424,"Nou de Berguedà, la",47,0,51,17,0,115,0
430976,"Nou de Gaià, la",145,0,47,0,1,193,0
430982,Nulles,137,0,74,1,25,237,0
251484,Odèn,73,0,0,28,0,101,0
081430,Òdena,895,0,72,204,2,1173,0
171122,Ogassa,109,0,104,9,0,222,0
081458,Olèrdola,828,1,246,185,0,1260,0
081461,Olesa de Bonesvalls,388,0,94,11,0,493,0
081477,Olesa de Montserrat,6156,0,257,1710,4,8127,7
