Codi,Literal,1,2,3,4,5,6 i més,Total llars
430477,Constantí,277,400,403,390,152,70,1692
80713,Copons,39,35,17,20,5,2,118
430483,Corbera d'Ebre,64,71,66,81,34,24,340
80728,Corbera de Llobregat,531,886,824,702,245,97,3285
250788,Corbins,73,99,91,75,33,16,387
170577,Corçà,86,72,73,97,47,11,386
80734,Cornellà de Llobregat,5054,8389,7232,6017,1532,667,28891
170561,Cornellà del Terri,97,138,150,125,55,42,607
430496,Cornudella de Montsant,117,98,58,46,21,13,353
430509,Creixell,232,277,136,107,41,35,828
170583,Crespià,19,26,12,14,4,4,79
179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",95,62,80,70,31,29,367
80749,Cubelles,739,930,577,432,149,70,2897
250791,Cubells,27,34,23,19,11,9,123
430516,Cunit,790,863,451,375,123,56,2658
170600,Darnius,61,76,50,23,7,4,221
170617,Das,22,8,8,10,4,4,56
439018,Deltebre,417,776,829,744,332,216,3314
80752,Dosrius,178,261,236,245,83,40,1043
430537,Duesaigües,29,22,19,11,3,2,86
170622,"Escala, l'",701,649,443,369,115,70,2347
80765,Esparreguera,1091,1806,1593,1411,406,163,6470
170638,Espinelves,24,20,9,8,4,4,69
250812,"Espluga Calba, l'",35,40,28,26,17,7,153
430542,"Espluga de Francolí, l'",224,313,276,279,93,40,1225
80771,Esplugues de Llobregat,2389,4113,3873,3828,1046,326,15575
170643,Espolla,36,34,20,24,12,7,133
170656,Esponellà,13,20,32,28,9,9,111
250827,Espot,39,20,22,14,12,7,114
80787,"Espunyola, l'",8,16,15,11,13,11,74
82541,"Esquirol, l'",141,190,144,149,53,39,716
250886,Estamariu,11,7,10,7,4,4,43
80790,"Estany, l'",42,37,33,24,6,6,148
250851,Estaràs,14,14,15,11,4,5,63
250864,Esterri d'Àneu,71,55,57,43,15,6,247
250870,Esterri de Cardós,6,7,2,5,4,1,25
430555,Falset,202,245,177,184,61,26,895
170059,"Far d'Empordà, el",38,34,28,24,9,8,141
250899,Farrera,17,14,6,6,0,2,45
430568,"Fatarella, la",79,112,87,85,32,21,416
430574,"Febró, la",9,6,6,2,1,1,25
81347,Figaró-Montmany,69,88,60,56,22,7,302
80804,Fígols,8,7,2,4,1,0,22
259084,Fígols i Alinyà,33,31,16,16,2,8,106
430580,"Figuera, la",20,12,8,8,2,2,52
170669,Figueres,2821,3479,2756,2239,693,369,12357
430593,Figuerola del Camp,21,35,25,26,2,1,110
170675,Flaçà,77,84,79,58,16,11,325
430607,Flix,267,375,341,313,89,34,1419
250925,"Floresta, la",21,24,14,8,4,3,74
80826,Fogars de la Selva,57,92,47,63,23,9,291
80811,Fogars de Montclús,24,32,23,15,11,12,117
170681,Foixà,24,31,32,16,5,6,114
80832,Folgueroles,81,171,137,132,51,12,584
250931,Fondarella,27,45,46,54,27,11,210
80847,Fonollosa,58,75,85,79,32,21,350
170694,Fontanals de Cerdanya,51,37,17,27,12,10,154
170708,Fontanilles,14,8,9,6,4,5,46
170715,Fontcoberta,23,68,98,93,40,22,344
80850,Font-rubí,80,105,94,81,38,27,425
250946,Foradada,21,12,10,14,5,7,69
179026,Forallac,123,133,120,113,48,24,561
430614,Forès,7,9,6,3,0,1,26
170736,Fornells de la Selva,86,103,109,140,48,29,515
170741,Fortià,43,53,48,35,11,4,194
80863,"Franqueses del Vallès, les",668,1187,1071,1061,298,135,4420
430629,Freginals,25,40,28,33,5,5,136
250962,"Fuliola, la",80,101,96,82,33,25,417
250978,Fulleda,6,10,9,8,6,0,39
80902,Gaià,12,10,5,9,4,7,47
430635,"Galera, la",74,83,53,46,20,10,286
80879,Gallifa,19,13,12,14,6,3,67
430640,Gandesa,175,208,190,201,76,47,897
430653,Garcia,57,58,36,25,15,10,201
430666,"Garidells, els",7,17,12,11,7,3,57
80885,"Garriga, la",720,1126,984,965,262,123,4180
170754,Garrigàs,27,35,13,24,9,5,113
170767,Garrigoles,17,12,12,10,3,4,58
170773,Garriguella,73,77,56,30,18,16,270
80898,Gavà,2176,3667,3505,3177,871,394,13790
250984,Gavet de la Conca,33,31,23,12,8,9,116
80919,Gelida,313,504,376,317,100,51,1661
170789,Ger,58,32,22,23,9,7,151
259123,Gimenells i el Pla de la Font,65,83,80,66,38,22,354
430672,Ginestar,56,84,61,50,23,18,292
170792,Girona,6671,7258,5772,5503,1648,837,27689
80924,Gironella,367,541,413,324,113,40,1798
80930,Gisclareny,7,2,3,2,0,0,14
430688,Godall,72,78,69,35,14,11,279
250997,Golmés,68,125,91,93,38,32,447
170806,Gombrèn,28,25,17,14,6,2,92
251001,Gósol,35,23,13,13,5,6,95
80945,"Granada, la",70,124,97,113,46,21,471
251018,"Granadella, la",66,81,60,46,21,13,287
80958,Granera,15,6,6,4,0,1,32
251023,"Granja d'Escarp, la",96,85,82,78,33,12,386
80961,Granollers,3222,5130,4432,4101,1213,541,18639
251039,Granyanella,14,13,15,6,4,2,54
251057,Granyena de les Garrigues,29,15,13,10,2,1,70
251044,Granyena de Segarra,19,14,7,10,7,1,58
430691,Gratallops,23,19,10,19,6,4,81
80977,Gualba,72,93,60,52,21,10,308
170813,Gualta,23,26,20,17,10,8,104
80996,Guardiola de Berguedà,96,106,89,60,18,5,374
430705,"Guiamets, els",19,27,27,25,5,4,107
170828,Guils de Cerdanya,44,38,24,19,4,7,136
251095,Guimerà,43,53,23,18,11,3,151
259031,"Guingueta d'Àneu, la",58,39,23,14,2,7,143
251109,Guissona,231,287,271,294,103,42,1228
251116,Guixers,18,11,11,7,7,3,57
81000,Gurb,93,118,113,165,64,47,600
430712,Horta de Sant Joan,109,133,84,99,23,13,461
81017,"Hospitalet de Llobregat, l'",16736,25851,21394,17227,4598,2066,87872
81629,"Hostalets de Pierola, els",125,160,113,96,30,21,545
170834,Hostalric,191,284,255,211,68,32,1041
81022,Igualada,2438,3278,2551,2535,783,315,11900
251155,Isona i Conca Dellà,121,109,87,64,33,24,438
170849,Isòvol,29,16,12,9,10,1,77
251137,Ivars d'Urgell,103,161,113,109,50,40,576
251121,Ivars de Noguera,24,26,22,25,5,10,112
251142,Ivorra,11,12,4,8,9,6,50
170852,Jafre,39,32,25,20,7,7,130
170865,"Jonquera, la",206,210,207,211,51,41,926
81038,Jorba,52,57,33,46,19,7,214
259101,Josa i Tuixén,18,17,10,8,4,2,59
170871,Juià,18,25,29,15,8,2,97
251180,Juncosa,44,59,36,30,18,10,197
251193,Juneda,171,267,199,199,95,49,980
251214,Les,66,56,57,46,16,12,253
251229,Linyola,146,202,167,178,75,35,803
81043,"Llacuna, la",88,76,56,68,22,7,317
170887,Lladó,42,52,47,31,12,6,190
251235,Lladorre,37,24,13,12,5,6,97
251240,Lladurs,15,11,11,13,7,10,67
81056,"Llagosta, la",587,1206,1100,981,237,93,4204
170890,Llagostera,2657,399,200,161,51,31,3499
170904,Llambilles,24,17,16,21,8,21,107
