Municipi,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Cruïlles, Monells i Sant Sadurní de l'Heura",18967,238284.0,226839.0,227040.0,237629.0,241158.0,250108.0,254606.0,254606.0
Cubelles,242963,171770.0,162146.0,161610.0,160652.0,157335.0,161649.0,178980.0,178980.0
Cunit,176677,133025.0,127488.0,128034.0,129858.0,134117.0,139733.0,147812.0,147812.0
Deltebre,135216,83890.0,81553.0,83857.0,85146.0,86697.0,91140.0,97115.0,97115.0
Dosrius,82877,128183.0,120874.0,119171.0,122490.0,126038.0,162325.0,161384.0,161384.0
"Escala, l'",130676,348618.0,334839.0,339454.0,355855.0,354811.0,363897.0,371761.0,371761.0
Esparreguera,341001,55779.0,54918.0,54304.0,53611.0,56049.0,57828.0,59372.0,59372.0
"Espluga de Francolí, l'",56199,904089.0,834304.0,839244.0,864638.0,897896.0,909906.0,963084.0,963084.0
Esplugues de Llobregat,881755,36432.0,36031.0,36319.0,36061.0,35864.0,37565.0,39778.0,39778.0
"Esquirol, l'",35498,40414.0,38129.0,39114.0,38896.0,40892.0,41389.0,42049.0,42049.0
Falset,41900,15291.0,14541.0,14246.0,14583.0,14753.0,15273.0,16752.0,16752.0
Figaró-Montmany,15446,558779.0,527288.0,525878.0,546129.0,569469.0,590196.0,622208.0,622208.0
Figueres,581154,17864.0,16644.0,16334.0,16801.0,16837.0,16791.0,17298.0,17298.0
Flaçà,17270,66677.0,64798.0,62595.0,60357.0,59227.0,59295.0,59605.0,59605.0
Flix,66691,22534.0,21326.0,21108.0,24131.0,21494.0,22840.0,22738.0,22738.0
Fogars de la Selva,22046,38577.0,36255.0,36713.0,38771.0,40151.0,41276.0,41802.0,41802.0
Folgueroles,38800,26375.0,24827.0,25109.0,27905.0,27533.0,25209.0,26391.0,26391.0
Fonollosa,27654,21057.0,22078.0,22209.0,23303.0,24094.0,24580.0,26180.0,26180.0
Fontcoberta,20365,27427.0,22444.0,21841.0,23147.0,20160.0,20513.0,21321.0,21321.0
Font-rubí,28897,26018.0,25298.0,25410.0,29023.0,30899.0,29868.0,30381.0,30381.0
Forallac,26080,44801.0,42203.0,43336.0,47571.0,48654.0,49919.0,53458.0,53458.0
Fornells de la Selva,45912,293676.0,281720.0,285853.0,302955.0,304566.0,310445.0,323355.0,323355.0
"Franqueses del Vallès, les",290305,16032.0,15163.0,15573.0,15297.0,15117.0,15781.0,16236.0,16236.0
"Fuliola, la",16096,39870.0,38010.0,37865.0,38649.0,38482.0,41030.0,42147.0,42147.0
Gandesa,40800,269734.0,253933.0,255089.0,267164.0,275911.0,293857.0,301629.0,301629.0
"Garriga, la",273354,814822.0,773182.0,781380.0,833370.0,845300.0,818441.0,848160.0,848160.0
Gavà,800335,114708.0,109909.0,112286.0,115260.0,116785.0,118819.0,124337.0,124337.0
Gelida,118111,14144.0,15378.0,14989.0,13108.0,12850.0,14234.0,14487.0,14487.0
Gimenells i el Pla de la Font,14260,1584186.0,1471765.0,1492181.0,1567027.0,1642322.0,1694504.0,1720727.0,1720727.0
Ginestar,0,79260.0,75179.0,75409.0,76162.0,77062.0,80303.0,82897.0,82897.0
Girona,1638759,23037.0,23851.0,23695.0,24214.0,25121.0,26385.0,27261.0,27261.0
Gironella,77098,33956.0,30513.0,30952.0,32469.0,32922.0,33854.0,37372.0,37372.0
Golmés,23589,981092.0,911317.0,928877.0,971849.0,997846.0,1023346.0,1065003.0,1065003.0
"Granada, la",34070,21490.0,21340.0,21709.0,24683.0,23574.0,24884.0,25612.0,25612.0
"Granja d'Escarp, la",0,94275.0,92435.0,97297.0,101105.0,94836.0,100042.0,101806.0,101806.0
