ine5,ine6,municipiNom,comarca,provincia,serveiTerritorial,risc,nivell,altura,cens,superficie,,ine5,Codi_ine_6_txt
25017,250175,Alins,Pallars Sobirà,Lleida,Alt Pirineu i Aran,sísmic,Obligat,1048,288,183.84,,17033,170335
25017,250175,Alins,Pallars Sobirà,Lleida,Alt Pirineu i Aran,inundacions,Obligat,1048,288,183.84,,8033,80333
25017,250175,Alins,Pallars Sobirà,Lleida,Alt Pirineu i Aran,incendi forestal,Obligat,1048,288,183.84,,8035,80351
43010,430108,Alió,Alt Camp,Tarragona,Tarragona,transport de mercaderies perilloses,Recomanat,263,419,7.23,,8037,80370
43010,430108,Alió,Alt Camp,Tarragona,Tarragona,nevades,Recomanat,263,419,7.23,,8038,80386
43010,430108,Alió,Alt Camp,Tarragona,Tarragona,inundacions,Obligat,263,419,7.23,,8036,80364
43010,430108,Alió,Alt Camp,Tarragona,Tarragona,sísmic,Recomanat,263,419,7.23,,17034,170340
25019,250194,Almacelles,Segrià,Lleida,Lleida,inundacions,Recomanat,247,6766,48.86,,25062,250621
25019,250194,Almacelles,Segrià,Lleida,Lleida,nevades,Recomanat,247,6766,48.86,,43903,439039
25019,250194,Almacelles,Segrià,Lleida,Lleida,transport de mercaderies perilloses,Obligat,247,6766,48.86,,43038,430385
25019,250194,Almacelles,Segrià,Lleida,Lleida,sísmic,Recomanat,247,6766,48.86,,17035,170353
25020,250208,Almatret,Segrià,Lleida,Lleida,nevades,Obligat,462,326,56.5,,17036,170366
25020,250208,Almatret,Segrià,Lleida,Lleida,sísmic,Recomanat,462,326,56.5,,17037,170372
25020,250208,Almatret,Segrià,Lleida,Lleida,inundacions,Recomanat,462,326,56.5,,8039,80399
25020,250208,Almatret,Segrià,Lleida,Lleida,incendi forestal,Obligat,462,326,56.5,,17038,170388
25020,250208,Almatret,Segrià,Lleida,Lleida,nuclear,Obligat,462,326,56.5,,17039,170391
25021,250215,Almenar,Segrià,Lleida,Lleida,nevades,Recomanat,329,3525,66.47,,25063,250637
25021,250215,Almenar,Segrià,Lleida,Lleida,sísmic,Recomanat,329,3525,66.47,,17040,170405
25021,250215,Almenar,Segrià,Lleida,Lleida,aeroport,Obligat,329,3525,66.47,,8040,80403
25021,250215,Almenar,Segrià,Lleida,Lleida,inundacions,Recomanat,329,3525,66.47,,8041,80410
25021,250215,Almenar,Segrià,Lleida,Lleida,transport de mercaderies perilloses,Recomanat,329,3525,66.47,,8042,80425
43011,430115,Almoster,Baix Camp,Tarragona,Tarragona,incendi forestal,Obligat,290,1410,6.03,,17041,170412
43011,430115,Almoster,Baix Camp,Tarragona,Tarragona,sísmic,Recomanat,290,1410,6.03,,8043,80431
43011,430115,Almoster,Baix Camp,Tarragona,Tarragona,químic,Obligat,290,1410,6.03,,43039,430398
43011,430115,Almoster,Baix Camp,Tarragona,Tarragona,nevades,Recomanat,290,1410,6.03,,43040,430402
43011,430115,Almoster,Baix Camp,Tarragona,Tarragona,radiològic,Recomanat,290,1410,6.03,,8044,80446
43011,430115,Almoster,Baix Camp,Tarragona,Tarragona,contaminació Ebre (Flix),Obligat,290,1410,6.03,,17042,170427
25022,250220,Alòs de Balaguer,Noguera,Lleida,Lleida,sísmic,Recomanat,297,123,68.71,,8045,80459
25022,250220,Alòs de Balaguer,Noguera,Lleida,Lleida,inundacions,Obligat,297,123,68.71,,8046,80462
25022,250220,Alòs de Balaguer,Noguera,Lleida,Lleida,incendi forestal,Obligat,297,123,68.71,,8047,80478
25022,250220,Alòs de Balaguer,Noguera,Lleida,Lleida,nevades,Recomanat,297,123,68.71,,8048,80484
17006,170062,Alp,Cerdanya,Girona,Alt Pirineu i Aran,allaus,Obligat,1158,1595,44.06,,43041,430419
17006,170062,Alp,Cerdanya,Girona,Alt Pirineu i Aran,nevades,Obligat,1158,1595,44.06,,17044,170448
17006,170062,Alp,Cerdanya,Girona,Alt Pirineu i Aran,inundacions,Obligat,1158,1595,44.06,,8049,80497
17006,170062,Alp,Cerdanya,Girona,Alt Pirineu i Aran,territori,Obligat,1158,1595,44.06,,8057,80575
17006,170062,Alp,Cerdanya,Girona,Alt Pirineu i Aran,transport ferroviari passatgers,Obligat,1158,1595,44.06,,25904,259046
17006,170062,Alp,Cerdanya,Girona,Alt Pirineu i Aran,incendi forestal,Obligat,1158,1595,44.06,,17048,170486
17006,170062,Alp,Cerdanya,Girona,Alt Pirineu i Aran,sísmic,Obligat,1158,1595,44.06,,25064,250642
17006,170062,Alp,Cerdanya,Girona,Alt Pirineu i Aran,aeroport,Recomanat,1158,1595,44.06,,8052,80522
8004,80044,Alpens,Osona,Barcelona,Catalunya Central,nevades,Obligat,855,290,13.81,,8050,80500
8004,80044,Alpens,Osona,Barcelona,Catalunya Central,sísmic,Obligat,855,290,13.81,,8051,80517
8004,80044,Alpens,Osona,Barcelona,Catalunya Central,incendi forestal,Recomanat,855,290,13.81,,8053,80538
25023,250236,Alpicat,Segrià,Lleida,Lleida,nevades,Recomanat,264,6275,15.25,,8054,80543
25023,250236,Alpicat,Segrià,Lleida,Lleida,inundacions,Recomanat,264,6275,15.25,,8055,80556
25023,250236,Alpicat,Segrià,Lleida,Lleida,sísmic,Recomanat,264,6275,15.25,,25067,250674
25023,250236,Alpicat,Segrià,Lleida,Lleida,transport de mercaderies perilloses,Obligat,264,6275,15.25,,8056,80569
25024,250241,Alt Àneu,Pallars Sobirà,Lleida,Alt Pirineu i Aran,inundacions,Obligat,1076,407,193.8,,8058,80581
25024,250241,Alt Àneu,Pallars Sobirà,Lleida,Alt Pirineu i Aran,nevades,Obligat,1076,407,193.8,,17046,170464
25024,250241,Alt Àneu,Pallars Sobirà,Lleida,Alt Pirineu i Aran,sísmic,Obligat,1076,407,193.8,,8060,80608
25024,250241,Alt Àneu,Pallars Sobirà,Lleida,Alt Pirineu i Aran,incendi forestal,Obligat,1076,407,193.8,,8059,80594
25024,250241,Alt Àneu,Pallars Sobirà,Lleida,Alt Pirineu i Aran,allaus,Obligat,1076,407,193.8,,8061,80615
43012,430120,Altafulla,Tarragonès,Tarragona,Tarragona,territori,Obligat,52,5052,6.92,,8062,80620
43012,430120,Altafulla,Tarragonès,Tarragona,Tarragona,incendi forestal,Obligat,52,5052,6.92,,25068,250680
43012,430120,Altafulla,Tarragonès,Tarragona,Tarragona,inundacions,Obligat,52,5052,6.92,,17047,170470
43012,430120,Altafulla,Tarragonès,Tarragona,Tarragona,transport de mercaderies perilloses,Obligat,52,5052,6.92,,25069,250693
43012,430120,Altafulla,Tarragonès,Tarragona,Tarragona,nevades,Recomanat,52,5052,6.92,,8063,80636
43012,430120,Altafulla,Tarragonès,Tarragona,Tarragona,contaminació Ebre (Flix),Obligat,52,5052,6.92,,25070,250707
43012,430120,Altafulla,Tarragonès,Tarragona,Tarragona,contaminació marina,Obligat,52,5052,6.92,,8064,80641
43012,430120,Altafulla,Tarragonès,Tarragona,Tarragona,sísmic,Recomanat,52,5052,6.92,,43042,430424
17007,170078,Amer,Selva,Girona,Girona,incendi forestal,Recomanat,186,2250,40.73,,8065,80654
17007,170078,Amer,Selva,Girona,Girona,inundacions,Obligat,186,2250,40.73,,8066,80667
17007,170078,Amer,Selva,Girona,Girona,nevades,Recomanat,186,2250,40.73,,25071,250714
17007,170078,Amer,Selva,Girona,Girona,sísmic,Obligat,186,2250,40.73,,17049,170499
43014,430141,Amposta,Montsià,Tarragona,Terres de l'Ebre,inundacions,Obligat,8,20952,136.2,,8067,80673
43014,430141,Amposta,Montsià,Tarragona,Terres de l'Ebre,contaminació Ebre (Flix),Obligat,8,20952,136.2,,8268,82687
43014,430141,Amposta,Montsià,Tarragona,Terres de l'Ebre,nuclear,Obligat,8,20952,136.2,,8266,82665
43014,430141,Amposta,Montsià,Tarragona,Terres de l'Ebre,transport de mercaderies perilloses,Obligat,8,20952,136.2,,8068,80689
43014,430141,Amposta,Montsià,Tarragona,Terres de l'Ebre,sísmic,Obligat,8,20952,136.2,,25072,250729
43014,430141,Amposta,Montsià,Tarragona,Terres de l'Ebre,nevades,Recomanat,8,20952,136.2,,25073,250735
43014,430141,Amposta,Montsià,Tarragona,Terres de l'Ebre,contaminació marina,Obligat,8,20952,136.2,,17050,170502
43014,430141,Amposta,Montsià,Tarragona,Terres de l'Ebre,territori,Obligat,8,20952,136.2,,17051,170519
43014,430141,Amposta,Montsià,Tarragona,Terres de l'Ebre,incendi forestal,Obligat,8,20952,136.2,,25074,250740
17008,170084,Anglès,Selva,Girona,Girona,incendi forestal,Obligat,181,5540,16.33,,25075,250753
17008,170084,Anglès,Selva,Girona,Girona,inundacions,Obligat,181,5540,16.33,,17054,170545
17008,170084,Anglès,Selva,Girona,Girona,nevades,Recomanat,181,5540,16.33,,25077,250772
17008,170084,Anglès,Selva,Girona,Girona,sísmic,Obligat,181,5540,16.33,,8069,80692
25027,250273,Anglesola,Urgell,Lleida,Lleida,inundacions,Obligat,335,1378,23.7,,43045,430458
25027,250273,Anglesola,Urgell,Lleida,Lleida,sísmic,Recomanat,335,1378,23.7,,8070,80706
25027,250273,Anglesola,Urgell,Lleida,Lleida,transport de mercaderies perilloses,Obligat,335,1378,23.7,,17055,170558
25027,250273,Anglesola,Urgell,Lleida,Lleida,nevades,Recomanat,335,1378,23.7,,25161,251615
25029,250292,Arbeca,Garrigues,Lleida,Lleida,nevades,Recomanat,332,2278,58.39,,43046,430461
25029,250292,Arbeca,Garrigues,Lleida,Lleida,inundacions,Recomanat,332,2278,58.39,,43047,430477
