Municipi,NomMun,Codi
Sant Pau de Segúries,Sant Pau de Segúries,171772
Sant Pere de Ribes,Sant Pere de Ribes,82310
Sant Pere de Riudebitlles,Sant Pere de Riudebitlles,82325
Sant Pere de Torelló,Sant Pere de Torelló,82331
Sant Pere de Vilamajor,Sant Pere de Vilamajor,82346
Sant Pere Pescador,Sant Pere Pescador,171788
Sant Pere Sallavinera,Sant Pere Sallavinera,81897
Sant Pol de Mar,Sant Pol de Mar,82359
Sant Quintí de Mediona,Sant Quintí de Mediona,82362
Sant Quirze de Besora,Sant Quirze de Besora,82378
Sant Quirze del Vallès,Sant Quirze del Vallès,82384
Sant Quirze Safaja,Sant Quirze Safaja,82397
Sant Ramon,Sant Ramon,251945
Sant Sadurní d'Anoia,Sant Sadurní d'Anoia,82401
Sant Sadurní d'Osormort,Sant Sadurní d'Osormort,82418
Sant Salvador de Guardiola,Sant Salvador de Guardiola,80983
Sant Vicenç de Castellet,Sant Vicenç de Castellet,82628
Sant Vicenç de Montalt,Sant Vicenç de Montalt,82649
Sant Vicenç de Torelló,Sant Vicenç de Torelló,82652
Sant Vicenç dels Horts,Sant Vicenç dels Horts,82634
Santa Bàrbara,Santa Bàrbara,431384
Santa Cecília de Voltregà,Santa Cecília de Voltregà,82439
Santa Coloma de Cervelló,Santa Coloma de Cervelló,82444
Santa Coloma de Farners,Santa Coloma de Farners,171805
Santa Coloma de Gramenet,Santa Coloma de Gramenet,82457
Santa Coloma de Queralt,Santa Coloma de Queralt,431397
Santa Cristina d'Aro,Santa Cristina d'Aro,171812
Santa Eugènia de Berga,Santa Eugènia de Berga,82460
Santa Eulàlia de Riuprimer,Santa Eulàlia de Riuprimer,82476
Santa Eulàlia de Ronçana,Santa Eulàlia de Ronçana,82482
Santa Fe del Penedès,Santa Fe del Penedès,82495
Santa Llogaia d'Àlguema,Santa Llogaia d'Àlguema,171827
Santa Margarida de Montbui,Santa Margarida de Montbui,82508
Santa Margarida i els Monjos,Santa Margarida i els Monjos,82515
Santa Maria d'Oló,Santa Maria d'Oló,82589
Santa Maria de Besora,Santa Maria de Besora,82536
Santa Maria de Martorelles,Santa Maria de Martorelles,82567
Santa Maria de Merlès,Santa Maria de Merlès,82554
Santa Maria de Miralles,Santa Maria de Miralles,82573
Santa Maria de Palautordera,Santa Maria de Palautordera,82592
Santa Oliva,Santa Oliva,431401
Santa Pau,Santa Pau,171848
Santa Perpètua de Mogoda,Santa Perpètua de Mogoda,82606
Santa Susanna,Santa Susanna,82613
Santpedor,Santpedor,81923
Sarral,Sarral,431423
Sarrià de Ter,Sarrià de Ter,171864
Sarroca de Bellera,Sarroca de Bellera,252017
Sarroca de Lleida,Sarroca de Lleida,252000
"Saus, Camallera i Llampaies","Saus, Camallera i Llampaies",171870
Savallà del Comtat,Savallà del Comtat,431439
Senan,Senan,431460
Senterada,Senterada,252022
Sentmenat,Sentmenat,82671
Serinyà,Serinyà,171903
Seròs,Seròs,252043
Serra de Daró,Serra de Daró,171910
Setcases,Setcases,171925
Seva,Seva,82690
Sidamon,Sidamon,252056
Sils,Sils,171931
Sitges,Sitges,82704
Siurana,Siurana,170524
Sobremunt,Sobremunt,82711
Solivella,Solivella,431476
Solsona,Solsona,252075
Sora,Sora,82726
Soriguera,Soriguera,252081
Sort,Sort,252094
Soses,Soses,252108
Subirats,Subirats,82732
Sudanell,Sudanell,252115
Sunyer,Sunyer,252120
Súria,Súria,82747
Susqueda,Susqueda,171946
Tagamanent,Tagamanent,82763
Talamanca,Talamanca,82779
Talarn,Talarn,252154
Talavera,Talavera,252167
Taradell,Taradell,82785
Tarragona,Tarragona,431482
Tàrrega,Tàrrega,252173
Tarrés,Tarrés,252189
Tarroja de Segarra,Tarroja de Segarra,252192
Tavèrnoles,Tavèrnoles,82750
Tavertet,Tavertet,82802
Teià,Teià,82819
Térmens,Térmens,252206
Terrades,Terrades,171962
Terrassa,Terrassa,82798
Tiana,Tiana,82824
Tírvia,Tírvia,252213
Tiurana,Tiurana,252228
Tivenys,Tivenys,431495
Tivissa,Tivissa,431508
Tona,Tona,82830
Torà,Torà,252234
Tordera,Tordera,82845
Torelló,Torelló,82858
Tornabous,Tornabous,252252
Torre-serona,Torre-serona,252332
Torrebesses,Torrebesses,252265
Torredembarra,Torredembarra,431536
Torrefarrera,Torrefarrera,252287
Torrefeta i Florejacs,Torrefeta i Florejacs,259078
Torregrossa,Torregrossa,252304
Torrelameu,Torrelameu,252311
Torrelavit,Torrelavit,82877
Torrelles de Foix,Torrelles de Foix,82883
Torrelles de Llobregat,Torrelles de Llobregat,82896
Torrent,Torrent,171978
Torres de Segre,Torres de Segre,252326
Torroella de Fluvià,Torroella de Fluvià,171984
Torroella de Montgrí,Torroella de Montgrí,171997
Torroja del Priorat,Torroja del Priorat,431541
Tortellà,Tortellà,172001
Tortosa,Tortosa,431554
Toses,Toses,172018
Tossa de Mar,Tossa de Mar,172023
Tremp,Tremp,252347
Ullà,Ullà,172044
Ullastrell,Ullastrell,82900
Ullastret,Ullastret,172057
Ulldecona,Ulldecona,431567
Ulldemolins,Ulldemolins,431573
Ultramort,Ultramort,172039
Urús,Urús,172060
Vacarisses,Vacarisses,82917
Vall de Cardós,Vall de Cardós,259010
Vall-llobrega,Vall-llobrega,172095
Vallbona d'Anoia,Vallbona d'Anoia,82922
Vallbona de les Monges,Vallbona de les Monges,252385
Vallcebre,Vallcebre,82938
Vallclara,Vallclara,431589
Vallfogona de Balaguer,Vallfogona de Balaguer,252402
Vallfogona de Ripollès,Vallfogona de Ripollès,171707
Vallfogona de Riucorb,Vallfogona de Riucorb,431592
Vallgorguina,Vallgorguina,82943
Vallirana,Vallirana,82956
Vallmoll,Vallmoll,431606
Vallromanes,Vallromanes,82969
Valls,Valls,431613
Vandellòs i l'Hospitalet de l'Infant,Vandellòs i l'Hospitalet de l'Infant,431628
Veciana,Veciana,82975
Ventalló,Ventalló,172109
Verdú,Verdú,252424
Verges,Verges,172116
Vespella de Gaià,Vespella de Gaià,431649
Vic,Vic,82981
Vidrà,Vidrà,172121
Vidreres,Vidreres,172137
Vielha e Mijaran,Vielha e Mijaran,252430
Vila-rodona,Vila-rodona,431704
Vila-sacra,Vila-sacra,172305
Vila-sana,Vila-sana,252521
Vila-seca,Vila-seca,431711
Vilabella,Vilabella,431652
Vilabertran,Vilabertran,172142
Vilablareix,Vilablareix,172155
Vilada,Vilada,82994
Viladamat,Viladamat,172174
Viladasens,Viladasens,172168
Viladecans,Viladecans,83015
Viladecavalls,Viladecavalls,83008
Vilademuls,Vilademuls,172180
Viladrau,Viladrau,172207
Vilafant,Vilafant,172214
Vilafranca del Penedès,Vilafranca del Penedès,83054
Vilagrassa,Vilagrassa,252445
Vilajuïga,Vilajuïga,172235
Vilalba dels Arcs,Vilalba dels Arcs,431750
Vilalba Sasserra,Vilalba Sasserra,83067
Vilaller,Vilaller,252458
Vilallonga de Ter,Vilallonga de Ter,172240
Vilallonga del Camp,Vilallonga del Camp,431665
Vilamacolum,Vilamacolum,172253
Vilamalla,Vilamalla,172266
Vilamaniscle,Vilamaniscle,172272
Vilamòs,Vilamòs,252477
Vilanant,Vilanant,172288
Vilanova d'Escornalbou,Vilanova d'Escornalbou,431671
Vilanova de Bellpuig,Vilanova de Bellpuig,252483
Vilanova de l'Aguda,Vilanova de l'Aguda,252496
Vilanova de la Barca,Vilanova de la Barca,252542
Vilanova de Meià,Vilanova de Meià,252509
Vilanova de Prades,Vilanova de Prades,431687
Vilanova de Sau,Vilanova de Sau,83036
Vilanova de Segrià,Vilanova de Segrià,252516
Vilanova del Camí,Vilanova del Camí,83020
Vilanova del Vallès,Vilanova del Vallès,89024
Vilanova i la Geltrú,Vilanova i la Geltrú,83073
Vilaplana,Vilaplana,431690
Vilassar de Dalt,Vilassar de Dalt,82140
Vilassar de Mar,Vilassar de Mar,82191
Vilaür,Vilaür,172229
Vilaverd,Vilaverd,431726
Vilobí d'Onyar,Vilobí d'Onyar,172333
Vilobí del Penedès,Vilobí del Penedès,83041
Vilopriu,Vilopriu,172327
Vimbodí i Poblet,Vimbodí i Poblet,431763
Vinaixa,Vinaixa,252555
Vinebre,Vinebre,431779
Vinyols i els Arcs,Vinyols i els Arcs,431785
Viver i Serrateix,Viver i Serrateix,83089
Xerta,Xerta,430521
