,Municipi,Codi,Any,Total,Homes,Dones,0-14 Anys,15-64 Anys,64 o més,Índex d'envelliment,Índex de sobreenvelliment,Saldo migratori total,Immigracions,Emigracions,Aturats,Poblacio activa,Renda,Demanda,Habitatges familiars secundaris,Habitatges familiars vacants,Habitatges familiars altres,Habitatges familiars principals,De lloguer,De propietat,Serveis,Solar,Zones verdes,Equipament,Connectivitat,Densitat comercial,Hab Lloguer
95,Bellvís,250523,2000,2173.0,0.49102623101702714,0.5089737689829729,0.10860561435803037,0.5959502991256328,0.29544408651633686,,,,,,,,,,,,,,,,,,,,,,0.0
96,Benavent de Segrià,250539,2000,904.0,0.5188053097345132,0.4811946902654867,0.13938053097345132,0.6991150442477876,0.16150442477876106,,,,,,,,,,,,,,,,,,,,,,0.0
97,Benifallet,430252,2000,883.0,0.49943374858437145,0.5005662514156285,0.11098527746319366,0.5707814269535674,0.318233295583239,,,,,,,,,,,,,,,,,,,,,,0.0
98,Benissanet,430265,2000,1022.0,0.5117416829745597,0.4882583170254403,0.11839530332681017,0.6183953033268101,0.26320939334637966,,,,,,,,,,,,,,,,,,,,,,0.0
99,Berga,80229,2000,14305.0,0.48437609227542816,0.5156239077245718,0.11625305837119888,0.6486543166724922,0.23509262495630898,,,,,,,,,,,,,,,,,,,,,,0.0
100,Besalú,170195,2000,1996.0,0.4864729458917836,0.5135270541082164,0.11322645290581163,0.6482965931863728,0.23847695390781562,,,,,,,,,,,,,,,,,,,,,,0.0
101,Bescanó,170209,2000,3187.0,0.5029808597427048,0.49701914025729527,0.14213994352055223,0.6761844995293379,0.1816755569501098,,,,,,,,,,,,,,,,,,,,,,0.0
102,Beuda,170216,2000,133.0,0.5488721804511278,0.45112781954887216,0.12030075187969924,0.6917293233082706,0.18796992481203006,,,,,,,,,,,,,,,,,,,,,,0.0
103,Bigues i Riells,80235,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
104,Biosca,250557,2000,247.0,0.5101214574898786,0.4898785425101215,0.09716599190283401,0.5910931174089069,0.3117408906882591,,,,,,,,,,,,,,,,,,,,,,0.0
