Municipi,Codi_ine_6_txt,Comarca,Àmbit territorial,Any,Població,Establiments,Superfície de venda (m2),Densitat comercial (est. / 1.000 hab.),Densitat comercial (m2 / 1.000 hab.),Superfície mitjana per establiment (m2),Percentatge d'establiments dintre de TUC,Percentatge de superfície de venda dintre de TUC,Percentatge d'establiments,Percentatge de superfície de venda,Altres,Automoció i carburants,Comerç mixt,Equipament llar,Equipament persona,Lleure i cultura,Quotidià alimentari (exc. vending),Quotidià no alimentari,Superfície Altres,Superfície Automoció i carburants,Superfície Comerç mixt,Superfície Equipament llar,Superfície Equipament persona,Superfície Lleure i cultura,Superfície Quotidià alimentari (exc. vending),Superfície Quotidià no alimentari
Mataró,81213,Maresme,Metropolità,2018,126988,1801,276658,14.18,2179,154,0.8916,0.7677,0.017783,0.018861,130,150,74,292,358,149,553,95,20328,45925,26225,46553,48459,16151,58879,14138
Mediona,81228,Alt Penedès,Penedès,2018,2331,13,1282,5.58,550,99,,,0.000128,0.000087,,,,,,,,,,,,,,,,
Menàrguens,251348,Noguera,Ponent,2018,801,5,170,6.24,212,34,,,0.000049,0.000012,,,,,,,,,,,,,,,,
Meranges,170998,Cerdanya,Alt Pirineu i Aran,2018,98,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Mieres,171058,Garrotxa,Comarques Gironines,2018,312,1,17,3.21,54,17,,,0.00001,0.000001,,,,,,,,,,,,,,,,
"Milà, el",430831,Alt Camp,Camp de Tarragona,2018,183,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Miralcamp,251351,Pla d'Urgell,Ponent,2018,1347,8,418,5.94,310,52,,,0.000079,0.000028,,,,,,,,,,,,,,,,
Miravet,430846,Ribera d'Ebre,Terres de l'Ebre,2018,706,8,672,11.33,952,84,,,0.000079,0.000046,,,,,,,,,,,,,,,,
Moià,81385,Moianès,Comarques Centrals,2018,6190,88,9758,14.22,1576,111,,,0.000869,0.000665,,,,,,,,,,,,,,,,
"Molar, el",430859,Priorat,Camp de Tarragona,2018,281,4,318,14.23,1132,80,,,0.000039,0.000022,,,,,,,,,,,,,,,,
Molins de Rei,81234,Baix Llobregat,Metropolità,2018,25687,377,51472,14.68,2004,137,0.9272,0.7347,0.003723,0.003509,34,30,12,70,62,26,121,22,2519,15397,2707,10542,3569,2104,12601,2033
Mollerussa,251370,Pla d'Urgell,Ponent,2018,14740,265,42306,17.98,2870,160,0.9689,0.94,0.002617,0.002884,30,16,9,50,64,22,66,8,4239,4453,2628,11067,5523,3244,10387,765
Mollet de Peralada,171061,Alt Empordà,Comarques Gironines,2018,190,1,243,5.26,1279,243,,,0.00001,0.000017,,,,,,,,,,,,,,,,
Mollet del Vallès,81249,Vallès Oriental,Metropolità,2018,51133,629,96518,12.3,1888,153,0.9855,0.9308,0.006211,0.00658,32,31,27,117,110,54,219,39,2626,14278,16452,17540,10321,4060,26277,4964
Molló,171077,Ripollès,Comarques Gironines,2018,328,3,90,9.15,274,30,,,0.00003,0.000006,,,,,,,,,,,,,,,,
"Molsosa, la",251364,Solsonès,Comarques Centrals,2018,109,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Monistrol de Calders,81287,Moianès,Comarques Centrals,2018,677,5,368,7.39,544,74,,,0.000049,0.000025,,,,,,,,,,,,,,,,
Monistrol de Montserrat,81271,Bages,Comarques Centrals,2018,2955,29,4628,9.81,1566,160,,,0.000286,0.000316,,,,,,,,,,,,,,,,
Mont-ral,430918,Alt Camp,Camp de Tarragona,2018,167,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Mont-ras,171100,Baix Empordà,Comarques Gironines,2018,1691,25,8064,14.78,4769,323,,,0.000247,0.00055,,,,,,,,,,,,,,,,
Mont-roig del Camp,430923,Baix Camp,Camp de Tarragona,2018,11809,123,23070,10.42,1954,188,825,0.5653,0.001215,0.001573,6,11,9,36,17,8,28,8,255,4778,1756,4627,1576,528,9023,527
Montagut i Oix,171096,Garrotxa,Comarques Gironines,2018,899,8,431,8.9,479,54,,,0.000079,0.000029,,,,,,,,,,,,,,,,
Montblanc,430862,Conca de Barberà,Camp de Tarragona,2018,7384,123,19828,16.66,2685,161,0.8824,0.6621,0.001215,0.001352,,,,,,,,,,,,,,,,
Montbrió del Camp,430884,Baix Camp,Camp de Tarragona,2018,2828,26,5028,9.19,1778,193,,,0.000257,0.000343,,,,,,,,,,,,,,,,
Montcada i Reixac,81252,Vallès Occidental,Metropolità,2018,35599,345,52029,9.69,1462,151,0.8107,0.5633,0.003407,0.003547,30,36,23,74,30,18,114,20,7997,8309,4683,10855,1730,1616,14404,2435
Montclar,81304,Berguedà,Comarques Centrals,2018,129,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Montellà i Martinet,251399,Cerdanya,Alt Pirineu i Aran,2018,554,11,896,19.86,1617,81,,,0.000109,0.000061,,,,,,,,,,,,,,,,
Montesquiu,81311,Osona,Comarques Centrals,2018,968,6,423,6.2,437,71,,,0.000059,0.000029,,,,,,,,,,,,,,,,
Montferrer i Castellbò,251403,Alt Urgell,Alt Pirineu i Aran,2018,1074,10,7640,9.31,7114,764,,,0.000099,0.000521,,,,,,,,,,,,,,,,
Montferri,430897,Alt Camp,Camp de Tarragona,2018,383,3,353,7.83,922,118,,,0.00003,0.000024,,,,,,,,,,,,,,,,
Montgai,251386,Noguera,Ponent,2018,635,4,181,6.3,285,45,,,0.000039,0.000012,,,,,,,,,,,,,,,,
Montgat,81265,Maresme,Metropolità,2018,11819,86,10113,7.28,856,118,0.7738,0.7755,0.000849,0.000689,4,2,3,20,6,8,35,8,206,540,215,2621,468,458,4732,873
Montmajor,81326,Berguedà,Comarques Centrals,2018,465,4,117,8.6,252,29,,,0.000039,0.000008,,,,,,,,,,,,,,,,
Montmaneu,81332,Anoia,Penedès,2018,154,2,170,12.99,1104,85,,,0.00002,0.000012,,,,,,,,,,,,,,,,
"Montmell, el",430901,Baix Penedès,Penedès,2018,1437,3,190,2.09,132,63,,,0.00003,0.000013,,,,,,,,,,,,,,,,
Montmeló,81350,Vallès Oriental,Metropolità,2018,8784,81,11416,9.22,1300,141,859,0.6991,0.0008,0.000778,,,,,,,,,,,,,,,,
Montoliu de Lleida,251425,Segrià,Ponent,2018,469,4,243,8.53,518,61,,,0.000039,0.000017,,,,,,,,,,,,,,,,
Montoliu de Segarra,251410,Segarra,Ponent,2018,190,1,29,5.26,153,29,,,0.00001,0.000002,,,,,,,,,,,,,,,,
Montornès de Segarra,251431,Segarra,Ponent,2018,98,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Montornès del Vallès,81363,Vallès Oriental,Metropolità,2018,16263,156,23095,9.59,1420,148,0.8421,0.6527,0.00154,0.001574,7,17,6,30,23,7,56,10,516,5435,1196,4635,1831,335,8066,1081
Montseny,81379,Vallès Oriental,Metropolità,2018,321,5,584,15.58,1819,117,,,0.000049,0.00004,,,,,,,,,,,,,,,,
Móra d'Ebre,430939,Ribera d'Ebre,Terres de l'Ebre,2018,5642,102,17547,18.08,3110,172,0.9796,0.9133,0.001007,0.001196,,,,,,,,,,,,,,,,
Móra la Nova,430944,Ribera d'Ebre,Terres de l'Ebre,2018,3071,49,6967,15.96,2269,142,,,0.000484,0.000475,,,,,,,,,,,,,,,,
"Morell, el",430957,Tarragonès,Camp de Tarragona,2018,3649,45,5173,12.33,1418,115,,,0.000444,0.000353,,,,,,,,,,,,,,,,
"Morera de Montsant, la",430960,Priorat,Camp de Tarragona,2018,157,2,116,12.74,739,58,,,0.00002,0.000008,,,,,,,,,,,,,,,,
Muntanyola,81290,Osona,Comarques Centrals,2018,620,1,69,1.61,111,69,,,0.00001,0.000005,,,,,,,,,,,,,,,,
Mura,81398,Bages,Comarques Centrals,2018,223,5,399,22.42,1789,80,,,0.000049,0.000027,,,,,,,,,,,,,,,,
Nalec,251459,Urgell,Ponent,2018,93,1,43,10.75,462,43,,,0.00001,0.000003,,,,,,,,,,,,,,,,
Naut Aran,250254,Aran,Alt Pirineu i Aran,2018,1790,37,5116,20.67,2858,138,,,0.000365,0.000349,,,,,,,,,,,,,,,,
Navarcles,81402,Bages,Comarques Centrals,2018,5966,55,7081,9.22,1187,129,0.9455,0.9064,0.000543,0.000483,,,,,,,,,,,,,,,,
Navàs,81419,Bages,Comarques Centrals,2018,6023,77,10179,12.78,1690,132,,,0.00076,0.000694,,,,,,,,,,,,,,,,
Navata,171117,Alt Empordà,Comarques Gironines,2018,1313,6,388,4.57,296,65,,,0.000059,0.000026,,,,,,,,,,,,,,,,
Navès,251462,Solsonès,Comarques Centrals,2018,291,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
"Nou de Berguedà, la",81424,Berguedà,Comarques Centrals,2018,160,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
"Nou de Gaià, la",430976,Tarragonès,Camp de Tarragona,2018,570,5,483,8.77,847,97,,,0.000049,0.000033,,,,,,,,,,,,,,,,
