Municipi,Codi_ine_6_txt,Comarca,Àmbit territorial,Any,Població,Establiments,Superfície de venda (m2),Densitat comercial (est. / 1.000 hab.),Densitat comercial (m2 / 1.000 hab.),Superfície mitjana per establiment (m2),Percentatge d'establiments dintre de TUC,Percentatge de superfície de venda dintre de TUC,Percentatge d'establiments,Percentatge de superfície de venda,Altres,Automoció i carburants,Comerç mixt,Equipament llar,Equipament persona,Lleure i cultura,Quotidià alimentari (exc. vending),Quotidià no alimentari,Superfície Altres,Superfície Automoció i carburants,Superfície Comerç mixt,Superfície Equipament llar,Superfície Equipament persona,Superfície Lleure i cultura,Superfície Quotidià alimentari (exc. vending),Superfície Quotidià no alimentari
Canovelles,80410,Vallès Oriental,Metropolità,2017,16145,183,22962,11.33,1422,125,0.8415,0.5395,0.001773,0.001536,12,14,10,32,20,12,77,6,2131,4726,1174,6239,1595,579,5658,860
Cànoves i Samalús,80425,Vallès Oriental,Metropolità,2017,2906,10,1048,3.44,361,105,,,0.000097,0.00007,,,,,,,,,,,,,,,,
Cantallops,170412,Alt Empordà,Comarques Gironines,2017,322,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Canyelles,80431,Garraf,Penedès,2017,4388,25,3714,5.7,846,149,,,0.000242,0.000248,,,,,,,,,,,,,,,,
Capafonts,430398,Baix Camp,Camp de Tarragona,2017,102,1,163,9.8,1598,163,,,0.00001,0.000011,,,,,,,,,,,,,,,,
Capçanes,430402,Priorat,Camp de Tarragona,2017,403,3,136,7.44,337,45,,,0.000029,0.000009,,,,,,,,,,,,,,,,
Capellades,80446,Anoia,Penedès,2017,5225,64,6659,12.25,1274,104,,,0.00062,0.000445,,,,,,,,,,,,,,,,
Capmany,170427,Alt Empordà,Comarques Gironines,2017,623,9,1073,14.45,1722,119,,,0.000087,0.000072,,,,,,,,,,,,,,,,
Capolat,80459,Berguedà,Comarques Centrals,2017,99,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Cardedeu,80462,Vallès Oriental,Metropolità,2017,18210,245,34645,13.45,1903,141,0.9469,0.8835,0.002374,0.002317,20,18,10,48,34,21,81,13,2049,4028,3825,8141,1982,1349,12136,1135
Cardona,80478,Bages,Comarques Centrals,2017,4728,90,10442,19.04,2209,116,0.8778,0.5324,0.000872,0.000698,,,,,,,,,,,,,,,,
Carme,80484,Anoia,Penedès,2017,791,6,412,7.59,521,69,,,0.000058,0.000028,,,,,,,,,,,,,,,,
Caseres,430419,Terra Alta,Terres de l'Ebre,2017,234,4,207,17.09,885,52,,,0.000039,0.000014,,,,,,,,,,,,,,,,
Cassà de la Selva,170448,Gironès,Comarques Gironines,2017,10231,98,16587,9.58,1621,169,0.8776,0.6983,0.000949,0.00111,7,8,4,16,14,7,35,7,658,4312,1408,2121,708,381,6425,574
Casserres,80497,Berguedà,Comarques Centrals,2017,1557,23,1847,14.77,1186,80,,,0.000223,0.000124,,,,,,,,,,,,,,,,
Castell de l'Areny,80575,Berguedà,Comarques Centrals,2017,69,1,17,14.49,246,17,,,0.00001,0.000001,,,,,,,,,,,,,,,,
Castell de Mur,259046,Pallars Jussà,Alt Pirineu i Aran,2017,168,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Castell-Platja d'Aro,170486,Baix Empordà,Comarques Gironines,2017,10593,369,70672,34.83,6672,192,0.8699,0.7085,0.003575,0.004727,11,14,14,56,149,31,74,20,620,2810,4817,16800,21155,4265,17632,2573
Castellar de la Ribera,250642,Solsonès,Comarques Centrals,2017,140,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Castellar de n'Hug,80522,Berguedà,Comarques Centrals,2017,159,7,288,44.03,1811,41,,,0.000068,0.000019,,,,,,,,,,,,,,,,
Castellar del Riu,80500,Berguedà,Comarques Centrals,2017,166,1,102,6.02,614,102,,,0.00001,0.000007,,,,,,,,,,,,,,,,
Castellar del Vallès,80517,Vallès Occidental,Metropolità,2017,23776,232,43221,9.76,1818,186,0.8276,0.6135,0.002248,0.002891,13,17,9,46,34,26,71,16,1533,2896,3088,11998,2300,3446,16316,1644
Castellbell i el Vilar,80538,Bages,Comarques Centrals,2017,3618,48,4759,13.27,1315,99,,,0.000465,0.000318,,,,,,,,,,,,,,,,
Castellbisbal,80543,Vallès Occidental,Metropolità,2017,12297,106,21716,8.62,1766,205,0.7264,346,0.001027,0.001453,8,12,8,18,14,8,30,8,2867,6291,1090,6124,1156,454,3126,608
Castellcir,80556,Moianès,Metropolità,2017,723,3,348,4.15,481,116,,,0.000029,0.000023,,,,,,,,,,,,,,,,
Castelldans,250674,Garrigues,Ponent,2017,943,12,963,12.73,1021,80,,,0.000116,0.000064,,,,,,,,,,,,,,,,
Castelldefels,80569,Baix Llobregat,Metropolità,2017,65954,753,114837,11.42,1741,153,0.7915,0.6121,0.007296,0.007682,45,58,37,141,139,79,204,50,4107,11951,21714,18390,16659,7138,30489,4389
Castellet i la Gornal,80581,Alt Penedès,Penedès,2017,2233,14,3446,6.27,1543,246,,,0.000136,0.000231,,,,,,,,,,,,,,,,
Castellfollit de la Roca,170464,Garrotxa,Comarques Gironines,2017,951,13,904,13.67,951,70,,,0.000126,0.00006,,,,,,,,,,,,,,,,
Castellfollit de Riubregós,80608,Anoia,Comarques Centrals,2017,160,1,120,6.25,750,120,,,0.00001,0.000008,,,,,,,,,,,,,,,,
Castellfollit del Boix,80594,Bages,Comarques Centrals,2017,440,2,123,4.55,280,62,,,0.000019,0.000008,,,,,,,,,,,,,,,,
Castellgalí,80615,Bages,Comarques Centrals,2017,2017,12,897,5.95,445,75,,,0.000116,0.00006,,,,,,,,,,,,,,,,
Castellnou de Bages,80620,Bages,Comarques Centrals,2017,1303,1,48,0.77,37,48,,,0.00001,0.000003,,,,,,,,,,,,,,,,
Castellnou de Seana,250680,Pla d'Urgell,Ponent,2017,686,8,269,11.66,392,34,,,0.000078,0.000018,,,,,,,,,,,,,,,,
Castelló d'Empúries,170470,Alt Empordà,Comarques Gironines,2017,10791,216,48664,20.02,4510,225,0.7963,0.6554,0.002093,0.003255,20,36,17,40,30,14,49,10,1919,8263,9602,12941,2153,1557,11260,969
Castelló de Farfanya,250693,Noguera,Ponent,2017,542,3,141,5.54,260,47,,,0.000029,0.000009,,,,,,,,,,,,,,,,
Castellolí,80636,Anoia,Penedès,2017,599,5,585,8.35,977,117,,,0.000048,0.000039,,,,,,,,,,,,,,,,
Castellserà,250707,Urgell,Ponent,2017,1008,13,1080,12.9,1071,83,,,0.000126,0.000072,,,,,,,,,,,,,,,,
Castellterçol,80641,Moianès,Metropolità,2017,2374,32,2610,13.48,1099,82,,,0.00031,0.000175,,,,,,,,,,,,,,,,
Castellvell del Camp,430424,Baix Camp,Camp de Tarragona,2017,2849,3,369,1.05,130,123,,,0.000029,0.000025,,,,,,,,,,,,,,,,
Castellví de la Marca,80654,Alt Penedès,Penedès,2017,1554,10,1280,6.44,824,128,,,0.000097,0.000086,,,,,,,,,,,,,,,,
Castellví de Rosanes,80667,Baix Llobregat,Metropolità,2017,1826,7,680,3.83,372,97,,,0.000068,0.000045,,,,,,,,,,,,,,,,
"Catllar, el",430430,Tarragonès,Camp de Tarragona,2017,4251,21,8154,4.94,1918,388,,,0.000203,0.000545,,,,,,,,,,,,,,,,
Cava,250714,Alt Urgell,Alt Pirineu i Aran,2017,52,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
"Cellera de Ter, la",171899,Selva,Comarques Gironines,2017,2006,31,5650,15.45,2817,182,,,0.0003,0.000378,,,,,,,,,,,,,,,,
Celrà,170499,Gironès,Comarques Gironines,2017,5376,57,9114,10.6,1695,160,,,0.000552,0.00061,,,,,,,,,,,,,,,,
Centelles,80673,Osona,Comarques Centrals,2017,7417,100,11771,13.48,1587,118,0.9,0.7682,0.000969,0.000787,,,,,,,,,,,,,,,,
Cercs,82687,Berguedà,Comarques Centrals,2017,1166,10,687,8.58,589,69,,,0.000097,0.000046,,,,,,,,,,,,,,,,
Cerdanyola del Vallès,82665,Vallès Occidental,Metropolità,2017,57723,717,76490,12.42,1325,107,0.9149,0.7686,0.006947,0.005117,45,38,18,124,112,61,271,48,2850,10820,3658,20983,8083,4372,21397,4327
Cervelló,80689,Baix Llobregat,Metropolità,2017,8909,62,7691,6.96,863,124,,,0.000601,0.000514,,,,,,,,,,,,,,,,
Cervera,250729,Segarra,Ponent,2017,9037,141,20232,15.6,2239,143,0.9574,0.9243,0.001366,0.001353,,,,,,,,,,,,,,,,
Cervià de les Garrigues,250735,Garrigues,Ponent,2017,660,6,366,9.09,555,61,,,0.000058,0.000024,,,,,,,,,,,,,,,,
Cervià de Ter,170502,Gironès,Comarques Gironines,2017,923,10,395,10.83,428,40,,,0.000097,0.000026,,,,,,,,,,,,,,,,
Cistella,170519,Alt Empordà,Comarques Gironines,2017,304,1,44,3.29,145,44,,,0.00001,0.000003,,,,,,,,,,,,,,,,
Ciutadilla,250740,Urgell,Ponent,2017,202,1,257,4.95,1272,257,,,0.00001,0.000017,,,,,,,,,,,,,,,,
Clariana de Cardener,250753,Solsonès,Comarques Centrals,2017,145,1,40,6.9,276,40,,,0.00001,0.000003,,,,,,,,,,,,,,,,
"Cogul, el",250766,Garrigues,Ponent,2017,162,2,92,12.35,568,46,,,0.000019,0.000006,,,,,,,,,,,,,,,,
Colera,170545,Alt Empordà,Comarques Gironines,2017,481,5,353,10.4,734,71,,,0.000048,0.000024,,,,,,,,,,,,,,,,
Coll de Nargó,250772,Alt Urgell,Alt Pirineu i Aran,2017,558,8,1078,14.34,1932,135,,,0.000078,0.000072,,,,,,,,,,,,,,,,
Collbató,80692,Baix Llobregat,Metropolità,2017,4394,23,2538,5.23,578,110,,,0.000223,0.00017,,,,,,,,,,,,,,,,
Colldejou,430458,Baix Camp,Camp de Tarragona,2017,170,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Collsuspina,80706,Moianès,Comarques Centrals,2017,338,2,151,5.92,447,76,,,0.000019,0.00001,,,,,,,,,,,,,,,,
Colomers,170558,Baix Empordà,Comarques Gironines,2017,179,1,9,5.59,50,9,,,0.00001,0.000001,,,,,,,,,,,,,,,,
"Coma i la Pedra, la",251636,Solsonès,Comarques Centrals,2017,259,2,102,7.72,394,51,,,0.000019,0.000007,,,,,,,,,,,,,,,,
Conca de Dalt,251615,Pallars Jussà,Alt Pirineu i Aran,2017,445,1,107,2.25,240,107,,,0.00001,0.000007,,,,,,,,,,,,,,,,
Conesa,430461,Conca de Barberà,Camp de Tarragona,2017,111,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Constantí,430477,Tarragonès,Camp de Tarragona,2017,6493,54,10606,8.32,1633,196,0.6296,0.4921,0.000523,0.000709,,,,,,,,,,,,,,,,
Copons,80713,Anoia,Penedès,2017,316,2,155,6.33,491,78,,,0.000019,0.00001,,,,,,,,,,,,,,,,
Corbera d'Ebre,430483,Terra Alta,Terres de l'Ebre,2017,1061,15,1337,14.14,1260,89,,,0.000145,0.000089,,,,,,,,,,,,,,,,
Corbera de Llobregat,80728,Baix Llobregat,Metropolità,2017,14439,87,11983,6.03,830,138,0.8391,0.7197,0.000843,0.000802,6,5,2,22,12,8,26,6,689,526,271,4649,597,550,4145,556
Corbins,250788,Segrià,Ponent,2017,1411,11,1233,7.8,874,112,,,0.000107,0.000082,,,,,,,,,,,,,,,,
Corçà,170577,Baix Empordà,Comarques Gironines,2017,1245,11,2512,8.84,2018,228,,,0.000107,0.000168,,,,,,,,,,,,,,,,
Cornellà de Llobregat,80734,Baix Llobregat,Metropolità,2017,86610,1178,191532,13.6,2211,163,0.9049,0.8075,0.011413,0.012812,46,83,44,215,167,86,455,82,5695,23190,52557,34981,19298,8076,41340,6395
Cornellà del Terri,170561,Pla de l'Estany,Comarques Gironines,2017,2280,20,4084,8.77,1791,204,,,0.000194,0.000273,,,,,,,,,,,,,,,,
Cornudella de Montsant,430496,Priorat,Camp de Tarragona,2017,953,15,1520,15.74,1595,101,,,0.000145,0.000102,,,,,,,,,,,,,,,,
Creixell,430509,Tarragonès,Camp de Tarragona,2017,3465,21,4643,6.06,1340,221,,,0.000203,0.000311,,,,,,,,,,,,,,,,
Crespià,170583,Pla de l'Estany,Comarques Gironines,2017,259,1,14,3.86,54,14,,,0.00001,0.000001,,,,,,,,,,,,,,,,
"Cruïlles, Monells i Sant Sadurní de l'Heura",179011,Baix Empordà,Comarques Gironines,2017,1296,3,251,2.31,194,84,,,0.000029,0.000017,,,,,,,,,,,,,,,,
Cubelles,80749,Garraf,Penedès,2017,14715,132,26196,8.97,1780,198,0.6439,0.2742,0.001279,0.001752,10,13,20,24,16,8,35,6,786,2670,3874,8263,975,289,8874,465
Cubells,250791,Noguera,Ponent,2017,373,4,128,10.72,343,32,,,0.000039,0.000009,,,,,,,,,,,,,,,,
Cunit,430516,Baix Penedès,Penedès,2017,12041,102,12731,8.47,1057,125,0.5882,0.3872,0.000988,0.000852,5,7,7,24,9,14,27,9,572,978,2038,2326,623,606,4651,937
Darnius,170600,Alt Empordà,Comarques Gironines,2017,564,5,269,8.87,477,54,,,0.000048,0.000018,,,,,,,,,,,,,,,,
Das,170617,Cerdanya,Alt Pirineu i Aran,2017,223,2,262,8.97,1175,131,,,0.000019,0.000018,,,,,,,,,,,,,,,,
Deltebre,439018,Baix Ebre,Terres de l'Ebre,2017,11499,182,27207,15.83,2366,149,956,0.8979,0.001763,0.00182,9,9,12,38,29,19,50,16,1162,1764,4270,5811,2811,1532,8670,1187
Dosrius,80752,Maresme,Metropolità,2017,5198,34,3014,6.54,580,89,,,0.000329,0.000202,,,,,,,,,,,,,,,,
Duesaigües,430537,Baix Camp,Camp de Tarragona,2017,243,2,182,8.23,749,91,,,0.000019,0.000012,,,,,,,,,,,,,,,,
"Escala, l'",170622,Alt Empordà,Comarques Gironines,2017,10407,216,31832,20.76,3059,147,0.8981,0.6287,0.002093,0.002129,9,14,11,35,44,20,68,15,366,1657,4673,6889,2974,976,13244,1053
Esparreguera,80765,Baix Llobregat,Metropolità,2017,21889,261,29968,11.92,1369,115,,,0.002529,0.002005,16,19,9,34,42,22,102,17,2810,4992,1472,4180,3151,1337,10686,1340
Espinelves,170638,Osona,Comarques Centrals,2017,203,3,166,14.78,818,55,,,0.000029,0.000011,,,,,,,,,,,,,,,,
"Espluga Calba, l'",250812,Garrigues,Ponent,2017,363,3,171,8.26,471,57,,,0.000029,0.000011,,,,,,,,,,,,,,,,
"Espluga de Francolí, l'",430542,Conca de Barberà,Camp de Tarragona,2017,3756,53,5982,14.11,1593,113,,,0.000513,0.0004,,,,,,,,,,,,,,,,
Esplugues de Llobregat,80771,Baix Llobregat,Metropolità,2017,45890,490,60708,10.68,1323,124,0.9408,0.9033,0.004747,0.004061,30,39,19,80,70,36,186,30,2989,9875,4456,12014,4332,2042,22013,2987
Espolla,170643,Alt Empordà,Comarques Gironines,2017,423,3,203,7.09,480,68,,,0.000029,0.000014,,,,,,,,,,,,,,,,
Esponellà,170656,Pla de l'Estany,Comarques Gironines,2017,432,1,71,2.31,164,71,,,0.00001,0.000005,,,,,,,,,,,,,,,,
Espot,250827,Pallars Sobirà,Alt Pirineu i Aran,2017,365,5,215,13.7,589,43,,,0.000048,0.000014,,,,,,,,,,,,,,,,
"Espunyola, l'",80787,Berguedà,Comarques Centrals,2017,240,1,215,4.17,896,215,,,0.00001,0.000014,,,,,,,,,,,,,,,,
"Esquirol, l'",82541,Osona,Comarques Centrals,2017,2188,22,1396,10.05,638,63,,,0.000213,0.000093,,,,,,,,,,,,,,,,
Estamariu,250886,Alt Urgell,Alt Pirineu i Aran,2017,124,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
"Estany, l'",80790,Moianès,Comarques Centrals,2017,405,3,138,7.41,341,46,,,0.000029,0.000009,,,,,,,,,,,,,,,,
Estaràs,250851,Segarra,Ponent,2017,158,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Esterri d'Àneu,250864,Pallars Sobirà,Alt Pirineu i Aran,2017,769,18,2166,23.41,2817,120,,,0.000174,0.000145,,,,,,,,,,,,,,,,
Esterri de Cardós,250870,Pallars Sobirà,Alt Pirineu i Aran,2017,67,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Falset,430555,Priorat,Camp de Tarragona,2017,2820,51,6556,18.09,2325,129,0.8431,0.7787,0.000494,0.000439,,,,,,,,,,,,,,,,
"Far d'Empordà, el",170059,Alt Empordà,Comarques Gironines,2017,568,2,615,3.52,1083,308,,,0.000019,0.000041,,,,,,,,,,,,,,,,
Farrera,250899,Pallars Sobirà,Alt Pirineu i Aran,2017,121,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
"Fatarella, la",430568,Terra Alta,Terres de l'Ebre,2017,980,13,707,13.27,721,54,,,0.000126,0.000047,,,,,,,,,,,,,,,,
"Febró, la",430574,Baix Camp,Camp de Tarragona,2017,42,1,57,23.81,1357,57,,,0.00001,0.000004,,,,,,,,,,,,,,,,
Figaró-Montmany,81347,Vallès Oriental,Metropolità,2017,1077,12,612,11.14,568,51,,,0.000116,0.000041,,,,,,,,,,,,,,,,
Fígols,80804,Berguedà,Comarques Centrals,2017,42,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Fígols i Alinyà,259084,Alt Urgell,Alt Pirineu i Aran,2017,245,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
"Figuera, la",430580,Priorat,Camp de Tarragona,2017,102,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Figueres,170669,Alt Empordà,Comarques Gironines,2017,45961,926,160322,20.15,3488,173,865,0.6054,0.008972,0.010724,61,79,44,188,227,80,194,53,13959,23802,18963,36984,21983,8352,32514,3765
Figuerola del Camp,430593,Alt Camp,Camp de Tarragona,2017,330,7,464,21.21,1406,66,,,0.000068,0.000031,,,,,,,,,,,,,,,,
Flaçà,170675,Gironès,Comarques Gironines,2017,1050,10,747,9.52,711,75,,,0.000097,0.00005,,,,,,,,,,,,,,,,
Flix,430607,Ribera d'Ebre,Terres de l'Ebre,2017,3605,75,8794,20.8,2439,117,,,0.000727,0.000588,,,,,,,,,,,,,,,,
"Floresta, la",250925,Garrigues,Ponent,2017,155,2,100,12.9,645,50,,,0.000019,0.000007,,,,,,,,,,,,,,,,
Fogars de la Selva,80826,Selva,Comarques Gironines,2017,1448,9,1652,6.22,1141,184,,,0.000087,0.000111,,,,,,,,,,,,,,,,
Fogars de Montclús,80811,Vallès Oriental,Metropolità,2017,458,3,59,6.55,129,20,,,0.000029,0.000004,,,,,,,,,,,,,,,,
Foixà,170681,Baix Empordà,Comarques Gironines,2017,313,3,260,9.58,831,87,,,0.000029,0.000017,,,,,,,,,,,,,,,,
Folgueroles,80832,Osona,Comarques Centrals,2017,2298,13,1251,5.66,544,96,,,0.000126,0.000084,,,,,,,,,,,,,,,,
Fondarella,250931,Pla d'Urgell,Ponent,2017,796,9,3278,11.31,4118,364,,,0.000087,0.000219,,,,,,,,,,,,,,,,
Fonollosa,80847,Bages,Comarques Centrals,2017,1412,4,306,2.83,217,77,,,0.000039,0.00002,,,,,,,,,,,,,,,,
Font-rubí,80850,Alt Penedès,Penedès,2017,1358,4,452,2.95,333,113,,,0.000039,0.00003,,,,,,,,,,,,,,,,
Fontanals de Cerdanya,170694,Cerdanya,Alt Pirineu i Aran,2017,448,1,130,2.23,290,130,,,0.00001,0.000009,,,,,,,,,,,,,,,,
Fontanilles,170708,Baix Empordà,Comarques Gironines,2017,138,2,137,14.49,993,69,,,0.000019,0.000009,,,,,,,,,,,,,,,,
Fontcoberta,170715,Pla de l'Estany,Comarques Gironines,2017,1481,7,1314,4.73,887,188,,,0.000068,0.000088,,,,,,,,,,,,,,,,
Foradada,250946,Noguera,Ponent,2017,170,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Forallac,179026,Baix Empordà,Comarques Gironines,2017,1708,31,11016,18.15,6450,355,,,0.0003,0.000737,,,,,,,,,,,,,,,,
Forès,430614,Conca de Barberà,Camp de Tarragona,2017,45,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Fornells de la Selva,170736,Gironès,Comarques Gironines,2017,2613,45,21567,17.22,8254,479,,,0.000436,0.001443,,,,,,,,,,,,,,,,
Fortià,170741,Alt Empordà,Comarques Gironines,2017,726,8,4155,11.02,5723,519,,,0.000078,0.000278,,,,,,,,,,,,,,,,
"Franqueses del Vallès, les",80863,Vallès Oriental,Metropolità,2017,19584,167,42909,8.53,2191,257,0.7066,0.3234,0.001618,0.00287,17,22,8,47,7,12,46,8,2740,12152,2516,15064,510,1069,7774,1084
Freginals,430629,Montsià,Terres de l'Ebre,2017,397,4,128,10.08,322,32,,,0.000039,0.000009,,,,,,,,,,,,,,,,
"Fuliola, la",250962,Urgell,Ponent,2017,1237,15,2175,12.13,1758,145,,,0.000145,0.000145,,,,,,,,,,,,,,,,
Fulleda,250978,Garrigues,Ponent,2017,86,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Gaià,80902,Bages,Comarques Centrals,2017,162,1,52,6.17,321,52,,,0.00001,0.000003,,,,,,,,,,,,,,,,
"Galera, la",430635,Montsià,Terres de l'Ebre,2017,719,11,1096,15.3,1524,100,,,0.000107,0.000073,,,,,,,,,,,,,,,,
Gallifa,80879,Vallès Occidental,Metropolità,2017,180,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Gandesa,430640,Terra Alta,Terres de l'Ebre,2017,3011,60,8082,19.93,2684,135,0.9,0.6523,0.000581,0.000541,,,,,,,,,,,,,,,,
Garcia,430653,Ribera d'Ebre,Terres de l'Ebre,2017,531,4,296,7.53,557,74,,,0.000039,0.00002,,,,,,,,,,,,,,,,
"Garidells, els",430666,Alt Camp,Camp de Tarragona,2017,194,1,25,5.15,129,25,,,0.00001,0.000002,,,,,,,,,,,,,,,,
"Garriga, la",80885,Vallès Oriental,Metropolità,2017,15984,188,32083,11.76,2007,171,0.8723,0.6162,0.001821,0.002146,10,18,5,41,37,19,52,6,1123,6022,1517,9706,2073,1666,9398,578
Garrigàs,170754,Alt Empordà,Comarques Gironines,2017,436,8,1201,18.35,2755,150,,,0.000078,0.00008,,,,,,,,,,,,,,,,
Garrigoles,170767,Baix Empordà,Comarques Gironines,2017,172,1,34,5.81,198,34,,,0.00001,0.000002,,,,,,,,,,,,,,,,
Garriguella,170773,Alt Empordà,Comarques Gironines,2017,851,7,488,8.23,573,70,,,0.000068,0.000033,,,,,,,,,,,,,,,,
Gavà,80898,Baix Llobregat,Metropolità,2017,46538,594,105082,12.76,2258,177,0.8906,0.7859,0.005755,0.007029,37,36,31,102,115,49,190,34,4660,14629,18348,21516,8414,9495,24753,3267
Gavet de la Conca,250984,Pallars Jussà,Alt Pirineu i Aran,2017,280,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Gelida,80919,Alt Penedès,Penedès,2017,7299,50,6731,6.85,922,135,,,0.000484,0.00045,,,,,,,,,,,,,,,,
Ger,170789,Cerdanya,Alt Pirineu i Aran,2017,423,5,362,11.82,856,72,,,0.000048,0.000024,,,,,,,,,,,,,,,,
Gimenells i el Pla de la Font,259123,Segrià,Ponent,2017,1107,12,1894,10.84,1711,158,,,0.000116,0.000127,,,,,,,,,,,,,,,,
Ginestar,430672,Ribera d'Ebre,Terres de l'Ebre,2017,777,8,345,10.3,444,43,,,0.000078,0.000023,,,,,,,,,,,,,,,,
Girona,170792,Gironès,Comarques Gironines,2017,99013,1665,267657,16.82,2703,161,0.9544,0.8255,0.016132,0.017904,111,81,70,296,355,174,478,100,19961,18563,43921,63688,40884,14902,56410,9328
Gironella,80924,Berguedà,Comarques Centrals,2017,4808,76,8238,15.81,1713,108,,,0.000736,0.000551,,,,,,,,,,,,,,,,
Gisclareny,80930,Berguedà,Comarques Centrals,2017,27,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Godall,430688,Montsià,Terres de l'Ebre,2017,608,10,377,16.45,620,38,,,0.000097,0.000025,,,,,,,,,,,,,,,,
Golmés,250997,Pla d'Urgell,Ponent,2017,1852,49,20536,26.46,11089,419,0.2041,0.0347,0.000475,0.001374,,,,,,,,,,,,,,,,
Gombrèn,170806,Ripollès,Comarques Gironines,2017,185,3,158,16.22,854,53,,,0.000029,0.000011,,,,,,,,,,,,,,,,
Gósol,251001,Berguedà,Comarques Centrals,2017,222,4,99,18.02,446,25,,,0.000039,0.000007,,,,,,,,,,,,,,,,
"Granada, la",80945,Alt Penedès,Penedès,2017,2112,15,3933,7.1,1862,262,,,0.000145,0.000263,,,,,,,,,,,,,,,,
"Granadella, la",251018,Garrigues,Ponent,2017,737,12,665,16.28,902,55,,,0.000116,0.000044,,,,,,,,,,,,,,,,
Granera,80958,Moianès,Metropolità,2017,78,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
"Granja d'Escarp, la",251023,Segrià,Ponent,2017,971,11,575,11.33,592,52,,,0.000107,0.000038,,,,,,,,,,,,,,,,
Granollers,80961,Vallès Oriental,Metropolità,2017,60695,1103,187623,18.17,3091,170,0.9066,0.6851,0.010687,0.01255,83,74,42,221,222,103,299,59,10737,28547,17285,37649,28203,11229,45077,8896
Granyanella,251039,Segarra,Ponent,2017,147,8,7060,54.42,48027,883,,,0.000078,0.000472,,,,,,,,,,,,,,,,
Granyena de les Garrigues,251057,Garrigues,Ponent,2017,158,1,6,6.33,38,6,,,0.00001,0,,,,,,,,,,,,,,,,
Granyena de Segarra,251044,Segarra,Ponent,2017,143,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Gratallops,430691,Priorat,Camp de Tarragona,2017,237,5,365,21.1,1540,73,,,0.000048,0.000024,,,,,,,,,,,,,,,,
Gualba,80977,Vallès Oriental,Metropolità,2017,1423,11,1263,7.73,888,115,,,0.000107,0.000084,,,,,,,,,,,,,,,,
Gualta,170813,Baix Empordà,Comarques Gironines,2017,392,8,1367,20.41,3487,171,,,0.000078,0.000091,,,,,,,,,,,,,,,,
Guardiola de Berguedà,80996,Berguedà,Comarques Centrals,2017,904,24,1469,26.55,1625,61,,,0.000233,0.000098,,,,,,,,,,,,,,,,
"Guiamets, els",430705,Priorat,Camp de Tarragona,2017,272,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Guils de Cerdanya,170828,Cerdanya,Alt Pirineu i Aran,2017,525,2,94,3.81,179,47,,,0.000019,0.000006,,,,,,,,,,,,,,,,
Guimerà,251095,Urgell,Ponent,2017,273,3,897,10.99,3286,299,,,0.000029,0.00006,,,,,,,,,,,,,,,,
"Guingueta d'Àneu, la",259031,Pallars Sobirà,Alt Pirineu i Aran,2017,311,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Guissona,251109,Segarra,Ponent,2017,7014,78,9003,11.12,1284,115,0.8846,0.8648,0.000756,0.000602,,,,,,,,,,,,,,,,
Guixers,251116,Solsonès,Comarques Centrals,2017,140,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
Gurb,81000,Osona,Comarques Centrals,2017,2616,32,10038,12.23,3837,314,,,0.00031,0.000671,,,,,,,,,,,,,,,,
Horta de Sant Joan,430712,Terra Alta,Terres de l'Ebre,2017,1171,23,1827,19.64,1560,79,,,0.000223,0.000122,,,,,,,,,,,,,,,,
"Hospitalet de Llobregat, l'",81017,Barcelonès,Metropolità,2017,257349,3077,367307,11.96,1427,119,0.9659,879,0.029812,0.02457,92,129,129,526,604,211,1201,185,8620,47676,37039,88774,46091,15753,109109,14245
"Hostalets de Pierola, els",81629,Anoia,Penedès,2017,2901,14,1891,4.83,652,135,,,0.000136,0.000126,,,,,,,,,,,,,,,,
